,c,h,l,o,t,v
0,0.02115,0.02489,0.0203,0.0225,1532476800,503181032.0
1,0.02504,0.02799,0.02117,0.02117,1532563200,997123792.1
2,0.02508,0.02607,0.02282,0.02503,1532649600,674261930.7
3,0.02571,0.026,0.0248,0.02502,1532736000,372654599.7
4,0.02646,0.0269,0.0256,0.02573,1532822400,414963817.0
5,0.02527,0.02655,0.02325,0.0265,1532908800,505266223.1
6,0.0225,0.02529,0.0207,0.02527,1532995200,574610570.0
7,0.02006,0.02298,0.01922,0.0229,1533081600,566954076.6
8,0.01741,0.02048,0.01677,0.02005,1533168000,515596355.7
9,0.01524,0.01745,0.013,0.0174,1533254400,983902200.5
10,0.01336,0.016,0.01227,0.01524,1533340800,593891683.9
11,0.01401,0.0143,0.01261,0.01336,1533427200,557641439.1
12,0.01341,0.0144,0.0128,0.01401,1533513600,506766879.5
13,0.01294,0.01412,0.0125,0.01342,1533600000,562658530.4
14,0.01083,0.01295,0.0102,0.01295,1533686400,764007526.6
15,0.01156,0.0118,0.01052,0.01081,1533772800,552925644.3
16,0.00958,0.01168,0.00931,0.01158,1533859200,692666814.7
17,0.00909,0.0098,0.00861,0.00959,1533945600,611570688.6
18,0.00907,0.00985,0.00888,0.00906,1534032000,424271419.6
19,0.00716,0.00918,0.00687,0.00906,1534118400,756411701.0
20,0.00773,0.00776,0.00602,0.00716,1534204800,1128708106.8
21,0.0079,0.0088,0.00753,0.00776,1534291200,1337010517.3
22,0.01125,0.01175,0.00771,0.00789,1534377600,1934789368.7
23,0.01492,0.0166,0.0108,0.01125,1534464000,2855516767.7
24,0.01277,0.015,0.011,0.01491,1534550400,1877658786.5
25,0.01431,0.01448,0.01212,0.01276,1534636800,1328290919.9
26,0.01296,0.01488,0.01284,0.01432,1534723200,1286919954.4
27,0.01542,0.0159,0.0128,0.01295,1534809600,1473027735.3
28,0.01376,0.01641,0.01236,0.01543,1534896000,2305520797.0
29,0.01472,0.0149,0.01351,0.0137,1534982400,1227748091.8
30,0.01453,0.01479,0.0138,0.01472,1535068800,652613463.2
31,0.0154,0.0158,0.01407,0.01451,1535155200,711759706.2
32,0.0153,0.0155,0.01432,0.01536,1535241600,638039324.7
33,0.018,0.01815,0.015,0.01527,1535328000,1306770201.8
34,0.01794,0.01885,0.01741,0.018,1535414400,1064203756.7
35,0.0169,0.01815,0.01621,0.01794,1535500800,884951149.1
36,0.01731,0.01745,0.01557,0.01691,1535587200,698010282.0
37,0.01704,0.01767,0.01632,0.01728,1535673600,658999207.7
38,0.0182,0.01868,0.01693,0.01702,1535760000,630357089.0
39,0.01786,0.01849,0.01727,0.0182,1535846400,573963692.9
40,0.01879,0.01927,0.0174,0.01792,1535932800,826407410.3
41,0.01945,0.01992,0.01851,0.01879,1536019200,975241150.5
42,0.01609,0.01978,0.01575,0.01945,1536105600,1522514846.5
43,0.01615,0.01641,0.01474,0.0161,1536192000,1372602415.1
44,0.0155,0.0168,0.01489,0.01614,1536278400,898020806.4
45,0.01454,0.01613,0.0141,0.01547,1536364800,701173999.2
46,0.01443,0.0155,0.014,0.01453,1536451200,679418206.9
47,0.01415,0.01536,0.01367,0.01445,1536537600,800050160.3
48,0.01312,0.0144,0.01268,0.01415,1536624000,753587251.4
49,0.0138,0.0142,0.01161,0.01312,1536710400,1039544620.9
50,0.01403,0.01446,0.01321,0.01381,1536796800,1109131860.7
51,0.0139,0.01436,0.01341,0.01401,1536883200,708721312.7
52,0.01427,0.0147,0.01352,0.0139,1536969600,573733964.2
53,0.01412,0.01434,0.01373,0.01426,1537056000,426778098.3
54,0.01266,0.01432,0.01234,0.01412,1537142400,832688065.5
55,0.01292,0.01333,0.01236,0.01266,1537228800,676483212.0
56,0.013,0.0133,0.0122,0.01293,1537315200,680359554.7
57,0.01359,0.01386,0.01275,0.013,1537401600,695243168.4
58,0.01445,0.01469,0.01341,0.01359,1537488000,1266727349.2
59,0.01373,0.01467,0.01332,0.01445,1537574400,512486314.3
60,0.01397,0.01418,0.01358,0.01373,1537660800,401888016.0
61,0.01311,0.01401,0.01288,0.01396,1537747200,821473897.6
62,0.01283,0.0131,0.0121,0.01309,1537833600,918662753.6
63,0.01249,0.01293,0.01234,0.01282,1537920000,802252904.9
64,0.01311,0.0133,0.01238,0.01248,1538006400,837629992.0
65,0.01308,0.0137,0.01292,0.01311,1538092800,640201122.0
66,0.01293,0.0131,0.01262,0.01306,1538179200,639965895.8
67,0.01291,0.01306,0.01265,0.01292,1538265600,724568231.6
68,0.01282,0.01299,0.01261,0.01291,1538352000,570643918.1
69,0.01296,0.01345,0.01279,0.01284,1538438400,730618259.9
70,0.01279,0.01298,0.01259,0.01297,1538524800,616849701.6
71,0.01285,0.01303,0.01272,0.0128,1538611200,502282357.0
72,0.01316,0.0133,0.0128,0.01285,1538697600,148620046.9
73,0.01307,0.01333,0.01294,0.01314,1538784000,93971452.5
74,0.0131,0.01321,0.01288,0.01307,1538870400,77292474.1
75,0.01375,0.01391,0.01301,0.01313,1538956800,215725991.4
76,0.01366,0.01382,0.0134,0.01374,1539043200,139417117.0
77,0.01335,0.01368,0.01308,0.01364,1539129600,115704553.9
78,0.01127,0.01336,0.01113,0.01334,1539216000,397154014.2
79,0.01163,0.01201,0.01101,0.01127,1539302400,172222867.9
80,0.01161,0.01178,0.01152,0.0116,1539388800,59143320.0
81,0.01144,0.0119,0.01127,0.0116,1539475200,86002365.0
82,0.01204,0.01303,0.01127,0.01144,1539561600,468755787.1
