,c,h,l,o,t,v
0,0.01658,0.024,0.01522,0.02083,1576195200,59669031.3
1,0.01345,0.0167,0.01295,0.01658,1576281600,27481942.9
2,0.0135,0.01497,0.01267,0.01345,1576368000,12741177.6
3,0.01352,0.01749,0.01288,0.01349,1576454400,38802727.9
4,0.0117,0.01356,0.01121,0.01345,1576540800,13421220.5
5,0.01193,0.01225,0.0108,0.01179,1576627200,7590800.4
6,0.01258,0.01259,0.011,0.01189,1576713600,10365136.1
7,0.0116,0.01267,0.01154,0.01258,1576800000,4814677.6
8,0.01161,0.01195,0.01124,0.01162,1576886400,5420602.1
9,0.01121,0.01162,0.01105,0.0116,1576972800,3009607.4
10,0.01054,0.0114,0.01018,0.01129,1577059200,8717675.8
11,0.01065,0.011,0.01024,0.01053,1577145600,3203800.3
12,0.0112,0.01153,0.01034,0.01037,1577232000,4145111.7
13,0.01295,0.0135,0.0112,0.0112,1577318400,31896669.8
14,0.01177,0.01332,0.0113,0.01295,1577404800,15782826.0
15,0.01147,0.01245,0.01133,0.01177,1577491200,11165657.0
16,0.0113,0.01175,0.01109,0.01162,1577577600,5096860.9
17,0.01128,0.01154,0.011,0.01129,1577664000,4471260.8
18,0.01087,0.0119,0.01054,0.01129,1577750400,5840970.7
19,0.01104,0.01145,0.01059,0.01087,1577836800,1934661.0
20,0.01042,0.01106,0.01017,0.01104,1577923200,2676037.6
21,0.01123,0.01136,0.0102,0.01054,1578009600,4717078.9
22,0.0117,0.01364,0.01112,0.0114,1578096000,10043186.1
23,0.01109,0.01205,0.01095,0.0117,1578182400,4147954.8
24,0.01144,0.01145,0.011,0.01115,1578268800,2635750.8
25,0.01122,0.01226,0.01097,0.01144,1578355200,4383108.8
26,0.01118,0.01161,0.0109,0.01128,1578441600,3220940.3
27,0.01081,0.01129,0.01081,0.01102,1578528000,2394844.2
28,0.01114,0.0113,0.0106,0.01089,1578614400,1930820.4
29,0.0111,0.0123,0.01071,0.01113,1578700800,5238149.2
30,0.0117,0.0117,0.01107,0.01111,1578787200,1242324.7
31,0.01138,0.01205,0.01114,0.01169,1578873600,2499733.2
32,0.01195,0.01224,0.01135,0.01139,1578960000,1779960.9
33,0.0118,0.01208,0.01141,0.01199,1579046400,2480582.2
34,0.01188,0.01269,0.01148,0.01188,1579132800,2212297.9
35,0.0122,0.01319,0.0116,0.01174,1579219200,3463811.2
36,0.01251,0.01297,0.01197,0.01219,1579305600,2391352.6
37,0.01216,0.01289,0.01172,0.01265,1579392000,2353873.5
38,0.01251,0.01284,0.01202,0.01216,1579478400,1806916.7
39,0.0128,0.01323,0.01238,0.01243,1579564800,3095951.9
40,0.01268,0.0135,0.01257,0.0129,1579651200,4137540.5
41,0.01196,0.01295,0.01174,0.01268,1579737600,2209826.0
42,0.01196,0.01202,0.01151,0.01187,1579824000,1400183.8
43,0.01202,0.01285,0.01141,0.01202,1579910400,1513574.8
44,0.01216,0.01236,0.01186,0.01214,1579996800,329537.9
45,0.01238,0.01246,0.01193,0.01214,1580083200,513915.4
46,0.01265,0.0128,0.01187,0.01245,1580169600,1555529.3
47,0.01275,0.01295,0.0125,0.01265,1580256000,724089.1
48,0.01273,0.01287,0.0123,0.0127,1580342400,2120839.9
49,0.01264,0.01373,0.01218,0.0128,1580428800,4519694.7
50,0.01252,0.01297,0.0122,0.01263,1580515200,2196573.3
51,0.01259,0.01279,0.01221,0.01251,1580601600,801475.1
52,0.01251,0.0128,0.01238,0.01259,1580688000,1700736.0
53,0.01317,0.01368,0.01245,0.01269,1580774400,3225478.2
54,0.0131,0.01367,0.01269,0.01317,1580860800,4465323.1
55,0.01507,0.01632,0.01305,0.01306,1580947200,8830513.2
56,0.01588,0.01649,0.01341,0.01493,1581033600,6900929.6
57,0.01532,0.01629,0.01453,0.01589,1581120000,3809485.0
