,c,h,l,o,t,v
0,0.409,0.5,0.3432,0.5,1566864000,1410307.32
1,0.3462,0.4499,0.3423,0.4082,1566950400,2705189.74
2,0.2955,0.3465,0.2897,0.3462,1567036800,1509358.37
3,0.3656,0.4056,0.2834,0.2954,1567123200,8446511.19
4,0.3387,0.3986,0.332,0.3663,1567209600,4374296.25
5,0.4174,0.45,0.3333,0.3387,1567296000,5945749.67
6,0.3824,0.433,0.3756,0.4163,1567382400,5050424.83
7,0.3489,0.4074,0.3429,0.3839,1567468800,4203341.09
8,0.3338,0.3738,0.3277,0.3495,1567555200,3569470.26
9,0.3072,0.3373,0.3003,0.3323,1567641600,2912628.23
10,0.2852,0.308,0.2715,0.3072,1567728000,2673698.34
11,0.2787,0.3016,0.2768,0.2854,1567814400,2041551.94
12,0.2809,0.2982,0.274,0.2795,1567900800,2814471.88
13,0.2703,0.2883,0.2638,0.2806,1567987200,1887075.83
14,0.2615,0.2794,0.26,0.2703,1568073600,1193965.6
15,0.2389,0.2658,0.2353,0.2614,1568160000,1274347.4
16,0.2714,0.295,0.2263,0.239,1568246400,3455859.06
17,0.2595,0.2909,0.2545,0.2714,1568332800,1927692.29
18,0.2556,0.2652,0.2486,0.2595,1568419200,531228.62
19,0.2474,0.2587,0.2471,0.2557,1568505600,287944.55
20,0.2448,0.251,0.2341,0.2486,1568592000,516766.86
21,0.249,0.254,0.242,0.2441,1568678400,491034.65
22,0.2667,0.2699,0.2483,0.249,1568764800,697614.88
23,0.2565,0.2685,0.237,0.2653,1568851200,743307.67
24,0.2511,0.2586,0.247,0.2564,1568937600,306643.23
25,0.2538,0.2581,0.2469,0.2491,1569024000,378282.64
26,0.2561,0.282,0.2463,0.2564,1569110400,1215914.69
27,0.2445,0.2646,0.242,0.2564,1569196800,894496.34
28,0.1986,0.2899,0.1719,0.244,1569283200,2302661.02
29,0.2003,0.2143,0.1873,0.1981,1569369600,855546.27
30,0.1869,0.21,0.1702,0.2003,1569456000,1349877.7
31,0.1909,0.1925,0.1826,0.1867,1569542400,617078.89
32,0.1914,0.1959,0.1866,0.1909,1569628800,343457.92
33,0.1836,0.1915,0.1765,0.1914,1569715200,277966.6
34,0.1948,0.1948,0.1761,0.1845,1569801600,536780.36
35,0.1901,0.201,0.1877,0.1946,1569888000,384887.91
36,0.2084,0.2114,0.1882,0.1902,1569974400,424014.35
37,0.2103,0.2116,0.1975,0.2084,1570060800,696253.17
38,0.2036,0.2098,0.1993,0.2098,1570147200,229007.31
39,0.2017,0.2124,0.197,0.2026,1570233600,315192.45
40,0.1898,0.2031,0.189,0.202,1570320000,264147.69
41,0.2028,0.2041,0.188,0.1901,1570406400,230396.49
42,0.2137,0.2159,0.1971,0.2028,1570492800,477449.5
43,0.2409,0.2469,0.2094,0.2136,1570579200,1630262.42
44,0.2174,0.2434,0.2136,0.241,1570665600,743697.46
45,0.2061,0.2173,0.2015,0.2173,1570752000,829996.34
46,0.2024,0.209,0.2,0.2068,1570838400,467202.09
47,0.2057,0.2087,0.196,0.2024,1570924800,320818.7
48,0.2143,0.2183,0.2037,0.2043,1571011200,358791.15
49,0.2012,0.2146,0.199,0.2135,1571097600,518694.5
50,0.1922,0.2023,0.1844,0.2012,1571184000,293110.7
51,0.1995,0.2012,0.1862,0.1905,1571270400,257620.88
52,0.1914,0.1995,0.187,0.1976,1571356800,252714.59
53,0.1915,0.194,0.1876,0.191,1571443200,155478.25
54,0.1991,0.1999,0.1868,0.1893,1571529600,254126.38
55,0.2029,0.2053,0.195,0.1991,1571616000,448042.33
56,0.1961,0.2042,0.1954,0.2029,1571702400,153238.94
57,0.1789,0.1988,0.1717,0.1955,1571788800,365924.2
58,0.1814,0.1822,0.1748,0.1789,1571875200,122646.67
59,0.1971,0.201,0.178,0.1789,1571961600,356354.74
60,0.2015,0.223,0.1957,0.1989,1572048000,747337.38
61,0.2288,0.2488,0.1966,0.2015,1572134400,1661020.0
62,0.2209,0.279,0.2169,0.2289,1572220800,1034523.65
63,0.2256,0.2295,0.2125,0.2184,1572307200,756949.47
64,0.2237,0.2266,0.2075,0.2254,1572393600,458374.06
65,0.2316,0.2366,0.215,0.2246,1572480000,505908.67
66,0.2271,0.2329,0.221,0.2316,1572566400,255186.82
67,0.2276,0.2324,0.2207,0.2281,1572652800,214887.72
68,0.2232,0.2302,0.2188,0.2284,1572739200,389780.77
69,0.2294,0.234,0.22,0.2232,1572825600,462851.1
70,0.2433,0.2546,0.2246,0.2294,1572912000,1242945.9
71,0.2409,0.2518,0.2372,0.2433,1572998400,663779.4
72,0.2306,0.2422,0.2252,0.2414,1573084800,594135.12
73,0.2213,0.2334,0.2095,0.2307,1573171200,624248.08
74,0.216,0.2224,0.2132,0.2209,1573257600,165974.1
75,0.2232,0.2256,0.2147,0.2152,1573344000,176681.14
76,0.2221,0.2263,0.2137,0.2234,1573430400,197442.77
77,0.2269,0.2322,0.2172,0.2195,1573516800,301118.13
78,0.2341,0.2349,0.2235,0.227,1573603200,218863.97
79,0.2213,0.2341,0.221,0.234,1573689600,213670.68
80,0.2166,0.2244,0.2112,0.2213,1573776000,333294.3
81,0.2284,0.2306,0.215,0.2166,1573862400,376572.32
82,0.262,0.2659,0.2257,0.228,1573948800,1660306.64
83,0.2302,0.2642,0.2245,0.263,1574035200,1467896.89
84,0.23,0.2354,0.2143,0.2301,1574121600,702360.67
85,0.2317,0.244,0.2213,0.2299,1574208000,642558.45
86,0.2088,0.2439,0.2039,0.2334,1574294400,748466.61
87,0.1972,0.2178,0.1771,0.2092,1574380800,633004.7
88,0.2071,0.214,0.1862,0.197,1574467200,310517.24
89,0.1849,0.2094,0.1826,0.2076,1574553600,394672.38
90,0.1946,0.197,0.17,0.1839,1574640000,328596.97
91,0.2048,0.2061,0.1895,0.1944,1574726400,330025.8
92,0.2076,0.2155,0.186,0.2048,1574812800,624198.16
93,0.213,0.2189,0.2072,0.2076,1574899200,312409.38
94,0.219,0.2264,0.213,0.2156,1574985600,293332.08
95,0.2079,0.2213,0.2018,0.2191,1575072000,354703.68
96,0.1936,0.2077,0.1903,0.2077,1575158400,612317.51
