,c,h,l,o,t,v
0,2.5235,2.77,2.0,2.77,1547769600,86973.39
1,2.5718,2.64,2.5041,2.53,1547856000,99970.3
2,2.5071,2.6085,2.42,2.5539,1547942400,85585.78
3,2.5001,2.58,2.4545,2.5071,1548028800,66461.35
4,2.7684,2.81,2.3747,2.51,1548115200,331847.14
5,3.0269,3.212,2.7115,2.7694,1548201600,1216900.0
6,2.7189,3.091,2.598,3.0239,1548288000,843825.01
7,2.7792,2.9199,2.7,2.7189,1548374400,427197.21
8,2.677,2.8237,2.6516,2.78,1548460800,188896.03
9,2.6726,2.9399,2.6,2.6713,1548547200,559958.05
10,2.879,2.9199,2.485,2.6729,1548633600,1272020.41
11,2.9478,3.0463,2.7614,2.879,1548720000,1478807.29
12,2.8729,3.055,2.7079,2.9478,1548806400,1486687.83
13,2.773,2.9061,2.7511,2.8783,1548892800,365639.15
14,2.7135,2.779,2.6483,2.7768,1548979200,277130.19
15,2.7138,2.745,2.695,2.7176,1549065600,134925.43
16,2.8211,2.9071,2.6553,2.7151,1549152000,608219.23
17,2.7277,2.87,2.702,2.8184,1549238400,357521.22
18,2.6662,2.785,2.6191,2.7253,1549324800,455506.99
19,2.504,2.678,2.5,2.6661,1549411200,372775.15
20,2.4885,2.6192,2.4689,2.504,1549497600,307286.49
21,2.6465,2.6876,2.4501,2.4865,1549584000,502060.29
22,2.6,2.665,2.5539,2.6593,1549670400,269215.76
23,2.72,2.75,2.572,2.6018,1549756800,421981.05
24,2.8726,2.9153,2.6345,2.72,1549843200,475068.16
25,2.8492,2.9158,2.7207,2.87,1549929600,476142.71
26,2.7317,2.8695,2.723,2.8454,1550016000,179514.63
27,2.6419,2.7588,2.6312,2.7316,1550102400,176689.8
28,2.6565,2.7,2.6313,2.6364,1550188800,123475.7
29,2.6081,2.6799,2.605,2.6462,1550275200,105260.74
30,2.6094,2.6596,2.5501,2.6081,1550361600,150858.31
31,2.74,2.7868,2.6094,2.6095,1550448000,361072.29
32,2.7862,2.93,2.7012,2.74,1550534400,455390.39
33,2.7849,2.82,2.735,2.782,1550620800,173102.83
34,2.8509,2.8671,2.7392,2.7849,1550707200,274491.54
35,2.9022,2.91,2.8081,2.8573,1550793600,192626.9
36,2.8894,2.93,2.7904,2.8961,1550880000,249027.4
37,2.637,2.9364,2.55,2.8894,1550966400,402202.51
38,2.6794,2.75,2.6025,2.6463,1551052800,180258.48
39,2.6435,2.7003,2.6159,2.6756,1551139200,98978.33
40,2.6473,2.7,2.5506,2.6428,1551225600,170216.16
41,2.6495,2.7273,2.6086,2.645,1551312000,234356.11
42,2.6815,2.74,2.6305,2.6465,1551398400,102303.16
43,2.6606,2.7123,2.631,2.6949,1551484800,63182.56
44,2.652,2.6694,2.6143,2.6592,1551571200,65083.29
45,2.5858,2.6682,2.505,2.6483,1551657600,95495.86
46,2.623,2.654,2.517,2.5878,1551744000,117470.56
47,2.5489,2.6503,2.5342,2.623,1551830400,162047.63
48,2.5659,2.6017,2.523,2.5539,1551916800,176443.0
49,2.647,2.8255,2.5319,2.5645,1552003200,610406.53
