,c,h,l,o,t,v
0,0.29568,0.306,0.28021,0.28021,1527724800,13858336.58
1,0.28863,0.29999,0.27963,0.29567,1527811200,20363494.36
2,0.2974,0.30489,0.28812,0.28869,1527897600,21831274.53
3,0.30405,0.312,0.29651,0.29741,1527984000,21640031.26
4,0.2908,0.31104,0.28501,0.30406,1528070400,17487526.89
5,0.29403,0.29876,0.27801,0.29022,1528156800,15259665.07
6,0.2995,0.30151,0.28817,0.29403,1528243200,15572839.03
7,0.29298,0.3062,0.29,0.29959,1528329600,17873474.34
8,0.28698,0.29542,0.28471,0.29284,1528416000,17749233.55
9,0.28027,0.29135,0.27777,0.28698,1528502400,18505595.52
10,0.24402,0.287,0.23681,0.28027,1528588800,20539255.42
11,0.25332,0.258,0.23377,0.24472,1528675200,15650347.87
12,0.22717,0.25332,0.213,0.25329,1528761600,17130990.6
13,0.21839,0.23056,0.20331,0.22622,1528848000,18906513.51
14,0.2399,0.2438,0.21641,0.2184,1528934400,22050182.15
15,0.22899,0.24238,0.22799,0.23993,1529020800,18277900.33
16,0.22953,0.23374,0.22231,0.22883,1529107200,14746164.21
17,0.22814,0.23382,0.22571,0.2299,1529193600,14393871.3
18,0.23262,0.24051,0.21955,0.22815,1529280000,17161710.06
19,0.23409,0.24054,0.22979,0.23302,1529366400,15353618.48
20,0.23067,0.23673,0.22341,0.23469,1529452800,15856602.15
21,0.22643,0.23565,0.225,0.23099,1529539200,15045869.0
22,0.2004,0.22727,0.19597,0.22642,1529625600,20380324.97
23,0.20212,0.20543,0.195,0.2004,1529712000,13574938.66
24,0.19277,0.20242,0.17607,0.20212,1529798400,22024662.28
25,0.19751,0.20343,0.18663,0.19278,1529884800,21302401.73
26,0.18345,0.19832,0.18286,0.19751,1529971200,12781347.82
27,0.19036,0.19309,0.18028,0.18294,1530057600,15759160.53
28,0.17702,0.19251,0.17462,0.19101,1530144000,18088683.0
29,0.18653,0.1897,0.17062,0.17667,1530230400,21507808.72
30,0.19319,0.204,0.18643,0.18691,1530316800,23387528.78
31,0.19989,0.20059,0.18887,0.19352,1530403200,21264001.96
32,0.21483,0.21832,0.193,0.1997,1530489600,29355956.18
33,0.2053,0.22289,0.2032,0.21483,1530576000,26509634.97
34,0.2105,0.2323,0.2036,0.2053,1530662400,15621670.91
35,0.2006,0.21572,0.19719,0.21065,1530748800,17412906.49
36,0.2068,0.21081,0.19535,0.2006,1530835200,16202885.66
37,0.20836,0.209,0.19886,0.20676,1530921600,20911837.14
38,0.21033,0.2178,0.20662,0.20786,1531008000,25924066.46
39,0.20575,0.215,0.20475,0.21034,1531094400,21092165.95
40,0.19086,0.20685,0.19011,0.2055,1531180800,21169769.11
