,c,h,l,o,t,v
0,0.8899,1.5,0.5,0.5,1525392000,20890213.82
1,0.9028,0.935,0.888,0.8898,1525478400,16816165.3
2,0.86483,0.918,0.83774,0.9028,1525564800,16002035.8
3,0.8249,0.86886,0.8,0.86482,1525651200,17303486.4
4,0.80667,0.84802,0.792,0.8249,1525737600,12971303.18
5,0.79481,0.81894,0.7569,0.80667,1525824000,13982375.89
6,0.74558,0.80572,0.74085,0.79481,1525910400,10136895.73
7,0.6761,0.75602,0.64758,0.7492,1525996800,31292480.04
8,0.68522,0.71,0.62519,0.67376,1526083200,18181151.11
9,0.72999,0.7501,0.66456,0.68192,1526169600,17521261.77
10,0.72694,0.7499,0.68585,0.72999,1526256000,21771364.96
11,0.689,0.74892,0.6801,0.72695,1526342400,12951988.45
12,0.70585,0.712,0.65756,0.689,1526428800,11182432.7
13,0.65849,0.712,0.6482,0.70942,1526515200,10070061.14
14,0.67766,0.68255,0.646,0.65849,1526601600,10140675.13
15,0.67339,0.69139,0.6611,0.67698,1526688000,6854397.75
16,0.6994,0.70659,0.668,0.67483,1526774400,8055673.92
17,0.67612,0.705,0.66666,0.6994,1526860800,7908213.57
18,0.63782,0.67817,0.635,0.67612,1526947200,7567010.71
19,0.59198,0.64488,0.5731,0.63782,1527033600,20078062.21
20,0.62814,0.64,0.57617,0.59053,1527120000,14214140.1
21,0.60459,0.63391,0.59336,0.62966,1527206400,20060607.91
22,0.60852,0.62618,0.59771,0.60596,1527292800,25800066.42
23,0.60416,0.648,0.59705,0.60907,1527379200,23735080.8
24,0.54689,0.6091,0.5434,0.60417,1527465600,29854808.11
25,0.59998,0.60921,0.54303,0.54689,1527552000,30948291.22
26,0.60149,0.626,0.58101,0.5997,1527638400,31305613.07
27,0.6114,0.62255,0.58829,0.60051,1527724800,33579966.89
28,0.62151,0.62428,0.6024,0.6114,1527811200,34403361.87
29,0.64269,0.65204,0.61513,0.62236,1527897600,37211532.2
30,0.6901,0.69101,0.63862,0.64285,1527984000,37142715.53
31,0.65507,0.707,0.6351,0.6901,1528070400,48289982.65
32,0.67464,0.686,0.6328,0.65508,1528156800,42509387.77
33,0.6741,0.6833,0.653,0.67507,1528243200,34326183.79
34,0.67756,0.69,0.67089,0.6738,1528329600,35031819.04
35,0.6721,0.68,0.65832,0.6777,1528416000,32089604.02
36,0.6574,0.68,0.65514,0.67211,1528502400,31323211.84
37,0.58201,0.6585,0.55,0.65687,1528588800,47688606.63
38,0.59989,0.6,0.56,0.58202,1528675200,23744329.91
39,0.5556,0.5991,0.5415,0.59901,1528761600,29332950.65
40,0.52862,0.56124,0.50401,0.5556,1528848000,36877773.15
41,0.55769,0.569,0.51934,0.52863,1528934400,35000456.5
42,0.53258,0.55927,0.52447,0.55765,1529020800,25702497.7
43,0.53275,0.5385,0.51733,0.53224,1529107200,26240580.6
44,0.52617,0.5437,0.51999,0.53232,1529193600,33461820.8
45,0.5387,0.5535,0.50818,0.52669,1529280000,33893328.6
46,0.54834,0.56185,0.5207,0.53835,1529366400,28857265.3
47,0.53916,0.55188,0.52065,0.54833,1529452800,34683099.0
48,0.53457,0.549,0.52899,0.53919,1529539200,29891909.8
49,0.48216,0.53506,0.46859,0.5342,1529625600,41843180.71
50,0.49005,0.49909,0.47333,0.48287,1529712000,27230808.7
51,0.47331,0.51,0.43724,0.48963,1529798400,41451907.36
52,0.48125,0.4992,0.47123,0.47418,1529884800,31726495.2
53,0.453,0.48241,0.4511,0.48125,1529971200,17670678.0
54,0.4701,0.47518,0.44787,0.45218,1530057600,29671588.2
55,0.44575,0.47396,0.442,0.47042,1530144000,35784353.9
56,0.45321,0.46124,0.42393,0.4463,1530230400,37535516.8
57,0.46796,0.48318,0.45312,0.45346,1530316800,37495051.8
58,0.46222,0.46989,0.45007,0.46797,1530403200,31676174.1
59,0.4899,0.4954,0.452,0.46222,1530489600,39873781.8
60,0.4844,0.52,0.47801,0.48913,1530576000,44333181.6
61,0.49097,0.508,0.47941,0.48469,1530662400,26722886.3
62,0.4769,0.50295,0.46887,0.49155,1530748800,30689285.9
63,0.47698,0.48156,0.45747,0.47772,1530835200,26805008.7
64,0.48494,0.488,0.46381,0.47644,1530921600,28584029.2
65,0.47915,0.48798,0.4751,0.4852,1531008000,31480979.3
66,0.473,0.48201,0.47015,0.47872,1531094400,26690553.6
67,0.44337,0.47338,0.43866,0.4728,1531180800,30651668.1
68,0.44872,0.45134,0.43957,0.44247,1531267200,28635928.2
69,0.43675,0.44932,0.4236,0.449,1531353600,30380599.5
70,0.43754,0.44509,0.43001,0.43706,1531440000,33168644.3
71,0.43864,0.4443,0.431,0.43761,1531526400,27141582.3
72,0.44681,0.45004,0.43509,0.43864,1531612800,33882949.8
73,0.48173,0.4858,0.4435,0.44695,1531699200,41419524.1
74,0.50728,0.52019,0.4665,0.48173,1531785600,48166296.2
75,0.48868,0.52525,0.4752,0.50651,1531872000,48747453.6
76,0.47687,0.495,0.47125,0.48869,1531958400,36600560.0
77,0.44439,0.4773,0.431,0.47703,1532044800,40745516.2
78,0.45506,0.459,0.4346,0.4444,1532131200,28483991.4
79,0.44859,0.46409,0.44589,0.45467,1532217600,32232347.2
80,0.44499,0.46371,0.44212,0.44859,1532304000,30316389.9
81,0.45885,0.4715,0.438,0.4452,1532390400,43532211.2
82,0.4598,0.46878,0.45153,0.45741,1532476800,42650288.4
83,0.44968,0.46887,0.44538,0.45983,1532563200,38041528.4
84,0.4555,0.462,0.444,0.44878,1532649600,35252979.8
85,0.45641,0.45887,0.44803,0.4555,1532736000,27843347.3
86,0.45315,0.45849,0.45,0.45643,1532822400,31188705.5
87,0.44534,0.45621,0.43382,0.45315,1532908800,32141597.9
88,0.4353,0.44641,0.4268,0.44616,1532995200,31785092.6
89,0.44642,0.46382,0.42671,0.4353,1533081600,39833478.3
90,0.42975,0.44888,0.42849,0.44673,1533168000,33396468.1
91,0.44033,0.44619,0.4253,0.43021,1533254400,44748261.2
92,0.42985,0.445,0.42741,0.44097,1533340800,35095397.5
93,0.4345,0.43705,0.42705,0.42984,1533427200,34962084.2
94,0.4129,0.43699,0.40127,0.43437,1533513600,40578992.9
95,0.37863,0.41567,0.37387,0.41328,1533600000,41157252.56
96,0.33171,0.37863,0.31928,0.37863,1533686400,72393008.15
97,0.3441,0.35799,0.328,0.33197,1533772800,51832840.7
98,0.31897,0.34689,0.31236,0.3441,1533859200,39269097.2
99,0.29784,0.32008,0.2874,0.31897,1533945600,48724318.7
100,0.29547,0.30938,0.29401,0.29708,1534032000,35382260.6
101,0.2743,0.309,0.27127,0.29575,1534118400,43767335.34
102,0.2725,0.27732,0.24672,0.2743,1534204800,56101899.0
103,0.28039,0.30234,0.2728,0.2728,1534291200,72676585.2
104,0.29142,0.30184,0.2755,0.28,1534377600,46325561.5
105,0.3672,0.37506,0.29085,0.29161,1534464000,84683658.1
106,0.32829,0.37,0.31039,0.36721,1534550400,80106581.6
107,0.34201,0.35281,0.316,0.32848,1534636800,63806323.3
108,0.31499,0.35095,0.3128,0.34201,1534723200,52378768.0
109,0.33339,0.33799,0.31302,0.315,1534809600,43866930.8
110,0.3185,0.35499,0.31039,0.33398,1534896000,65706077.8
111,0.3263,0.32958,0.31306,0.31849,1534982400,44849401.1
112,0.32646,0.329,0.31577,0.3263,1535068800,43010739.1
113,0.32702,0.332,0.3216,0.32647,1535155200,36349187.2
114,0.32276,0.32912,0.318,0.32759,1535241600,33496561.2
115,0.33901,0.34062,0.32145,0.32277,1535328000,50870196.2
116,0.35128,0.35809,0.33423,0.339,1535414400,63583203.6
117,0.34494,0.3556,0.33361,0.35067,1535500800,55136625.6
118,0.33518,0.3466,0.32252,0.34494,1535587200,43887997.7
119,0.3353,0.349,0.32728,0.3347,1535673600,36467734.8
120,0.34699,0.35517,0.33476,0.3353,1535760000,49527170.3
121,0.34253,0.34918,0.33,0.34698,1535846400,41314287.1
122,0.33493,0.34387,0.333,0.34237,1535932800,34536040.9
123,0.33116,0.34157,0.32819,0.33491,1536019200,42441830.5
124,0.27889,0.334,0.2772,0.33116,1536105600,67385077.8
125,0.30179,0.307,0.2676,0.27899,1536192000,71823322.1
126,0.2869,0.30445,0.28092,0.30182,1536278400,48139492.1
127,0.27679,0.294,0.26891,0.28686,1536364800,41246183.1
128,0.2766,0.2908,0.27,0.27665,1536451200,39852343.2
129,0.27,0.28263,0.259,0.27699,1536537600,46733069.5
130,0.26314,0.276,0.25261,0.27,1536624000,50280138.4
131,0.2699,0.27413,0.25308,0.26349,1536710400,46434334.2
132,0.27933,0.28641,0.2676,0.26959,1536796800,59569126.9
133,0.27571,0.2867,0.27138,0.27892,1536883200,46466958.6
134,0.28031,0.28489,0.27533,0.2761,1536969600,33938106.1
135,0.28122,0.28229,0.27351,0.2803,1537056000,32576561.4
136,0.2706,0.28373,0.26662,0.28122,1537142400,48278145.2
137,0.31897,0.337,0.269,0.2706,1537228800,161707328.6
138,0.32679,0.337,0.3109,0.31898,1537315200,104736271.2
139,0.44819,0.492,0.32103,0.32718,1537401600,273416987.8
140,0.56405,0.8,0.4185,0.44877,1537488000,699259999.14
141,0.57368,0.63,0.49094,0.56399,1537574400,384055321.9
142,0.5719,0.59975,0.55501,0.57249,1537660800,176776991.6
143,0.49358,0.5831,0.48256,0.5719,1537747200,220968527.3
144,0.5256,0.549,0.43558,0.49235,1537833600,381527240.4
145,0.513,0.57299,0.48364,0.52633,1537920000,418985950.3
146,0.54305,0.555,0.50578,0.51343,1538006400,195704174.8
147,0.54025,0.55,0.51624,0.54305,1538092800,169084867.6
148,0.56876,0.5968,0.52505,0.54026,1538179200,216560342.7
149,0.58257,0.62604,0.55744,0.56875,1538265600,249779723.5
150,0.5776,0.6059,0.532,0.58257,1538352000,268385710.5
151,0.51692,0.58038,0.515,0.57734,1538438400,162916775.7
152,0.5293,0.5388,0.50785,0.51692,1538524800,170746863.2
153,0.5294,0.54999,0.5257,0.52982,1538611200,121125329.6
154,0.5211,0.53331,0.51031,0.52921,1538697600,101220917.6
155,0.48964,0.5226,0.46859,0.52098,1538784000,141936655.1
156,0.48269,0.49149,0.46666,0.4893,1538870400,98985658.4
157,0.49335,0.50449,0.47824,0.4826,1538956800,119530087.1
158,0.48199,0.49387,0.47108,0.49302,1539043200,87513820.2
159,0.46605,0.48171,0.46066,0.48171,1539129600,87026618.7
160,0.38315,0.46632,0.37713,0.46632,1539216000,214466238.8
161,0.42071,0.44953,0.37685,0.38319,1539302400,182232226.9
162,0.4227,0.432,0.417,0.42071,1539388800,73115932.0
163,0.40994,0.43057,0.40321,0.42259,1539475200,82556004.2
164,0.46168,0.52179,0.39771,0.40951,1539561600,287232730.0
165,0.48352,0.48896,0.45554,0.46183,1539648000,126629832.4
166,0.48437,0.49818,0.47201,0.48352,1539734400,110247010.2
167,0.4675,0.49408,0.456,0.48383,1539820800,98622485.8
168,0.46077,0.473,0.458,0.46848,1539907200,54642245.2
169,0.46788,0.47293,0.45633,0.46103,1539993600,62948221.8
170,0.46458,0.47476,0.4635,0.46772,1540080000,48975343.9
171,0.46192,0.46901,0.45475,0.46458,1540166400,41455391.5
172,0.47006,0.48649,0.444,0.46163,1540252800,58195282.8
173,0.46402,0.478,0.46,0.47005,1540339200,36421466.1
174,0.46351,0.4731,0.45688,0.46401,1540425600,34586029.5
175,0.46657,0.471,0.45923,0.46351,1540512000,38006244.6
176,0.46012,0.4681,0.4576,0.46657,1540598400,35912703.0
177,0.46472,0.46695,0.458,0.4601,1540684800,36212879.3
178,0.44506,0.46516,0.4343,0.46483,1540771200,48934076.3
179,0.44749,0.455,0.444,0.44554,1540857600,28201734.6
0,0.44749,0.455,0.444,0.44554,1540857600,28201734.6
1,0.45418,0.46097,0.4375,0.44734,1540944000,34928585.5
2,0.46141,0.462,0.4485,0.45418,1541030400,28279669.6
3,0.463,0.46899,0.45901,0.46137,1541116800,35704076.7
4,0.45713,0.46449,0.45433,0.46281,1541203200,28318009.2
5,0.46999,0.47959,0.44955,0.45706,1541289600,50696119.7
6,0.5022,0.50644,0.461,0.46999,1541376000,76939385.1
7,0.55523,0.56878,0.50053,0.5022,1541462400,165152551.2
8,0.5409,0.5555,0.52751,0.5546,1541548800,83021151.0
9,0.49694,0.5468,0.492,0.5409,1541635200,91511954.5
