,c,h,l,o,t,v
0,0.8597,1.11,0.775,1.015,1569283200,812705.26
1,0.8517,0.9122,0.8101,0.8711,1569369600,342967.31
2,0.8503,0.9086,0.81,0.8521,1569456000,406060.51
3,0.8845,0.8979,0.81,0.8451,1569542400,257134.2
4,0.8902,0.94,0.8605,0.8866,1569628800,251804.6
5,0.8817,0.9058,0.8565,0.8966,1569715200,153810.52
6,0.9018,0.9169,0.8405,0.8743,1569801600,295749.36
7,0.9502,0.992,0.895,0.9016,1569888000,279353.2
8,0.9428,0.9482,0.8854,0.9482,1569974400,244306.65
9,0.9299,0.9627,0.9071,0.9427,1570060800,218314.72
10,0.9194,0.9306,0.8967,0.9306,1570147200,122336.97
11,0.9094,0.9192,0.8983,0.9155,1570233600,93787.32
12,0.8641,0.9133,0.86,0.9114,1570320000,237566.39
13,0.8983,0.9238,0.8503,0.863,1570406400,334799.55
14,0.8982,0.913,0.8893,0.8983,1570492800,162029.52
15,0.9332,0.9591,0.89,0.8972,1570579200,375400.73
16,0.914,0.9478,0.9111,0.9354,1570665600,191529.09
17,0.9052,0.9196,0.876,0.9146,1570752000,258983.29
18,0.89,0.9121,0.89,0.9082,1570838400,72844.97
19,0.9031,0.9362,0.8836,0.8904,1570924800,179872.49
20,0.9363,0.9373,0.8954,0.8993,1571011200,209153.8
21,0.9056,0.9384,0.9017,0.9363,1571097600,99930.95
22,0.8731,0.9087,0.8561,0.9011,1571184000,162680.29
23,0.8923,0.8961,0.8673,0.8733,1571270400,83266.39
24,0.8792,0.895,0.865,0.8887,1571356800,60247.0
25,0.8618,0.8919,0.8533,0.875,1571443200,65336.8
26,0.8793,0.8867,0.8533,0.8593,1571529600,43130.94
27,0.8644,0.8897,0.8608,0.8796,1571616000,48259.34
28,0.8335,0.8792,0.82,0.8692,1571702400,235556.75
29,0.7585,0.8345,0.7499,0.83,1571788800,357749.81
30,0.759,0.7725,0.7499,0.7595,1571875200,221814.24
31,0.8348,0.8399,0.7595,0.7616,1571961600,304385.52
32,0.8346,0.92,0.8008,0.8346,1572048000,344511.04
33,0.8603,0.89,0.8052,0.8373,1572134400,325240.96
34,0.85,0.93,0.848,0.8622,1572220800,356872.75
35,0.8419,0.8673,0.8276,0.8485,1572307200,205439.83
36,0.8755,0.9245,0.8225,0.8421,1572393600,684841.22
37,0.8832,0.9248,0.8656,0.8783,1572480000,517813.94
38,0.8728,0.8897,0.8588,0.8827,1572566400,177185.03
39,0.8619,0.8798,0.8548,0.8789,1572652800,150251.18
40,0.8666,0.8669,0.8462,0.8621,1572739200,102598.99
41,0.8859,0.905,0.8617,0.8658,1572825600,360867.44
42,0.9243,0.9287,0.8763,0.8857,1572912000,372594.52
43,1.0156,1.05,0.901,0.9237,1572998400,1517698.65
44,1.2079,1.4306,1.0153,1.0153,1573084800,6496093.59
45,1.1659,1.2999,1.1166,1.2089,1573171200,2029353.23
46,1.2658,1.275,1.147,1.166,1573257600,1137098.44
47,1.2237,1.2648,1.1838,1.2623,1573344000,866060.71
48,1.1706,1.2466,1.1649,1.2248,1573430400,527861.36
49,1.1655,1.2,1.1469,1.1723,1573516800,412917.29
50,1.1314,1.1683,1.1106,1.1668,1573603200,537021.4
51,1.2162,1.2913,1.096,1.128,1573689600,2493395.26
52,1.17,1.2591,1.1264,1.2161,1573776000,1267783.16
53,1.1546,1.1759,1.1452,1.17,1573862400,495792.26
54,1.1552,1.1721,1.1439,1.157,1573948800,401454.08
55,1.2122,1.259,1.1528,1.1558,1574035200,1253135.9
56,1.2036,1.24,1.1353,1.216,1574121600,975672.12
57,1.2145,1.2444,1.16,1.2036,1574208000,905851.18
58,1.2158,1.3,1.1707,1.2161,1574294400,2398916.03
59,1.2199,1.2779,1.07,1.213,1574380800,2542579.95
60,1.3802,1.4291,1.2199,1.2199,1574467200,4063181.11
61,1.3099,1.4044,1.2841,1.3835,1574553600,1900705.22
62,1.228,1.3192,1.1998,1.31,1574640000,2695715.17
63,1.2384,1.2825,1.2175,1.2275,1574726400,1748310.02
64,1.2542,1.2783,1.1441,1.239,1574812800,2122016.11
65,1.2725,1.3488,1.2084,1.256,1574899200,1835735.01
66,1.3068,1.3446,1.2694,1.2765,1574985600,1420957.95
67,1.3336,1.3598,1.3043,1.3066,1575072000,1249095.61
68,1.2527,1.3358,1.2424,1.3357,1575158400,1181355.62
69,1.2394,1.2551,1.2,1.2514,1575244800,1391941.74
70,1.2904,1.3066,1.2047,1.2393,1575331200,1879547.73
71,1.2411,1.3287,1.2337,1.2898,1575417600,1935645.7
72,1.2887,1.2956,1.2289,1.2407,1575504000,801924.93
73,1.3774,1.4294,1.2716,1.2874,1575590400,1852558.93
74,1.438,1.4779,1.363,1.377,1575676800,2942267.03
75,1.5998,1.6161,1.438,1.438,1575763200,4331468.21
76,1.5497,1.65,1.5261,1.6,1575849600,3472505.23
77,1.4754,1.5533,1.3914,1.5533,1575936000,4162475.34
78,1.5725,1.5954,1.4657,1.4769,1576022400,2982142.96
79,1.7583,1.7804,1.5108,1.5745,1576108800,6552820.83
80,1.7685,1.8433,1.6622,1.7632,1576195200,6534035.15
81,1.6768,1.7817,1.62,1.7723,1576281600,4539967.76
82,1.6715,1.745,1.5967,1.6767,1576368000,3304282.88
83,1.6657,1.713,1.5972,1.6708,1576454400,3352279.82
84,1.543,1.7673,1.517,1.6643,1576540800,7226466.5
85,1.5839,1.645,1.4272,1.5434,1576627200,5955944.81
86,1.5008,1.6163,1.4616,1.584,1576713600,3678307.2
87,1.6045,1.6045,1.4751,1.5008,1576800000,2723089.7
88,1.4709,1.6073,1.4618,1.603,1576886400,2287584.85
89,1.464,1.5223,1.441,1.4722,1576972800,2301036.88
90,1.5155,1.58,1.4575,1.464,1577059200,2815570.36
91,1.4825,1.5195,1.4728,1.517,1577145600,1009172.77
92,1.4016,1.4883,1.3912,1.4836,1577232000,2034781.38
93,1.3684,1.455,1.3311,1.4018,1577318400,2520180.04
94,1.38,1.41,1.3536,1.3682,1577404800,1058000.91
95,1.3281,1.3868,1.32,1.382,1577491200,2077450.37
96,1.3114,1.3399,1.2798,1.3279,1577577600,2620148.63
97,1.3297,1.3562,1.2892,1.3091,1577664000,2149965.09
98,1.3533,1.3964,1.3027,1.3296,1577750400,2378897.34
99,1.37,1.3745,1.3217,1.3532,1577836800,1197263.77
100,1.2428,1.3783,1.23,1.37,1577923200,2104119.58
101,1.2785,1.3072,1.233,1.2419,1578009600,2231454.57
102,1.2557,1.2899,1.2216,1.2798,1578096000,2072266.71
103,1.2545,1.2808,1.2345,1.2563,1578182400,1634808.71
104,1.3047,1.34,1.2526,1.2547,1578268800,2339692.45
105,1.2929,1.3323,1.2517,1.3031,1578355200,2943258.42
106,1.3307,1.395,1.2765,1.2969,1578441600,3138359.5
107,1.2811,1.3663,1.2633,1.3315,1578528000,2319186.71
108,1.3064,1.3488,1.255,1.2797,1578614400,1942752.52
109,1.3041,1.35,1.2955,1.3065,1578700800,1506803.8
110,1.3072,1.3195,1.295,1.304,1578787200,552038.21
111,1.2743,1.3071,1.256,1.3071,1578873600,1277806.35
112,1.3248,1.3471,1.2717,1.2743,1578960000,3118476.85
113,1.3453,1.4076,1.2837,1.3254,1579046400,3425836.51
114,1.4936,1.54,1.3005,1.3453,1579132800,3471285.45
115,1.477,1.54,1.4198,1.4957,1579219200,3747032.54
116,1.4806,1.55,1.4172,1.4729,1579305600,1742968.44
117,1.4267,1.528,1.36,1.4796,1579392000,2150794.6
118,1.5929,1.593,1.4068,1.423,1579478400,3214303.24
119,1.536,1.6195,1.498,1.5929,1579564800,2510293.13
120,1.5937,1.6444,1.5278,1.5337,1579651200,2156529.47
121,1.5591,1.6263,1.4955,1.5949,1579737600,3095923.93
122,1.5144,1.5709,1.4955,1.56,1579824000,1561561.46
123,1.4947,1.545,1.4562,1.5123,1579910400,1236040.65
124,1.5256,1.53,1.4689,1.4918,1579996800,905281.83
125,1.5207,1.548,1.4854,1.5256,1580083200,1516861.22
126,1.5508,1.58,1.508,1.5204,1580169600,2120790.08
127,1.5698,1.6881,1.5388,1.551,1580256000,3148389.67
128,1.6773,1.71,1.5574,1.57,1580342400,3231067.18
129,1.6564,1.724,1.6455,1.6821,1580428800,1693086.42
130,1.749,1.749,1.6549,1.6586,1580515200,1001361.56
131,1.929,2.0094,1.6921,1.7483,1580601600,4545752.51
132,1.9968,2.1099,1.87,1.9261,1580688000,5610211.92
133,1.923,2.04,1.8865,1.9966,1580774400,3626126.37
134,2.1441,2.2329,1.9109,1.9232,1580860800,5400381.76
135,2.1691,2.25,2.1173,2.1441,1580947200,3974903.51
136,2.19,2.264,2.1577,2.1692,1581033600,2557921.12
137,2.2947,2.3197,2.01,2.1899,1581120000,3120608.05
