,c,h,l,o,t,v
0,0.01868,0.01956,0.01833,0.0195,1550534400,52012746.5
1,0.01888,0.01954,0.01796,0.01868,1550620800,39748493.6
2,0.01825,0.01894,0.01799,0.01888,1550707200,21538841.4
3,0.01822,0.01848,0.01788,0.01825,1550793600,15814370.6
4,0.01909,0.01959,0.01812,0.01821,1550880000,45878387.8
5,0.01674,0.02001,0.0158,0.01909,1550966400,100489107.1
6,0.01728,0.01789,0.01663,0.01667,1551052800,34332411.1
7,0.01776,0.01797,0.01671,0.01737,1551139200,34641381.3
8,0.01743,0.01781,0.01664,0.01776,1551225600,16156742.4
9,0.01701,0.01749,0.01681,0.01743,1551312000,14428652.4
10,0.01714,0.01735,0.01692,0.01707,1551398400,15715011.7
11,0.01701,0.01734,0.0167,0.01716,1551484800,15087395.8
12,0.0168,0.01715,0.01678,0.01709,1551571200,9466887.6
13,0.01618,0.01693,0.01555,0.01683,1551657600,18962911.9
14,0.0169,0.0172,0.01594,0.01615,1551744000,17069812.0
15,0.01672,0.0171,0.01654,0.0169,1551830400,10889313.8
16,0.01698,0.017,0.01651,0.01672,1551916800,12772261.6
17,0.01718,0.01799,0.01662,0.01698,1552003200,44056129.3
18,0.01815,0.0185,0.01712,0.01729,1552089600,42458617.0
19,0.01785,0.0187,0.01735,0.01815,1552176000,18691503.1
20,0.01735,0.01816,0.01685,0.0178,1552262400,25900574.4
21,0.01788,0.0184,0.01696,0.01736,1552348800,30964078.3
22,0.01842,0.01893,0.01773,0.01789,1552435200,55651246.4
23,0.01815,0.01853,0.01738,0.01837,1552521600,29265555.0
24,0.01829,0.0185,0.01808,0.01815,1552608000,14267106.2
25,0.01825,0.01865,0.018,0.01825,1552694400,34162957.5
26,0.01802,0.01881,0.01778,0.01825,1552780800,18762320.2
27,0.01802,0.01847,0.01778,0.01804,1552867200,16583577.4
28,0.0183,0.01831,0.01786,0.01802,1552953600,19739156.0
29,0.01928,0.01935,0.01815,0.01827,1553040000,67892575.9
30,0.01855,0.01928,0.01711,0.01923,1553126400,56244428.0
31,0.01926,0.01961,0.01825,0.01845,1553212800,63319624.9
32,0.01953,0.0202,0.01892,0.01926,1553299200,73198752.4
33,0.02007,0.02044,0.01937,0.01952,1553385600,69849047.7
34,0.01885,0.02021,0.01809,0.0201,1553472000,63958368.5
35,0.01858,0.01898,0.01791,0.01879,1553558400,44058032.0
36,0.01918,0.01939,0.01849,0.01858,1553644800,38172554.0
37,0.01941,0.01947,0.01895,0.01912,1553731200,26503580.3
38,0.01912,0.01959,0.01905,0.01941,1553817600,30130310.5
39,0.01953,0.0198,0.01839,0.01923,1553904000,43603728.9
40,0.02034,0.02115,0.01933,0.01961,1553990400,83302879.0
41,0.02062,0.02094,0.01996,0.0203,1554076800,58166544.9
42,0.02243,0.02271,0.02045,0.02058,1554163200,148544290.1
43,0.02195,0.0245,0.02121,0.02243,1554249600,171551511.9
44,0.0226,0.02384,0.02155,0.02195,1554336000,92826936.1
45,0.02494,0.02495,0.0226,0.0226,1554422400,62819457.3
46,0.0251,0.0268,0.02429,0.02495,1554508800,155842284.6
47,0.0247,0.02547,0.02433,0.02517,1554595200,50753150.5
48,0.02384,0.02541,0.02236,0.0247,1554681600,107034805.3
49,0.0225,0.0238,0.02158,0.02378,1554768000,72686134.7
50,0.02275,0.02355,0.02222,0.02241,1554854400,66900794.7
51,0.02025,0.02278,0.01874,0.02277,1554940800,114702223.7
52,0.02067,0.02112,0.01907,0.02025,1555027200,69967488.1
53,0.02028,0.0208,0.01983,0.0206,1555113600,36837271.0
54,0.02096,0.02115,0.01985,0.02034,1555200000,44014489.4
55,0.02059,0.0223,0.02011,0.02096,1555286400,105916785.9
56,0.0211,0.02123,0.02013,0.02057,1555372800,43218068.4
57,0.02133,0.02172,0.02082,0.0211,1555459200,43931547.3
58,0.02196,0.02265,0.02131,0.02133,1555545600,83998358.0
59,0.02213,0.02238,0.02151,0.0221,1555632000,56721231.6
60,0.02173,0.02225,0.02095,0.02213,1555718400,29510761.8
61,0.02091,0.02181,0.0197,0.02171,1555804800,52574894.3
62,0.02085,0.0217,0.02027,0.02082,1555891200,41794466.5
63,0.01995,0.02151,0.01985,0.02085,1555977600,51960172.1
64,0.01943,0.02036,0.01762,0.01995,1556064000,110865851.9
65,0.0175,0.01969,0.01692,0.0193,1556150400,63851625.1
66,0.01725,0.01827,0.01666,0.0175,1556236800,49236138.9
67,0.01811,0.0191,0.01696,0.01726,1556323200,43882141.6
68,0.01748,0.01823,0.01727,0.01802,1556409600,20036371.6
69,0.0166,0.0178,0.01613,0.01743,1556496000,34098216.2
70,0.01729,0.01732,0.01633,0.01658,1556582400,29926474.6
71,0.01752,0.01769,0.01701,0.01728,1556668800,30929769.7
72,0.01725,0.01754,0.01705,0.01752,1556755200,18544855.0
73,0.01705,0.01754,0.01664,0.01723,1556841600,46461483.3
74,0.01592,0.01715,0.01553,0.01704,1556928000,62758193.2
75,0.01579,0.01622,0.01531,0.01586,1557014400,31635776.8
76,0.01644,0.01699,0.01486,0.01585,1557100800,68729350.7
77,0.01573,0.01716,0.0156,0.01643,1557187200,47437479.9
78,0.01607,0.01644,0.0152,0.01566,1557273600,27817740.8
79,0.0149,0.01624,0.01413,0.01607,1557360000,58012219.1
80,0.01531,0.01555,0.01464,0.01495,1557446400,40955663.4
81,0.01639,0.01688,0.01506,0.01539,1557532800,95748122.3
82,0.01584,0.01682,0.01518,0.01624,1557619200,84021300.6
83,0.01628,0.01712,0.0157,0.01585,1557705600,93054045.3
84,0.01764,0.01796,0.01626,0.01628,1557792000,143269783.0
85,0.02031,0.02039,0.01719,0.01764,1557878400,134297272.9
86,0.0187,0.02158,0.01761,0.0203,1557964800,207702496.8
87,0.01766,0.0191,0.0157,0.01872,1558051200,119791776.6
88,0.01694,0.01783,0.01669,0.01766,1558137600,75382145.8
89,0.01753,0.01811,0.01674,0.01685,1558224000,127540510.7
90,0.01731,0.01761,0.01623,0.01746,1558310400,97246798.1
91,0.02085,0.02419,0.01721,0.01724,1558396800,618092357.1
92,0.02163,0.02468,0.02048,0.02083,1558483200,510852396.6
93,0.0203,0.02225,0.01944,0.02173,1558569600,277794478.9
94,0.01924,0.0212,0.01889,0.02026,1558656000,158405601.4
95,0.0201,0.02055,0.01871,0.01924,1558742400,100797774.1
96,0.01953,0.02038,0.01829,0.02015,1558828800,110128008.0
97,0.0202,0.021,0.01946,0.01952,1558915200,138520597.5
98,0.0216,0.0217,0.02007,0.02023,1559001600,167053155.7
99,0.02075,0.02181,0.01944,0.02161,1559088000,123594940.0
100,0.01939,0.02288,0.01855,0.02075,1559174400,208491107.1
101,0.02038,0.02039,0.01855,0.01939,1559260800,79893852.4
102,0.01967,0.0205,0.01892,0.02038,1559347200,98563719.3
103,0.02176,0.02195,0.01952,0.01963,1559433600,151848014.8
104,0.02076,0.02345,0.01964,0.02165,1559520000,283182598.6
105,0.02192,0.0247,0.0198,0.02076,1559606400,697178003.0
106,0.02137,0.02264,0.02039,0.02194,1559692800,239557144.1
107,0.02322,0.02418,0.0209,0.02142,1559779200,381393471.8
108,0.02537,0.02622,0.02278,0.02326,1559865600,387000119.2
109,0.02399,0.02628,0.02332,0.02535,1559952000,190001753.4
110,0.02193,0.0245,0.0211,0.02403,1560038400,226603027.4
111,0.02367,0.02369,0.02138,0.02193,1560124800,173986344.3
112,0.0232,0.02464,0.0227,0.02368,1560211200,160808455.5
113,0.02318,0.02326,0.02201,0.0232,1560297600,133085750.2
114,0.02265,0.02354,0.0225,0.02319,1560384000,81070999.6
115,0.02274,0.02418,0.02143,0.02266,1560470400,189061175.6
116,0.02285,0.02316,0.0223,0.02272,1560556800,60727724.4
117,0.02512,0.02595,0.02218,0.02281,1560643200,150705175.2
118,0.02508,0.02691,0.02474,0.02512,1560729600,280223093.6
119,0.02273,0.02535,0.02227,0.02508,1560816000,339846763.6
120,0.02199,0.02323,0.02162,0.02267,1560902400,270072094.5
121,0.02103,0.0222,0.02032,0.022,1560988800,196834821.0
122,0.0197,0.02127,0.0196,0.02104,1561075200,133868615.6
123,0.02051,0.0212,0.0193,0.01978,1561161600,210050301.1
124,0.0202,0.02147,0.01989,0.0205,1561248000,104688744.9
125,0.02023,0.02064,0.01981,0.02022,1561334400,66248547.3
126,0.02022,0.0211,0.02,0.02026,1561420800,99115381.3
127,0.01869,0.02095,0.01793,0.02022,1561507200,228627784.7
128,0.01652,0.01872,0.01606,0.01869,1561593600,190646325.6
129,0.01694,0.01712,0.0163,0.01641,1561680000,94499132.9
130,0.01765,0.01848,0.01626,0.01687,1561766400,163462136.4
131,0.0166,0.01843,0.01649,0.01771,1561852800,152276114.2
132,0.01739,0.01807,0.01633,0.01663,1561939200,115628876.0
133,0.01644,0.01744,0.01596,0.01736,1562025600,89233346.9
134,0.0163,0.01661,0.01596,0.01646,1562112000,85986476.8
135,0.01555,0.01638,0.01535,0.0163,1562198400,92935497.2
136,0.01564,0.01608,0.01545,0.01552,1562284800,38923811.1
137,0.01678,0.0178,0.01561,0.01561,1562371200,101205138.6
138,0.01722,0.01734,0.01644,0.01672,1562457600,65476442.4
139,0.01678,0.018,0.01641,0.01724,1562544000,95192673.8
140,0.01684,0.01704,0.01643,0.01683,1562630400,48783525.3
141,0.0158,0.01753,0.01526,0.01686,1562716800,138712847.8
142,0.01395,0.01593,0.01353,0.0158,1562803200,105490412.4
143,0.01455,0.0148,0.0137,0.01388,1562889600,45578048.5
144,0.01403,0.0146,0.01358,0.01455,1562976000,39682920.1
145,0.01224,0.01418,0.01224,0.01403,1563062400,56997247.8
146,0.01192,0.01238,0.01113,0.01223,1563148800,76187201.8
147,0.00983,0.01215,0.00968,0.012,1563235200,97341668.5
148,0.01041,0.01081,0.00913,0.0099,1563321600,108775154.6
149,0.01097,0.01112,0.01007,0.01041,1563408000,73833313.3
150,0.01119,0.01132,0.01062,0.01098,1563494400,56950188.9
151,0.01166,0.01192,0.01091,0.01119,1563580800,62777155.2
152,0.0113,0.01182,0.01105,0.01166,1563667200,56521719.4
153,0.01099,0.01156,0.0108,0.0113,1563753600,40146691.5
154,0.0103,0.01119,0.01014,0.01095,1563840000,57466572.4
155,0.01037,0.01049,0.00988,0.01031,1563926400,39367773.5
156,0.01113,0.01123,0.01024,0.01034,1564012800,43723010.7
157,0.01092,0.01113,0.0104,0.01107,1564099200,43612677.8
158,0.01025,0.01116,0.01013,0.01092,1564185600,44001927.7
159,0.01026,0.01055,0.00982,0.01022,1564272000,29516708.5
160,0.01028,0.01052,0.01002,0.01026,1564358400,29962344.9
161,0.0108,0.01083,0.0101,0.01028,1564444800,30949866.7
162,0.01091,0.0115,0.01074,0.01076,1564531200,87908399.4
163,0.01031,0.01095,0.01005,0.01091,1564617600,62746834.6
164,0.01025,0.01075,0.01002,0.01031,1564704000,60762090.3
165,0.01018,0.01047,0.0101,0.01027,1564790400,48417022.3
166,0.01005,0.01031,0.00993,0.01015,1564876800,39653836.3
167,0.00988,0.01013,0.0098,0.01003,1564963200,72957713.5
168,0.00924,0.00991,0.00908,0.00988,1565049600,113500392.6
169,0.00885,0.0095,0.00874,0.00924,1565136000,94479204.1
170,0.0085,0.0089,0.00833,0.00885,1565222400,90788197.4
171,0.00796,0.00858,0.00786,0.00851,1565308800,72570686.1
172,0.00835,0.00847,0.00792,0.00796,1565395200,55265271.2
