,c,h,l,o,t,v
0,0.04072,0.0425,0.03616,0.03645,1549584000,173766095.9
1,0.04117,0.04223,0.0405,0.04072,1549670400,118193684.7
2,0.0429,0.04309,0.03962,0.04117,1549756800,114498756.7
3,0.04169,0.04299,0.04137,0.04292,1549843200,86417133.1
4,0.04173,0.04208,0.04053,0.04171,1549929600,84242831.0
5,0.04107,0.04244,0.04087,0.04172,1550016000,57116619.2
6,0.04037,0.04144,0.0399,0.04105,1550102400,54153288.8
7,0.04059,0.0416,0.04,0.04035,1550188800,51453047.8
8,0.04101,0.04148,0.04054,0.04059,1550275200,39546332.3
9,0.04157,0.04228,0.04055,0.04103,1550361600,65525969.1
10,0.04564,0.04686,0.04138,0.0416,1550448000,238145162.3
11,0.04593,0.0485,0.04542,0.0456,1550534400,262933306.5
12,0.04748,0.0477,0.04473,0.04592,1550620800,164477468.8
13,0.04506,0.04809,0.04401,0.04744,1550707200,144701031.7
14,0.0458,0.0461,0.04458,0.04508,1550793600,103272788.5
15,0.04846,0.04903,0.04541,0.0458,1550880000,162694021.5
16,0.04156,0.05053,0.04097,0.0485,1550966400,328163939.4
17,0.04351,0.04433,0.04159,0.04162,1551052800,156622956.8
18,0.04296,0.04358,0.0422,0.0435,1551139200,102899011.5
19,0.04296,0.04343,0.04145,0.0429,1551225600,98307643.2
20,0.04287,0.04368,0.04246,0.04299,1551312000,78568795.3
21,0.043,0.04386,0.04277,0.04288,1551398400,51365058.0
22,0.04242,0.04338,0.04199,0.043,1551484800,55395171.6
23,0.04206,0.04276,0.0417,0.04245,1551571200,42011958.8
24,0.04022,0.04236,0.03908,0.04211,1551657600,95476391.6
25,0.04292,0.0434,0.04001,0.04022,1551744000,120716975.2
26,0.04251,0.04327,0.0418,0.0429,1551830400,75795670.7
27,0.04275,0.04338,0.04208,0.0425,1551916800,89651411.5
28,0.04243,0.04386,0.04207,0.04277,1552003200,98809786.8
29,0.04681,0.0472,0.04237,0.04246,1552089600,236991707.7
30,0.04557,0.04689,0.0443,0.04689,1552176000,149413895.6
31,0.04732,0.04842,0.04465,0.04559,1552262400,239243384.0
32,0.04718,0.04816,0.04566,0.04732,1552348800,157608907.4
33,0.04626,0.04851,0.04575,0.04718,1552435200,127808096.0
34,0.04765,0.04812,0.0459,0.04626,1552521600,125114181.0
35,0.04988,0.05065,0.04759,0.04766,1552608000,206134843.2
36,0.05124,0.05195,0.04866,0.04983,1552694400,205825022.6
37,0.04983,0.05134,0.04945,0.05125,1552780800,118241956.4
38,0.04997,0.0509,0.04899,0.04985,1552867200,102861058.5
