,c,h,l,o,t,v
0,2.192,3.44,1.88,3.4,1561161600,16217580.779
1,1.934,2.234,1.8,2.19,1561248000,9875011.06
2,1.416,2.02,1.301,1.932,1561334400,16193672.788
3,1.54,1.92,1.314,1.417,1561420800,27118197.019
4,1.595,1.875,1.457,1.538,1561507200,17449485.359
5,1.419,1.597,1.371,1.595,1561593600,7017105.254
6,1.454,1.589,1.381,1.421,1561680000,5845445.045
7,1.51,1.523,1.411,1.449,1561766400,5350038.703
8,1.449,1.58,1.388,1.508,1561852800,5230376.814
9,1.352,1.468,1.25,1.449,1561939200,4805958.281
10,1.14,1.356,1.032,1.354,1562025600,8937311.635
11,1.11,1.186,1.065,1.138,1562112000,5412448.609
12,1.01,1.138,0.984,1.11,1562198400,5047597.506
13,1.127,1.175,0.974,1.009,1562284800,8906873.67
14,1.031,1.132,1.024,1.128,1562371200,4337280.445
15,1.065,1.105,1.024,1.031,1562457600,2975212.85
16,1.049,1.067,1.03,1.065,1562544000,1961005.67
17,1.044,1.084,1.015,1.047,1562630400,3709858.044
18,1.029,1.119,0.955,1.043,1562716800,6983704.323
19,0.859,1.039,0.843,1.029,1562803200,4781454.625
20,0.885,0.938,0.797,0.858,1562889600,6857361.718
21,0.939,1.035,0.869,0.886,1562976000,9350275.975
22,0.819,1.03,0.816,0.939,1563062400,8737776.115
23,0.807,0.846,0.737,0.819,1563148800,5111804.177
24,0.644,0.899,0.63,0.804,1563235200,6813542.367
25,0.674,0.744,0.608,0.645,1563321600,8854704.113
26,0.692,0.706,0.638,0.675,1563408000,6328374.14
27,0.67,0.693,0.649,0.692,1563494400,2684075.334
28,0.708,0.752,0.656,0.67,1563580800,5291301.343
29,0.692,0.712,0.657,0.707,1563667200,3595344.637
30,0.642,0.705,0.631,0.695,1563753600,2696291.001
31,0.58,0.647,0.564,0.642,1563840000,4882364.606
32,0.597,0.615,0.555,0.578,1563926400,3883834.313
33,0.61,0.615,0.58,0.595,1564012800,2292829.525
34,0.651,0.709,0.592,0.61,1564099200,8340632.352
35,0.578,0.668,0.57,0.65,1564185600,4755130.478
36,0.577,0.601,0.558,0.578,1564272000,2289778.751
37,0.571,0.594,0.552,0.576,1564358400,2843701.206
38,0.568,0.589,0.555,0.57,1564444800,2638918.637
39,0.567,0.578,0.558,0.567,1564531200,2692986.065
40,0.562,0.57,0.507,0.567,1564617600,5847654.143
41,0.808,0.883,0.554,0.563,1564704000,45578408.033
42,0.742,0.858,0.737,0.807,1564790400,10880500.952
43,0.705,0.762,0.695,0.742,1564876800,5935191.167
44,0.793,0.804,0.676,0.706,1564963200,10595618.108
45,0.702,0.801,0.691,0.79,1565049600,7417216.87
46,0.691,0.726,0.681,0.704,1565136000,4998261.746
47,0.726,0.777,0.658,0.693,1565222400,8792651.562
48,0.81,0.841,0.688,0.728,1565308800,15089865.863
49,0.809,0.863,0.761,0.809,1565395200,10668919.72
50,0.819,0.88,0.803,0.811,1565481600,7440526.26
51,0.803,0.819,0.767,0.817,1565568000,4923044.112
52,0.809,0.845,0.781,0.804,1565654400,4011887.652
53,0.718,0.849,0.711,0.807,1565740800,7824309.956
54,0.709,0.777,0.689,0.719,1565827200,6667637.959
55,0.677,0.735,0.676,0.708,1565913600,4553264.191
56,0.683,0.726,0.675,0.677,1566000000,3163205.808
57,0.676,0.697,0.664,0.686,1566086400,2153045.74
58,0.655,0.68,0.65,0.677,1566172800,3621870.528
59,0.625,0.656,0.603,0.655,1566259200,6968706.923
60,0.567,0.627,0.559,0.626,1566345600,6191231.883
61,0.572,0.592,0.531,0.569,1566432000,4715468.299
62,0.576,0.589,0.546,0.573,1566518400,3254119.078
63,0.577,0.58,0.542,0.574,1566604800,2273667.507
64,0.538,0.582,0.53,0.578,1566691200,2998434.094
65,0.522,0.56,0.518,0.539,1566777600,2439118.181
66,0.523,0.552,0.509,0.522,1566864000,3189090.388
67,0.436,0.536,0.428,0.523,1566950400,6155505.517
68,0.401,0.446,0.39,0.436,1567036800,6561137.683
69,0.418,0.425,0.397,0.401,1567123200,4285344.004
70,0.408,0.433,0.395,0.417,1567209600,3175868.041
71,0.388,0.419,0.379,0.408,1567296000,2651579.467
72,0.393,0.395,0.373,0.388,1567382400,3841348.325
73,0.368,0.404,0.364,0.394,1567468800,3032795.521
74,0.346,0.37,0.343,0.368,1567555200,3669691.254
75,0.388,0.395,0.338,0.346,1567641600,7100033.376
76,0.346,0.42,0.341,0.388,1567728000,8724500.774
77,0.369,0.387,0.338,0.346,1567814400,6019303.699
78,0.385,0.388,0.349,0.369,1567900800,3134753.237
79,0.368,0.392,0.353,0.384,1567987200,4372297.481
80,0.365,0.395,0.362,0.37,1568073600,4714902.011
81,0.349,0.372,0.342,0.365,1568160000,3244647.941
82,0.319,0.35,0.31,0.348,1568246400,5518828.622
83,0.318,0.345,0.312,0.32,1568332800,3380391.877
84,0.321,0.325,0.308,0.318,1568419200,2606229.769
85,0.328,0.341,0.319,0.32,1568505600,4267315.303
86,0.322,0.337,0.314,0.329,1568592000,2997342.273
87,0.319,0.334,0.308,0.323,1568678400,6171703.194
88,0.34,0.36,0.316,0.319,1568764800,8809182.572
89,0.322,0.341,0.307,0.341,1568851200,5386304.108
90,0.321,0.33,0.313,0.322,1568937600,2787433.377
91,0.315,0.325,0.314,0.32,1569024000,2184202.21
92,0.3,0.322,0.296,0.315,1569110400,4746257.731
93,0.267,0.301,0.267,0.3,1569196800,5018748.888
94,0.193,0.282,0.179,0.268,1569283200,11382802.227
95,0.205,0.216,0.192,0.193,1569369600,7989599.307
96,0.189,0.207,0.164,0.205,1569456000,24279989.881
97,0.189,0.198,0.177,0.19,1569542400,8852661.145
98,0.204,0.208,0.187,0.19,1569628800,6185913.405
99,0.225,0.243,0.197,0.204,1569715200,19751284.972
100,0.25,0.257,0.213,0.224,1569801600,12167825.852
101,0.231,0.266,0.226,0.25,1569888000,14560932.534
102,0.233,0.24,0.22,0.232,1569974400,7810945.432
103,0.23,0.239,0.221,0.233,1570060800,5249511.597
104,0.229,0.236,0.222,0.23,1570147200,5101699.439
105,0.224,0.232,0.219,0.229,1570233600,2930629.65
106,0.213,0.227,0.21,0.224,1570320000,6734272.413
107,0.219,0.224,0.205,0.213,1570406400,4925596.573
108,0.226,0.234,0.214,0.219,1570492800,5140102.028
109,0.239,0.245,0.225,0.226,1570579200,8811952.653
110,0.253,0.269,0.232,0.238,1570665600,11325621.542
111,0.253,0.276,0.249,0.253,1570752000,12595567.524
112,0.257,0.262,0.244,0.252,1570838400,7706971.411
113,0.251,0.268,0.246,0.257,1570924800,8989474.758
114,0.267,0.268,0.247,0.251,1571011200,4038160.907
115,0.248,0.273,0.245,0.267,1571097600,4917032.386
116,0.228,0.25,0.223,0.248,1571184000,7347722.725
117,0.237,0.24,0.228,0.229,1571270400,3907505.474
