,c,h,l,o,t,v
0,0.1674,0.1935,0.1591,0.1691,1551657600,1813316.97
1,0.176,0.183,0.1666,0.1675,1551744000,3154945.05
2,0.1723,0.1778,0.1696,0.1763,1551830400,1529054.33
3,0.181,0.1845,0.1531,0.1727,1551916800,2326293.79
4,0.1947,0.209,0.16,0.181,1552003200,9072474.48
5,0.208,0.2146,0.1903,0.1948,1552089600,6051922.63
6,0.1956,0.2137,0.1951,0.2074,1552176000,2725744.77
7,0.1925,0.2,0.187,0.1955,1552262400,2091272.33
8,0.1924,0.1979,0.1829,0.1915,1552348800,1722904.78
9,0.1885,0.2,0.1875,0.1924,1552435200,1602148.91
10,0.1925,0.202,0.1836,0.1885,1552521600,2629110.96
11,0.1956,0.199,0.1917,0.1927,1552608000,1325108.08
12,0.1966,0.1993,0.1945,0.1956,1552694400,753433.59
13,0.1931,0.1978,0.1914,0.1966,1552780800,1027520.27
14,0.194,0.199,0.1902,0.1938,1552867200,941245.69
15,0.1921,0.1949,0.1903,0.194,1552953600,1029294.82
16,0.1942,0.1948,0.1869,0.1912,1553040000,1530910.89
17,0.1946,0.202,0.1866,0.194,1553126400,2472085.11
18,0.1976,0.1991,0.1916,0.1946,1553212800,1197105.49
19,0.2003,0.2022,0.1963,0.1967,1553299200,1026729.46
20,0.2089,0.2208,0.1893,0.2009,1553385600,5149809.11
21,0.2033,0.21,0.1943,0.2089,1553472000,2356988.2
22,0.2142,0.2205,0.2027,0.2033,1553558400,4338391.54
23,0.2251,0.2277,0.2109,0.2157,1553644800,2966882.32
24,0.2533,0.259,0.2197,0.2251,1553731200,8033955.59
25,0.2837,0.3168,0.2516,0.2533,1553817600,15368875.74
26,0.2708,0.2863,0.257,0.2841,1553904000,6809285.79
27,0.2881,0.2929,0.2651,0.2717,1553990400,3913553.88
28,0.283,0.307,0.2824,0.2885,1554076800,8335774.52
29,0.3205,0.3215,0.2824,0.2842,1554163200,8925543.49
30,0.2832,0.3209,0.2719,0.3203,1554249600,8908783.3
31,0.2829,0.3053,0.268,0.2846,1554336000,4109972.24
32,0.3064,0.3136,0.2821,0.2828,1554422400,4523231.15
33,0.3032,0.3136,0.2959,0.3065,1554508800,3067028.08
34,0.2992,0.3088,0.2934,0.3032,1554595200,1984740.5
35,0.2925,0.305,0.2845,0.2999,1554681600,1899492.25
36,0.2872,0.2928,0.2812,0.2917,1554768000,1506492.82
37,0.292,0.2999,0.2847,0.2879,1554854400,2409974.97
38,0.268,0.2941,0.256,0.293,1554940800,3518535.91
39,0.2868,0.2889,0.257,0.268,1555027200,2068062.17
40,0.3094,0.3119,0.282,0.286,1555113600,3564265.68
41,0.3053,0.33,0.2991,0.3094,1555200000,6677316.28
42,0.2928,0.3139,0.2875,0.3054,1555286400,3319955.83
43,0.3225,0.3297,0.2908,0.2925,1555372800,5020570.79
44,0.3344,0.34,0.316,0.3229,1555459200,6260424.22
45,0.348,0.3667,0.3335,0.3344,1555545600,7537256.06
46,0.3759,0.3826,0.3456,0.3481,1555632000,6427490.29
47,0.4115,0.4374,0.3706,0.3754,1555718400,13971154.73
48,0.4375,0.4971,0.4002,0.4115,1555804800,34968284.25
49,0.3984,0.4555,0.3913,0.4365,1555891200,16237894.71
50,0.4144,0.4493,0.3833,0.3982,1555977600,18267495.07
51,0.4142,0.4485,0.3935,0.4142,1556064000,22080601.29
52,0.3902,0.4331,0.3832,0.4142,1556150400,12848610.49
53,0.3818,0.4015,0.3657,0.3916,1556236800,10749028.77
54,0.3911,0.3974,0.3677,0.3818,1556323200,5777059.38
55,0.4055,0.4222,0.39,0.3909,1556409600,9046002.57
56,0.3742,0.4073,0.37,0.4051,1556496000,5416264.39
57,0.3825,0.3973,0.3715,0.3744,1556582400,4492051.37
58,0.3894,0.3949,0.3761,0.3825,1556668800,4304616.04
59,0.3804,0.395,0.3771,0.389,1556755200,4687708.37
60,0.3781,0.3873,0.3664,0.3805,1556841600,6149623.73
61,0.3617,0.3806,0.3455,0.3785,1556928000,6671665.65
62,0.3583,0.3737,0.3558,0.3622,1557014400,3003003.93
63,0.3473,0.3599,0.3333,0.3585,1557100800,5501367.43
64,0.3169,0.353,0.3151,0.3475,1557187200,6196460.08
65,0.3127,0.3355,0.3088,0.3167,1557273600,3730738.9
66,0.2812,0.3187,0.2749,0.3138,1557360000,7221793.9
67,0.3637,0.3753,0.2819,0.2837,1557446400,23751831.74
68,0.3645,0.385,0.3414,0.3637,1557532800,19911579.55
69,0.3545,0.4067,0.3356,0.3645,1557619200,16681040.68
70,0.3559,0.3663,0.3455,0.3535,1557705600,8114194.52
71,0.3636,0.3769,0.345,0.3545,1557792000,9658014.93
72,0.4066,0.4106,0.3592,0.3638,1557878400,10887156.22
73,0.3772,0.43,0.365,0.4076,1557964800,15363595.42
74,0.3715,0.3826,0.3388,0.3772,1558051200,9781297.92
75,0.3731,0.4028,0.361,0.3718,1558137600,9168777.29
76,0.3813,0.3919,0.3711,0.3731,1558224000,8553368.55
77,0.3603,0.3813,0.3514,0.3813,1558310400,8088734.03
78,0.3643,0.3769,0.34,0.3603,1558396800,12109052.04
79,0.3424,0.3691,0.3296,0.3643,1558483200,7352563.62
80,0.348,0.349,0.3235,0.3423,1558569600,8141064.15
81,0.3508,0.3619,0.3403,0.3485,1558656000,6707262.65
82,0.3476,0.3562,0.3433,0.3503,1558742400,1946784.73
83,0.3497,0.3567,0.3371,0.3478,1558828800,5374472.87
84,0.3778,0.3888,0.3488,0.3497,1558915200,12184688.54
85,0.3696,0.381,0.359,0.3772,1559001600,5894190.05
86,0.3612,0.3701,0.3437,0.3696,1559088000,5598760.64
87,0.3363,0.3842,0.3134,0.361,1559174400,13083762.85
88,0.3478,0.351,0.3195,0.3358,1559260800,4078594.95
89,0.3573,0.3634,0.3401,0.3477,1559347200,4919958.6
90,0.3586,0.3689,0.353,0.3574,1559433600,3972855.42
91,0.3381,0.3778,0.3342,0.3592,1559520000,9232269.28
92,0.33,0.357,0.3169,0.3376,1559606400,9532710.96
93,0.3276,0.3418,0.3161,0.33,1559692800,5133263.67
94,0.3264,0.3344,0.3092,0.3276,1559779200,5084451.21
95,0.3373,0.3478,0.324,0.3267,1559865600,4851501.17
96,0.336,0.3487,0.3268,0.337,1559952000,2321897.3
97,0.3178,0.3461,0.3111,0.3357,1560038400,2701882.64
98,0.3316,0.3357,0.3121,0.3178,1560124800,2300377.11
99,0.3239,0.3341,0.3192,0.3326,1560211200,1713950.97
100,0.3336,0.3353,0.3227,0.3239,1560297600,2736083.8
101,0.3243,0.3341,0.3227,0.3326,1560384000,2726276.95
102,0.3184,0.3274,0.3056,0.3247,1560470400,4609551.99
103,0.3286,0.3338,0.3157,0.3184,1560556800,3127261.8
104,0.3349,0.3373,0.32,0.3286,1560643200,3736197.05
105,0.3444,0.3674,0.3337,0.3355,1560729600,11912865.23
106,0.3505,0.3534,0.333,0.3444,1560816000,6207555.76
107,0.3402,0.352,0.339,0.3511,1560902400,3250035.48
108,0.3306,0.3429,0.321,0.3402,1560988800,4255987.14
109,0.328,0.3335,0.3226,0.3306,1561075200,3403415.44
110,0.3318,0.339,0.3121,0.328,1561161600,12028566.95
111,0.3259,0.338,0.3213,0.3324,1561248000,4831658.77
112,0.3237,0.3324,0.32,0.3241,1561334400,2640895.85
113,0.315,0.3251,0.3126,0.3235,1561420800,4515100.74
114,0.3069,0.33,0.2962,0.3156,1561507200,11879353.63
115,0.2892,0.3129,0.2811,0.3051,1561593600,8816347.05
116,0.292,0.3002,0.2835,0.2889,1561680000,3179251.62
117,0.3252,0.3268,0.2806,0.2922,1561766400,7219480.68
118,0.2945,0.3499,0.29,0.3251,1561852800,11648162.68
119,0.3331,0.35,0.2944,0.2948,1561939200,20526269.1
120,0.3218,0.3385,0.2988,0.3322,1562025600,9769353.17
121,0.3088,0.3235,0.3023,0.3224,1562112000,5262617.32
122,0.2941,0.3127,0.2909,0.3088,1562198400,4168779.76
123,0.2952,0.3021,0.2893,0.2925,1562284800,2732184.29
124,0.2944,0.2996,0.29,0.2948,1562371200,2688035.76
125,0.2983,0.3059,0.29,0.2943,1562457600,2956420.87
126,0.2967,0.325,0.2951,0.2982,1562544000,6587943.35
127,0.2946,0.3054,0.2857,0.2968,1562630400,4836751.93
128,0.2963,0.3338,0.2842,0.2946,1562716800,7183620.31
129,0.2952,0.3011,0.2696,0.2967,1562803200,5003634.22
130,0.2889,0.2979,0.2789,0.2946,1562889600,3292545.97
131,0.286,0.2959,0.2786,0.2893,1562976000,3038422.85
132,0.2464,0.2863,0.2458,0.2863,1563062400,3863175.36
133,0.2472,0.2522,0.2203,0.2461,1563148800,3603328.97
134,0.2041,0.25,0.1998,0.2471,1563235200,4454911.03
135,0.2168,0.2265,0.1994,0.2037,1563321600,3416586.01
136,0.2331,0.2435,0.2081,0.2161,1563408000,4915369.32
137,0.2453,0.2582,0.2304,0.2328,1563494400,4629577.85
138,0.2537,0.263,0.2433,0.2461,1563580800,3161260.52
139,0.2482,0.2576,0.2406,0.254,1563667200,1799589.41
140,0.2453,0.2546,0.2386,0.2483,1563753600,2123319.98
141,0.2302,0.2548,0.2291,0.2456,1563840000,2905915.89
142,0.2326,0.2377,0.2219,0.2304,1563926400,2107824.67
143,0.2339,0.2426,0.2312,0.2318,1564012800,1490110.59
144,0.2626,0.2635,0.2295,0.2329,1564099200,3965459.7
145,0.2708,0.2791,0.248,0.2621,1564185600,10725820.89
146,0.2571,0.2794,0.242,0.2709,1564272000,5289905.81
147,0.2535,0.2638,0.2492,0.2577,1564358400,2814965.79
148,0.2466,0.2551,0.24,0.2535,1564444800,3348047.15
149,0.2469,0.2541,0.2432,0.2467,1564531200,1846185.57
150,0.2364,0.2472,0.2325,0.247,1564617600,2617600.7
151,0.2366,0.2458,0.2315,0.2363,1564704000,3852295.5
152,0.2348,0.2394,0.2296,0.2366,1564790400,2833212.74
153,0.2359,0.2418,0.23,0.2349,1564876800,1953362.82
154,0.2338,0.2476,0.2307,0.2361,1564963200,4154842.76
155,0.2171,0.2347,0.2161,0.2331,1565049600,3465735.2
156,0.2217,0.2356,0.2123,0.217,1565136000,5094241.58
157,0.2098,0.2325,0.2065,0.2225,1565222400,4629812.37
158,0.1992,0.2119,0.196,0.2098,1565308800,3013333.64
159,0.2023,0.2155,0.1968,0.1996,1565395200,2924836.8
160,0.2078,0.21,0.2013,0.2022,1565481600,4233171.55
161,0.2038,0.2085,0.1992,0.2076,1565568000,1663771.35
162,0.197,0.2064,0.1882,0.2036,1565654400,3910983.65
