,c,h,l,o,t,v
0,66.99,69.57,61.25,62.46,1549584000,91079.41597
1,65.89,67.49,65.07,67.1,1549670400,42552.17755
2,66.52,66.52,62.99,65.87,1549756800,35176.02629
3,64.72,66.75,64.49,66.47,1549843200,25892.59178
4,65.42,66.93,63.84,64.73,1549929600,47417.6585
5,64.32,66.01,64.0,65.38,1550016000,27474.37841
6,62.36,64.55,62.28,64.31,1550102400,23164.82286
7,62.21,63.43,61.67,62.27,1550188800,23520.24168
8,62.18,63.04,61.8,62.25,1550275200,22680.2793
9,62.72,63.71,61.73,62.22,1550361600,27748.18874
10,67.5,71.0,62.68,62.69,1550448000,142548.18385
11,66.58,70.83,66.55,67.43,1550534400,105435.13872
12,66.93,67.69,64.67,66.56,1550620800,59805.00863
13,65.11,67.49,64.51,66.92,1550707200,36573.9118
14,65.2,65.98,64.33,65.11,1550793600,34730.79005
15,68.71,68.71,64.66,65.26,1550880000,47760.33218
16,60.3,69.66,59.55,68.7,1550966400,110498.87238
17,67.52,71.89,60.18,60.35,1551052800,188364.16723
18,73.78,75.38,67.42,67.5,1551139200,263788.11344
19,67.31,73.81,65.7,73.74,1551225600,122054.17694
20,66.66,68.81,65.75,67.3,1551312000,64843.36135
21,66.43,68.13,65.92,66.66,1551398400,36750.96816
22,66.13,66.87,65.34,66.41,1551484800,21263.28265
23,64.76,66.54,64.4,66.14,1551571200,18584.18189
24,62.72,64.97,61.9,64.77,1551657600,30184.02695
25,66.53,67.27,62.67,62.72,1551744000,72636.04176
26,66.18,67.0,65.33,66.49,1551830400,33868.76551
27,66.34,66.7,65.62,66.17,1551916800,25001.83237
28,64.94,69.68,64.6,66.35,1552003200,71740.50491
29,66.37,68.34,64.68,64.94,1552089600,43909.21134
30,66.23,68.35,65.46,66.39,1552176000,31357.76024
31,64.71,66.6,64.38,66.23,1552262400,28025.57947
32,65.46,65.67,64.11,64.68,1552348800,18073.90243
33,64.3,65.56,63.79,65.47,1552435200,27014.61077
34,65.76,67.29,64.24,64.3,1552521600,54027.78454
35,67.1,68.0,65.02,65.76,1552608000,43982.62888
36,68.27,71.89,66.93,67.1,1552694400,97550.70742
37,67.77,68.7,66.53,68.28,1552780800,33046.37025
38,66.57,69.83,65.6,67.78,1552867200,55219.17901
39,66.21,66.77,65.24,66.57,1552953600,37321.03409
40,66.22,66.41,65.33,66.19,1553040000,35736.07861
41,65.27,68.1,63.37,66.25,1553126400,53676.22566
42,66.12,66.97,64.81,65.28,1553212800,32697.68356
43,66.93,67.8,65.76,66.08,1553299200,35915.18481
44,65.49,66.99,65.34,66.91,1553385600,25901.15009
45,63.91,65.56,62.79,65.47,1553472000,33327.96058
46,63.7,65.02,62.4,63.93,1553558400,26828.96425
47,65.28,65.44,63.51,63.71,1553644800,36227.38041
48,63.88,65.24,63.62,65.24,1553731200,24417.34619
49,64.31,65.03,63.6,63.87,1553817600,27096.45144
50,64.98,66.79,64.31,64.38,1553904000,42957.80366
51,64.83,65.13,64.14,64.99,1553990400,17769.66647
52,65.92,66.66,64.37,64.8,1554076800,30248.79518
53,78.98,80.65,65.77,66.0,1554163200,208953.47465
54,82.31,96.0,77.2,78.98,1554249600,507301.24092
55,82.62,93.4,80.0,82.36,1554336000,300165.93102
56,83.8,85.87,82.0,82.61,1554422400,91834.51871
57,84.18,89.68,81.0,83.8,1554508800,121884.41782
58,85.73,87.77,83.09,84.2,1554595200,81949.90241
59,82.29,87.94,79.09,85.75,1554681600,106307.75252
60,78.01,82.37,76.34,82.28,1554768000,77164.35118
61,79.63,81.66,77.89,78.01,1554854400,51977.62676
62,71.3,84.5,68.03,79.72,1554940800,157277.57844
63,70.9,76.0,68.41,71.37,1555027200,117134.58846
64,69.44,71.58,68.99,70.9,1555113600,35244.88965
65,71.03,71.19,68.77,69.43,1555200000,32420.11899
66,58.96,74.52,58.11,71.16,1555286400,296476.60539
67,56.68,61.4,53.78,58.9,1555372800,155231.92488
68,55.0,57.0,54.08,56.7,1555459200,47550.52678
69,59.13,62.47,54.46,54.94,1555545600,108523.00938
70,58.95,60.72,57.47,59.12,1555632000,42101.32022
71,58.32,59.27,57.92,59.0,1555718400,18073.36631
72,56.02,58.47,53.98,58.26,1555804800,34764.94859
73,58.9,59.46,55.0,56.1,1555891200,16876.02692
