,c,h,l,o,s,t,v
0,8.5972,8.8387,7.61,7.807,ok,1549584000,4960284.84
1,8.9051,8.921,8.4052,8.5972,ok,1549670400,5440051.11
2,9.1697,9.2999,8.8264,8.9001,ok,1549756800,5750442.06
3,9.5288,9.778,9.01,9.1695,ok,1549843200,6041136.07
4,9.2765,9.9,8.921,9.525,ok,1549929600,4945231.46
5,8.9103,9.2763,8.71,9.2763,ok,1550016000,4005598.1
6,8.7655,9.05,8.4051,8.9165,ok,1550102400,2803390.01
7,9.2911,9.4997,8.7293,8.7636,ok,1550188800,3326003.04
8,9.1087,9.3399,9.048,9.2854,ok,1550275200,2499086.4
9,9.22,9.22,8.8903,9.0972,ok,1550361600,2460188.81
10,9.6127,9.6999,9.1777,9.2167,ok,1550448000,2809984.65
11,10.4728,11.1307,9.481,9.6127,ok,1550534400,4894965.38
12,10.9211,11.2951,10.3928,10.4687,ok,1550620800,4346711.07
13,10.4661,10.936,10.13,10.9199,ok,1550707200,3077022.99
14,10.7576,10.9611,10.3799,10.4695,ok,1550793600,3038507.76
15,10.7265,10.85,10.4,10.7572,ok,1550880000,2877713.15
16,9.9476,11.09,9.3901,10.7267,ok,1550966400,4800152.25
17,9.6967,10.2361,9.2685,9.9442,ok,1551052800,5348579.57
18,9.4168,9.7557,9.3551,9.6967,ok,1551139200,3118340.95
19,9.8467,9.9998,9.35,9.4238,ok,1551225600,3524897.35
20,10.2779,10.4914,9.7899,9.8502,ok,1551312000,3693794.54
21,11.3111,11.551,10.2067,10.2777,ok,1551398400,4025695.97
22,11.7566,11.8,10.8,11.3353,ok,1551484800,3893847.16
23,11.4511,11.8701,11.1902,11.7564,ok,1551571200,2853200.15
24,11.4006,11.508,10.85,11.4511,ok,1551657600,2739049.08
25,13.6229,13.75,11.395,11.405,ok,1551744000,8340655.32
26,14.5294,14.663,12.9,13.623,ok,1551830400,6158611.97
27,15.1,15.56,14.327,14.529,ok,1551916800,6757497.33
28,14.2931,15.2194,13.5578,15.0999,ok,1552003200,6343194.03
29,14.4651,14.92,13.9609,14.2848,ok,1552089600,3996324.55
30,14.3711,14.5075,13.86,14.4651,ok,1552176000,3531708.7
31,14.4143,14.9,14.011,14.3741,ok,1552262400,3757653.77
32,15.3333,15.4288,14.1809,14.4133,ok,1552348800,4049068.39
33,15.0244,15.38,14.9333,15.3459,ok,1552435200,3282883.18
34,14.8901,15.097,14.563,15.0311,ok,1552521600,3079956.93
35,14.9432,15.199,14.84,14.8993,ok,1552608000,2986987.69
36,15.9589,16.0,14.88,14.9429,ok,1552694400,3293876.13
37,15.5693,15.9589,15.44,15.9589,ok,1552780800,3106901.48
38,15.5388,15.7888,15.204,15.5836,ok,1552867200,2472584.89
39,15.4953,15.8,15.0,15.5361,ok,1552953600,4271050.4
40,15.1288,15.5098,15.022,15.5098,ok,1553040000,2369648.38
41,14.3511,15.2987,13.8607,15.1288,ok,1553126400,3015066.53
42,15.1502,15.226,14.231,14.3567,ok,1553212800,2695850.87
43,15.1397,15.44,14.9469,15.1524,ok,1553299200,2632489.7
44,17.1096,17.5,14.66,15.1397,ok,1553385600,5285367.1
45,16.7631,17.338,16.1,17.1112,ok,1553472000,2775613.86
46,16.1998,16.8,15.5301,16.7761,ok,1553558400,2725145.68
47,16.6,16.8297,15.8697,16.1928,ok,1553644800,3240914.25
48,16.6665,16.7188,16.401,16.6,ok,1553731200,2988300.97
49,16.4753,16.8067,16.377,16.6538,ok,1553817600,2737173.2
50,16.9666,16.985,15.9612,16.4949,ok,1553904000,2790050.93
51,17.5376,17.7386,16.7314,16.9666,ok,1553990400,3182964.85
52,17.8888,18.2576,17.3319,17.5201,ok,1554076800,2966204.71
53,19.7155,19.88,17.5303,17.8888,ok,1554163200,3356886.89
54,18.5489,20.0,18.0,19.7155,ok,1554249600,3532965.97
55,18.992,19.41,18.16,18.5388,ok,1554336000,2939082.42
56,19.3657,19.4593,18.8445,18.971,ok,1554422400,2703355.91
57,19.0745,19.3866,18.82,19.3658,ok,1554508800,2519027.63
58,18.9523,19.2137,18.8,19.0423,ok,1554595200,2329702.34
59,17.9777,19.042,17.7881,18.9507,ok,1554681600,2142481.92
60,18.2984,18.54,17.01,17.9728,ok,1554768000,2776440.48
61,18.24,18.6095,17.8927,18.2984,ok,1554854400,2553039.12
62,17.5555,18.24,16.2501,18.24,ok,1554940800,1815271.05
63,18.3333,18.552,16.612,17.5555,ok,1555027200,2325593.36
64,18.6111,18.6398,17.9143,18.2867,ok,1555113600,2205194.61
65,19.3866,19.9,18.4259,18.6111,ok,1555200000,2438051.21
66,19.2666,19.78,18.6601,19.3734,ok,1555286400,2218308.03
67,19.6408,19.7482,18.7064,19.2668,ok,1555372800,2237334.6
68,19.4888,19.7908,19.26,19.6399,ok,1555459200,2005582.6
69,21.8888,21.998,19.4333,19.4757,ok,1555545600,3686092.57
70,24.3188,24.7459,21.12,21.8888,ok,1555632000,4247944.38
