,c,h,l,o,t,v
0,3659.04,3733.58,3373.1,3398.4,1549584000,47968.058013
1,3665.18,3680.02,3625.13,3660.27,1549670400,24759.833719
2,3680.06,3684.99,3609.76,3665.18,1549756800,23250.602634
3,3631.05,3684.9,3615.53,3679.75,1549843200,24954.614571
4,3631.46,3667.6,3582.34,3631.05,1549929600,29479.59823
5,3609.4,3670.0,3591.75,3631.51,1550016000,25773.997648
6,3590.56,3626.4,3568.11,3608.34,1550102400,21753.501261
7,3602.47,3653.23,3573.45,3590.57,1550188800,20777.872899
8,3618.41,3648.2,3597.91,3602.49,1550275200,19565.992751
9,3667.58,3700.11,3604.4,3617.22,1550361600,25690.227779
10,3898.6,3925.0,3655.0,3667.62,1550448000,64042.730492
11,3907.79,3994.52,3856.0,3897.35,1550534400,50207.172667
12,3969.74,3986.98,3870.66,3907.35,1550620800,36205.14085
13,3937.31,4016.48,3901.03,3969.74,1550707200,31103.884728
14,3962.0,3988.0,3926.65,3937.31,1550793600,23943.16375
15,4117.76,4162.02,3933.15,3962.0,1550880000,33657.942883
16,3743.56,4198.0,3712.66,4118.0,1550966400,62224.18689
17,3827.92,3872.66,3740.0,3743.56,1551052800,38102.966245
18,3809.23,3841.51,3777.0,3828.44,1551139200,28838.748036
19,3818.07,3838.85,3677.17,3809.31,1551225600,31500.995466
20,3813.69,3888.0,3763.87,3818.04,1551312000,32561.961044
21,3823.0,3857.0,3813.01,3814.26,1551398400,23174.57217
22,3819.93,3841.31,3772.25,3822.17,1551484800,19445.838355
23,3807.75,3835.0,3781.32,3819.97,1551571200,16718.16541
24,3715.3,3830.0,3670.69,3807.32,1551657600,34742.84166
25,3857.73,3877.1,3703.55,3716.1,1551744000,32962.536162
26,3861.84,3907.0,3813.09,3857.58,1551830400,24775.11883
27,3873.64,3905.4,3840.4,3861.84,1551916800,26455.257661
28,3864.89,3932.0,3800.0,3873.63,1552003200,34730.366592
29,3943.04,3971.75,3854.75,3864.88,1552089600,30979.747653
30,3916.82,3943.43,3881.69,3943.43,1552176000,23187.561412
31,3871.61,3936.98,3830.0,3915.99,1552262400,38066.885705
32,3882.73,3905.2,3826.06,3871.61,1552348800,26921.008622
33,3866.0,3893.56,3840.0,3882.69,1552435200,24461.008757
34,3877.12,3920.0,3810.43,3866.0,1552521600,27048.74853
35,3923.76,3939.22,3872.2,3877.12,1552608000,21740.061498
36,4005.98,4056.98,3921.98,3924.46,1552694400,28568.376124
37,3981.14,4012.0,3950.01,4005.98,1552780800,18814.255577
38,3987.81,4037.0,3953.33,3981.85,1552867200,22454.47801
39,4015.53,4031.0,3970.0,3987.83,1552953600,19893.741815
40,4043.04,4050.0,3980.5,4017.48,1553040000,23432.300255
41,3980.64,4069.32,3880.01,4043.04,1553126400,35997.682119
42,3986.93,4008.0,3968.25,3980.85,1553212800,20022.606318
43,4006.01,4018.83,3978.01,3987.89,1553299200,17302.604318
44,3992.18,4006.02,3950.0,4006.01,1553385600,17179.850648
45,3936.12,3999.3,3888.71,3991.35,1553472000,33192.890217
46,3948.55,3958.98,3894.0,3935.47,1553558400,29349.537627
47,4038.05,4048.0,3936.15,3948.77,1553644800,32364.555852
48,4027.81,4039.7,4002.0,4039.58,1553731200,20089.293875
49,4103.25,4123.71,4024.03,4028.22,1553817600,30084.217444
50,4106.97,4140.0,4052.0,4104.24,1553904000,19509.292601
51,4103.95,4116.12,4082.57,4106.99,1553990400,13525.087433
52,4144.56,4158.7,4067.0,4102.44,1554076800,25507.067641
53,4857.29,4897.99,4140.54,4144.54,1554163200,105383.639263
54,4932.6,5275.01,4753.5,4857.19,1554249600,109890.125743
55,4898.66,5039.08,4777.0,4932.59,1554336000,61054.254168
56,5004.95,5028.22,4880.62,4898.64,1554422400,39768.552806
57,5043.89,5205.0,4928.59,5004.96,1554508800,41770.842313
58,5170.27,5234.0,5026.0,5042.07,1554595200,37615.486804
59,5236.9,5305.0,5039.0,5170.27,1554681600,50178.430782
60,5150.0,5238.4,5076.68,5238.38,1554768000,34067.012311
61,5308.25,5422.0,5135.0,5150.0,1554854400,40073.620471
62,5017.37,5332.67,4927.0,5307.86,1554940800,54696.600686
63,5048.01,5080.58,4861.22,5017.37,1555027200,33276.678614
64,5045.22,5099.0,5004.0,5047.0,1555113600,17292.456802
65,5131.3,5152.99,5000.0,5047.45,1555200000,18281.607739
66,5024.95,5167.38,4950.0,5131.28,1555286400,29057.191581
67,5173.72,5197.72,5003.94,5024.95,1555372800,24242.229493
68,5202.82,5230.4,5146.8,5173.72,1555459200,23307.536134
69,5258.44,5287.0,5198.8,5202.41,1555545600,22619.239001
70,5258.68,5320.0,5175.0,5258.44,1555632000,24611.236323
71,5291.73,5333.42,5230.1,5258.68,1555718400,19168.908274
72,5256.14,5314.35,5165.0,5292.91,1555804800,25549.570939
73,5357.14,5400.0,5208.35,5257.41,1555891200,29563.852309
74,5493.31,5600.0,5332.41,5357.14,1555977600,41262.103917
