,c,h,l,o,t,v
0,0.0008712,0.00092,0.0007676,0.00092,1549584000,56438150720.0
1,0.0008335,0.0009249,0.0008085,0.0008714,1549670400,28709362837.0
2,0.000877,0.00092,0.0007329,0.0008329,1549756800,46456892300.0
3,0.000868,0.0009159,0.000792,0.0008773,1549843200,44008782719.0
4,0.0010217,0.001165,0.0008637,0.0008682,1549929600,-86918434254.09552
5,0.0010014,0.0010852,0.0009603,0.0010208,1550016000,67193273596.0
6,0.0009174,0.0010299,0.0009102,0.0010018,1550102400,29199355012.0
7,0.000933,0.0009979,0.0009075,0.0009175,1550188800,25292867945.0
8,0.0008917,0.0009335,0.0008645,0.000933,1550275200,19825355805.0
9,0.0008992,0.0009228,0.000831,0.0008912,1550361600,21864025185.0
10,0.0009317,0.0009617,0.0008649,0.0008978,1550448000,31560621780.0
11,0.0009426,0.0010563,0.0009116,0.0009321,1550534400,54305419327.0
12,0.0009339,0.0009552,0.0009199,0.0009433,1550620800,14693569914.0
13,0.0010024,0.001025,0.0009282,0.0009339,1550707200,37598441229.0
14,0.0009876,0.00105,0.000983,0.0010025,1550793600,41911427224.0
15,0.0009994,0.0010026,0.0009539,0.0009876,1550880000,32931154640.0
16,0.0008687,0.0010175,0.0008601,0.0009995,1550966400,49451179924.0
17,0.0008695,0.0008989,0.000844,0.0008681,1551052800,28169040717.0
18,0.0008666,0.0008765,0.0008343,0.0008692,1551139200,20910777588.0
19,0.000858,0.0009053,0.000835,0.0008662,1551225600,24357175649.0
20,0.0008177,0.0008623,0.000802,0.0008584,1551312000,18282820571.0
21,0.0008058,0.0008343,0.0008027,0.0008181,1551398400,10774682351.0
22,0.0007743,0.000812,0.00076,0.000806,1551484800,8505163354.0
23,0.0008001,0.0008336,0.000771,0.0007739,1551571200,11510831375.0
24,0.0007567,0.000809,0.0007383,0.0008001,1551657600,7915809463.0
25,0.0007625,0.0007953,0.0007424,0.0007566,1551744000,9184129222.0
26,0.0007803,0.0007929,0.0007467,0.0007625,1551830400,9761613579.0
27,0.000758,0.0007929,0.0007527,0.0007801,1551916800,9740335777.0
28,0.0007362,0.0007706,0.0007123,0.000758,1552003200,9264195105.0
29,0.000745,0.0007746,0.000727,0.0007361,1552089600,7351682133.0
30,0.0007528,0.0007588,0.0007215,0.0007444,1552176000,8205379768.0
31,0.0007522,0.0008699,0.0007402,0.0007528,1552262400,30014427732.0
32,0.000755,0.000778,0.00073,0.0007516,1552348800,8592101485.0
33,0.0007456,0.0007615,0.0007354,0.0007547,1552435200,6751610252.0
34,0.00074,0.0007579,0.00073,0.0007457,1552521600,5168164179.0
35,0.0007483,0.0007509,0.0007374,0.00074,1552608000,2901211432.0
36,0.0007872,0.0007979,0.0007468,0.0007485,1552694400,10382454573.0
37,0.0008572,0.0008685,0.0007638,0.000787,1552780800,24745761714.0
38,0.0008193,0.000886,0.0007927,0.0008574,1552867200,19506461314.0
39,0.0008065,0.0008192,0.0007804,0.0008188,1552953600,10333430946.0
40,0.0008166,0.0008167,0.000785,0.0008065,1553040000,6448626517.0
41,0.0007789,0.0008423,0.0007508,0.0008166,1553126400,10120711083.0
42,0.0007808,0.00079,0.0007679,0.0007783,1553212800,4212703143.0
43,0.0008046,0.000818,0.0007796,0.0007808,1553299200,8058183346.0
44,0.0007837,0.0008052,0.0007765,0.0008045,1553385600,5119828090.0
45,0.0007504,0.000787,0.00074,0.0007837,1553472000,7714155604.0
46,0.0007431,0.0007696,0.0007265,0.0007495,1553558400,7047712066.0
47,0.0007712,0.000784,0.0007357,0.0007431,1553644800,10010036402.0
48,0.0007671,0.000786,0.0007581,0.0007711,1553731200,6823402050.0
49,0.0007641,0.0007773,0.00076,0.0007668,1553817600,6081736069.0
50,0.0007606,0.000774,0.0007507,0.0007639,1553904000,6460509196.0
51,0.0007631,0.0007748,0.000758,0.000761,1553990400,5919523002.0
52,0.0007529,0.0007664,0.0007401,0.0007626,1554076800,8735605461.0
53,0.0007926,0.0008098,0.0007511,0.000753,1554163200,28243843560.0
54,0.0007655,0.0008281,0.0007602,0.0007919,1554249600,30114937126.0
55,0.0007564,0.0007777,0.0007463,0.0007657,1554336000,20433607159.0
