,c,h,l,o,t,v
0,0.002253,0.0079,0.002125,0.0078,1566345600,3433151062
1,0.001938,0.002307,0.001851,0.002253,1566432000,1441075485
2,0.00201,0.00215,0.001906,0.001937,1566518400,777459811
3,0.001821,0.002021,0.00171,0.002013,1566604800,766667721
4,0.001954,0.002049,0.001808,0.001826,1566691200,642031382
5,0.001872,0.002036,0.001801,0.001934,1566777600,475195921
6,0.001763,0.001894,0.00172,0.001872,1566864000,277436345
7,0.001518,0.001805,0.001477,0.001761,1566950400,401926370
8,0.001383,0.001518,0.001365,0.001516,1567036800,519929094
9,0.001543,0.00163,0.00135,0.001383,1567123200,653430404
10,0.001439,0.001543,0.00141,0.001532,1567209600,381262566
11,0.001451,0.001529,0.001381,0.001438,1567296000,150260813
12,0.001455,0.001507,0.001404,0.001451,1567382400,387279382
13,0.00142,0.001526,0.00139,0.001459,1567468800,383115103
14,0.001366,0.001428,0.001327,0.00142,1567555200,331566117
15,0.001324,0.001382,0.0013,0.001357,1567641600,416519090
16,0.001317,0.00135,0.001282,0.001324,1567728000,333101300
17,0.001404,0.00145,0.001319,0.00132,1567814400,483132141
18,0.001335,0.001443,0.001308,0.00141,1567900800,182646019
19,0.00136,0.001417,0.001302,0.001353,1567987200,481460094
20,0.001293,0.001365,0.001292,0.00136,1568073600,340393134
21,0.001221,0.001328,0.0012,0.001295,1568160000,568817640
22,0.001271,0.00129,0.001213,0.001221,1568246400,269863724
23,0.001242,0.001283,0.001216,0.001271,1568332800,386028816
24,0.001223,0.001269,0.001223,0.001242,1568419200,292234848
25,0.001263,0.001291,0.001205,0.001225,1568505600,304834863
26,0.001253,0.001298,0.00122,0.001266,1568592000,315715641
27,0.001217,0.001257,0.001203,0.001253,1568678400,432667474
28,0.001282,0.001292,0.001211,0.001218,1568764800,453478949
29,0.001217,0.00128,0.001161,0.00128,1568851200,419315357
30,0.001236,0.001237,0.001202,0.001222,1568937600,386007968
31,0.001209,0.001235,0.001169,0.001235,1569024000,635483180
32,0.00115,0.001219,0.001147,0.001216,1569110400,277110342
33,0.001085,0.001157,0.001069,0.00115,1569196800,65842419
34,0.00085,0.001105,0.0008,0.001088,1569283200,407984275
35,0.000849,0.001003,0.000814,0.000849,1569369600,432951294
36,0.000806,0.000927,0.000763,0.00086,1569456000,624027769
37,0.000814,0.000818,0.000777,0.000812,1569542400,452183989
38,0.000799,0.000834,0.000779,0.000814,1569628800,407231604
39,0.000786,0.0008,0.000742,0.000799,1569715200,446865732
40,0.000816,0.000845,0.000757,0.000786,1569801600,348969497
41,0.000849,0.000867,0.000808,0.000815,1569888000,251653043
42,0.000893,0.000907,0.000822,0.000851,1569974400,122669521
43,0.000827,0.000893,0.000805,0.000893,1570060800,339441883
44,0.000837,0.000865,0.000807,0.000832,1570147200,135749773
45,0.000804,0.000838,0.00077,0.000831,1570233600,240222250
46,0.000784,0.00085,0.000784,0.000805,1570320000,53749965
47,0.000823,0.000831,0.00078,0.000786,1570406400,211367297
48,0.000857,0.000865,0.00082,0.00082,1570492800,443243486
49,0.000951,0.000988,0.000857,0.000857,1570579200,506784987
50,0.000932,0.000986,0.00088,0.000955,1570665600,472378641
51,0.00087,0.000965,0.000855,0.000932,1570752000,468532135
52,0.000904,0.000933,0.000843,0.000867,1570838400,297203843
53,0.0009,0.000933,0.000876,0.000901,1570924800,158740106
54,0.000903,0.000926,0.00088,0.000899,1571011200,286113344
55,0.000903,0.001084,0.000882,0.000904,1571097600,608782319
56,0.000886,0.000984,0.000881,0.000907,1571184000,512173610
