,c,h,l,o,t,v
0,0.17662,0.1831,0.16,0.179,1555545600,7414382.5
1,0.18783,0.2,0.16851,0.17706,1555632000,19142692.7
2,0.2012,0.21035,0.18717,0.18781,1555718400,14645375.3
3,0.18542,0.20151,0.17477,0.20122,1555804800,14442477.8
4,0.18744,0.193,0.17929,0.18597,1555891200,5003801.4
5,0.17336,0.18802,0.1705,0.18733,1555977600,8001684.4
6,0.15888,0.17318,0.15269,0.1725,1556064000,5151331.9
7,0.15309,0.17218,0.15,0.15925,1556150400,6349709.1
8,0.15698,0.16645,0.14567,0.1543,1556236800,4963244.9
9,0.15755,0.16295,0.15433,0.15628,1556323200,2145464.7
10,0.15627,0.16267,0.15301,0.15755,1556409600,2036346.6
11,0.14792,0.158,0.14375,0.1563,1556496000,2161365.9
12,0.15299,0.1537,0.14387,0.14802,1556582400,2246150.3
13,0.14861,0.15475,0.146,0.15299,1556668800,2508429.3
14,0.15156,0.15429,0.14683,0.1486,1556755200,2119292.9
15,0.14996,0.1536,0.14546,0.15104,1556841600,3685918.2
16,0.14208,0.15072,0.13654,0.14996,1556928000,3137421.6
17,0.14573,0.1479,0.13972,0.14208,1557014400,1314200.3
18,0.14494,0.14634,0.139,0.14634,1557100800,2549008.8
19,0.138,0.14699,0.13532,0.14507,1557187200,2217046.9
20,0.13418,0.13796,0.132,0.13682,1557273600,2458265.9
21,0.11724,0.1342,0.11561,0.13287,1557360000,2471322.7
22,0.1387,0.15375,0.11628,0.11724,1557446400,11941110.8
23,0.14415,0.16476,0.1387,0.13917,1557532800,19938099.0
24,0.14166,0.15161,0.13813,0.14414,1557619200,7872068.5
25,0.13612,0.14695,0.13188,0.1414,1557705600,10517269.6
26,0.14364,0.14592,0.13522,0.13584,1557792000,15364198.5
27,0.15615,0.16,0.14041,0.14339,1557878400,12495797.8
28,0.15225,0.16979,0.143,0.15615,1557964800,13521081.3
29,0.16189,0.163,0.13263,0.15265,1558051200,15223426.2
30,0.14734,0.163,0.145,0.16191,1558137600,8619900.7
31,0.15288,0.15654,0.14613,0.14734,1558224000,10023791.6
32,0.15303,0.15572,0.146,0.15288,1558310400,8600786.5
33,0.17,0.18379,0.14902,0.15302,1558396800,21800521.0
34,0.15488,0.194,0.15052,0.1697,1558483200,35563002.4
35,0.16721,0.17,0.15232,0.15438,1558569600,12957391.7
36,0.16081,0.17665,0.1586,0.16721,1558656000,12152994.1
37,0.16634,0.17224,0.1603,0.16154,1558742400,4977833.7
38,0.159,0.17375,0.15562,0.16656,1558828800,9787740.5
39,0.16329,0.16864,0.15886,0.15972,1558915200,7150219.1
40,0.16749,0.16961,0.15884,0.16329,1559001600,6327783.4
41,0.16746,0.17763,0.16066,0.16674,1559088000,6956198.1
42,0.1517,0.17261,0.14562,0.16745,1559174400,9845807.4
43,0.15668,0.1568,0.1459,0.1517,1559260800,4161116.0
44,0.15172,0.15748,0.14864,0.15646,1559347200,5211304.9
45,0.16895,0.1768,0.15042,0.15164,1559433600,13581383.9
46,0.15089,0.16991,0.14948,0.16857,1559520000,12568741.8
47,0.14325,0.15204,0.13773,0.15089,1559606400,10592472.7
48,0.1458,0.15032,0.13979,0.14318,1559692800,5831962.4
49,0.14934,0.1505,0.14153,0.14577,1559779200,5466712.4
50,0.15274,0.15725,0.14927,0.15012,1559865600,7529741.5
51,0.15244,0.15645,0.14962,0.15202,1559952000,3263813.0
52,0.14465,0.15468,0.14143,0.15308,1560038400,6173143.2
53,0.15142,0.153,0.14158,0.14423,1560124800,4014661.1
54,0.15913,0.163,0.1485,0.15233,1560211200,10100813.5
55,0.15623,0.15979,0.15375,0.15913,1560297600,5743760.9
56,0.15025,0.15749,0.1497,0.15663,1560384000,7449192.4
57,0.14591,0.156,0.14045,0.14984,1560470400,5588669.1
58,0.14834,0.14962,0.1446,0.14583,1560556800,3653417.0
59,0.14806,0.1487,0.143,0.1484,1560643200,2898826.7
60,0.14521,0.14935,0.144,0.14875,1560729600,3830131.6
61,0.14017,0.14628,0.13702,0.14599,1560816000,3834157.7
62,0.14242,0.14327,0.139,0.14011,1560902400,3103222.3
63,0.13514,0.1426,0.1326,0.14242,1560988800,4139254.0
64,0.13643,0.13762,0.133,0.1352,1561075200,2602328.2
65,0.13717,0.13894,0.13146,0.13625,1561161600,6352899.6
66,0.13668,0.14237,0.13532,0.13722,1561248000,4472659.8
67,0.13695,0.13939,0.134,0.13554,1561334400,2510167.8
68,0.135,0.14123,0.13393,0.13695,1561420800,4115034.7
69,0.12721,0.13588,0.12069,0.135,1561507200,7894921.5
70,0.11756,0.12959,0.11364,0.12721,1561593600,5626107.3
71,0.12115,0.12349,0.115,0.11758,1561680000,3651290.6
72,0.12347,0.12482,0.1163,0.12115,1561766400,3350481.4
73,0.12163,0.12809,0.11603,0.12373,1561852800,6568604.6
74,0.12737,0.13459,0.12188,0.12212,1561939200,10225131.5
75,0.12186,0.12806,0.11764,0.12789,1562025600,5519689.8
76,0.12108,0.12278,0.1183,0.12098,1562112000,2183364.1
77,0.11678,0.12225,0.11534,0.12099,1562198400,2261206.4
78,0.1165,0.11988,0.1143,0.11561,1562284800,1938655.4
79,0.12162,0.1247,0.1161,0.1161,1562371200,3707124.9
80,0.12492,0.1309,0.12066,0.12136,1562457600,5160535.1
81,0.11958,0.1265,0.11804,0.1249,1562544000,3488199.0
82,0.12101,0.1218,0.11695,0.1196,1562630400,2293797.8
83,0.11208,0.12365,0.1103,0.12019,1562716800,2871139.5
84,0.09969,0.11285,0.09635,0.11098,1562803200,2689385.8
85,0.10509,0.10783,0.09572,0.09944,1562889600,2838904.8
86,0.10158,0.10593,0.09848,0.10497,1562976000,1818876.0
87,0.10468,0.11592,0.09949,0.1016,1563062400,15741838.0
88,0.10143,0.10861,0.09561,0.10417,1563148800,7739394.2
89,0.08214,0.10297,0.0802,0.10132,1563235200,9354860.1
90,0.08437,0.08997,0.0775,0.08213,1563321600,8053497.2
91,0.08839,0.08889,0.08103,0.08437,1563408000,4007494.1
92,0.08875,0.091,0.08407,0.08839,1563494400,2591233.8
93,0.0902,0.09234,0.08677,0.08875,1563580800,2959521.2
94,0.08803,0.09048,0.08542,0.08954,1563667200,1466831.5
95,0.09,0.0911,0.086,0.08843,1563753600,2281836.5
96,0.08552,0.09289,0.08397,0.09011,1563840000,2422531.4
97,0.08561,0.08918,0.08251,0.08502,1563926400,1957813.3
98,0.08702,0.08902,0.08542,0.08551,1564012800,2055746.7
99,0.09094,0.09096,0.0849,0.08687,1564099200,3563104.3
100,0.08408,0.09199,0.08283,0.0903,1564185600,4029476.7
101,0.08489,0.08603,0.08184,0.08325,1564272000,2319827.2
102,0.08347,0.08529,0.08196,0.08454,1564358400,1222957.4
103,0.0898,0.09164,0.08259,0.08297,1564444800,2685458.2
104,0.08711,0.09247,0.08475,0.08905,1564531200,2296048.1
105,0.08453,0.08711,0.08233,0.08711,1564617600,1366185.2
106,0.0834,0.08544,0.08081,0.08405,1564704000,2501704.2
107,0.08312,0.08421,0.0821,0.0834,1564790400,1004707.2
108,0.08008,0.08371,0.0794,0.08312,1564876800,1706260.3
109,0.07827,0.08146,0.07706,0.08009,1564963200,2910043.9
110,0.07261,0.07865,0.0717,0.07829,1565049600,3798309.0
111,0.06981,0.07518,0.06849,0.07246,1565136000,3343609.0
112,0.0685,0.07062,0.0672,0.06981,1565222400,3592292.1
113,0.061,0.06901,0.06082,0.06901,1565308800,2958567.3
114,0.06924,0.075,0.06009,0.061,1565395200,5185278.2
115,0.07105,0.0775,0.0675,0.06916,1565481600,10454042.0
116,0.07174,0.07624,0.07004,0.07136,1565568000,5169471.0
117,0.06811,0.07181,0.06659,0.07173,1565654400,2849279.5
118,0.06021,0.06858,0.05971,0.06858,1565740800,2869675.3
119,0.05973,0.06058,0.05557,0.06022,1565827200,1340026.8
120,0.06182,0.06326,0.05819,0.06016,1565913600,3242168.9
121,0.064,0.069,0.06016,0.06152,1566000000,7833323.5
122,0.06456,0.06577,0.06285,0.06393,1566086400,2850418.2
