,c,h,l,o,t,v
0,2.7219,2.806,2.3248,2.3407,1549584000,9123081.23
1,2.7718,2.831,2.6742,2.7213,1549670400,6111348.73
2,2.8393,2.86,2.6484,2.7707,1549756800,6446491.03
3,2.75,2.8478,2.6826,2.8401,1549843200,5768338.97
4,2.9465,3.0171,2.7089,2.7493,1549929600,7730088.3
5,2.8564,2.9973,2.8027,2.9475,1550016000,6485268.12
6,2.7427,2.8894,2.7101,2.8565,1550102400,4507205.73
7,2.7928,2.8697,2.7391,2.7428,1550188800,4622600.86
8,2.7873,2.8932,2.7755,2.7931,1550275200,3196504.29
9,2.8762,2.9163,2.7775,2.7859,1550361600,5431277.9
10,3.4764,3.49,2.8601,2.8762,1550448000,17539014.8
11,3.5224,3.799,3.46,3.4763,1550534400,21074867.08
12,3.9076,3.945,3.4554,3.5215,1550620800,17147702.58
13,3.8035,3.9287,3.6345,3.9095,1550707200,11037523.05
14,3.8411,3.909,3.73,3.8035,1550793600,10110935.88
15,4.245,4.3139,3.7799,3.8459,1550880000,8765378.72
16,3.5289,4.4416,3.4,4.2434,1550966400,19522125.21
17,3.5461,3.713,3.2658,3.5327,1551052800,15538358.94
18,3.4318,3.5582,3.3001,3.5431,1551139200,9333008.35
19,3.5021,3.5545,3.32,3.4324,1551225600,7547003.71
20,3.4971,3.6439,3.436,3.5026,1551312000,7021064.46
21,3.4673,3.6835,3.4064,3.4977,1551398400,8074950.46
22,3.4753,3.5313,3.422,3.4668,1551484800,5610936.02
23,3.5158,3.5949,3.4742,3.4767,1551571200,4412889.19
24,3.2321,3.5415,3.1,3.5159,1551657600,10886454.08
25,3.7481,3.7988,3.202,3.2329,1551744000,15869796.96
26,3.7329,3.8877,3.577,3.7494,1551830400,12303713.42
27,3.7571,3.9,3.6841,3.7329,1551916800,10071541.78
28,3.5897,3.8,3.4835,3.757,1552003200,10750051.28
29,3.7544,3.8192,3.5758,3.5899,1552089600,8648421.92
30,3.6935,3.7599,3.6455,3.7544,1552176000,4325239.12
31,3.5638,3.7284,3.491,3.6948,1552262400,8446929.04
32,3.6416,3.6912,3.5101,3.5636,1552348800,5259530.76
33,3.5632,3.652,3.4688,3.6434,1552435200,5561050.11
34,3.5786,3.649,3.4821,3.5632,1552521600,5786220.56
35,3.6865,3.7228,3.567,3.5786,1552608000,6815599.64
36,3.7991,3.8475,3.677,3.6861,1552694400,8969648.79
37,3.7376,3.803,3.7155,3.7974,1552780800,3745249.4
38,3.7066,3.7954,3.6761,3.7366,1552867200,5746385.4
39,3.7266,3.7443,3.6722,3.706,1552953600,4635389.85
40,3.71,3.7377,3.531,3.7266,1553040000,6793232.09
41,3.6185,3.72,3.4912,3.71,1553126400,5755727.13
42,3.6176,3.6537,3.5671,3.6192,1553212800,3671989.04
43,3.6647,3.7067,3.5985,3.6137,1553299200,4302369.88
44,3.6314,3.6643,3.5822,3.6643,1553385600,3919667.95
45,3.65,3.6757,3.5714,3.6314,1553472000,6356654.2
46,3.7439,3.769,3.5914,3.65,1553558400,6076446.86
47,4.2539,4.343,3.716,3.7439,1553644800,17230440.01
48,4.2442,4.3198,4.1657,4.2556,1553731200,7697251.93
49,4.302,4.406,4.2088,4.244,1553817600,7848828.29
50,4.1502,4.3232,3.9869,4.3023,1553904000,7223240.88
51,4.1893,4.2557,4.0788,4.1502,1553990400,4909980.94
52,4.2043,4.2536,4.1382,4.1895,1554076800,5752360.2
53,5.0232,5.0889,4.1541,4.2042,1554163200,17527784.39
54,5.2089,5.911,4.7111,5.022,1554249600,24710380.98
55,5.065,5.3246,4.8345,5.2089,1554336000,13444751.37
56,5.3097,5.371,5.0671,5.0671,1554422400,8065667.52
57,5.3288,5.6803,5.0701,5.3118,1554508800,9351227.61
58,5.4207,5.495,5.2415,5.3275,1554595200,7355425.71
59,5.5003,5.6654,5.1977,5.4174,1554681600,11160092.22
60,5.5231,5.6223,5.2612,5.5006,1554768000,9046713.2
61,5.8417,5.973,5.5044,5.5223,1554854400,14373790.86
62,5.2778,5.8473,5.05,5.8425,1554940800,16559879.59
63,5.3313,5.44,5.0276,5.2788,1555027200,8600254.45
64,5.2857,5.398,5.1855,5.3305,1555113600,3078670.45
65,5.5422,5.57,5.2152,5.2857,1555200000,3755963.39
66,5.3234,5.6087,5.2279,5.5421,1555286400,6061124.01
67,5.49,5.5164,5.2749,5.3263,1555372800,4632515.82
68,5.4153,5.5499,5.3515,5.4871,1555459200,3704667.9
69,5.4654,5.547,5.4083,5.4183,1555545600,4362293.35
