,c,h,l,o,t,v
0,4.1355,4.2775,3.8155,3.8502,1549584000,822518.93
1,4.0761,4.1632,4.0,4.1365,1549670400,518535.4
2,4.1584,4.1658,3.919,4.0761,1549756800,500903.44
3,4.0697,4.1654,3.966,4.1597,1549843200,530008.64
4,4.0685,4.1891,4.0143,4.0703,1549929600,311770.28
5,4.0982,4.1652,4.0408,4.0675,1550016000,249334.48
6,4.1065,4.17,4.0469,4.0964,1550102400,348463.88
7,4.0937,4.2156,4.0374,4.1043,1550188800,376492.88
8,4.0758,4.1444,4.0622,4.0902,1550275200,216517.83
9,4.1738,4.1972,4.0657,4.0703,1550361600,311100.0
10,4.3857,4.4404,4.1471,4.1817,1550448000,846434.07
11,4.5363,4.8218,4.3753,4.3777,1550534400,1376246.94
12,4.6727,4.756,4.41,4.5368,1550620800,828459.26
13,4.492,4.6918,4.3892,4.6782,1550707200,597484.33
14,4.6762,4.7986,4.4536,4.4991,1550793600,601173.65
15,4.8067,4.888,4.588,4.6789,1550880000,669516.25
16,4.0862,4.962,4.08,4.8129,1550966400,1218578.79
17,4.2366,4.3495,4.0804,4.0804,1551052800,644256.17
18,4.2545,4.3317,4.1857,4.2372,1551139200,489956.82
19,4.2854,4.3855,4.109,4.2561,1551225600,541668.49
20,4.2171,4.3424,4.1812,4.2838,1551312000,416571.17
21,4.2312,4.2938,4.1901,4.2199,1551398400,389750.56
22,4.23,4.412,4.1697,4.228,1551484800,684546.47
23,4.2423,4.2911,4.1937,4.2323,1551571200,307919.83
24,4.0855,4.2674,3.9,4.2423,1551657600,620131.94
25,4.2664,4.35,4.063,4.0828,1551744000,648403.33
26,4.265,4.3738,4.16,4.2661,1551830400,528435.1
27,4.3542,4.4789,4.238,4.2635,1551916800,724122.69
28,4.1892,4.3966,4.0901,4.3515,1552003200,511593.33
29,4.2432,4.3243,4.1782,4.1871,1552089600,469295.09
30,4.3094,4.3537,4.1689,4.2439,1552176000,391315.81
31,4.1992,4.3475,4.1817,4.3115,1552262400,501458.56
32,4.2704,4.3144,4.161,4.1991,1552348800,270579.4
33,4.2156,4.2919,4.173,4.2717,1552435200,355403.56
34,4.296,4.3552,4.18,4.2155,1552521600,460437.21
35,4.3995,4.442,4.2955,4.296,1552608000,475775.52
36,4.4836,4.6234,4.3952,4.3989,1552694400,618973.63
37,4.4148,4.4911,4.3534,4.4849,1552780800,319005.25
38,4.3927,4.4891,4.3085,4.417,1552867200,356593.81
39,4.5956,4.6598,4.3601,4.3922,1552953600,609169.51
40,4.6506,4.7136,4.4832,4.5959,1553040000,658461.35
41,4.7593,4.8929,4.4684,4.654,1553126400,1227953.82
42,4.8519,4.98,4.7459,4.76,1553212800,888068.56
43,4.874,4.9043,4.7953,4.8479,1553299200,353220.78
44,4.8234,4.8946,4.73,4.8716,1553385600,293702.22
45,4.6901,4.8263,4.5999,4.8194,1553472000,340967.07
46,4.6663,4.7128,4.5741,4.6936,1553558400,229707.39
47,4.7962,4.8303,4.6406,4.6664,1553644800,432091.13
48,4.7055,4.8219,4.6829,4.7963,1553731200,272546.66
49,4.8722,4.97,4.7042,4.7052,1553817600,508131.23
50,4.7843,4.9171,4.704,4.8723,1553904000,326001.65
51,4.8245,4.8448,4.7448,4.7841,1553990400,158345.18
52,4.8095,4.8483,4.778,4.8246,1554076800,351296.02
53,5.4288,5.4451,4.7536,4.8099,1554163200,1619131.99
54,5.4051,6.122,5.0243,5.4289,1554249600,2011097.06
55,5.3285,5.5934,5.196,5.4099,1554336000,835750.37
56,5.7268,5.9247,5.3262,5.3262,1554422400,721348.69
57,5.9932,6.0489,5.4921,5.7256,1554508800,830985.14
58,7.6627,7.9875,5.9871,5.993,1554595200,5659840.25
59,7.1169,7.9122,6.7601,7.6687,1554681600,2497328.29
60,6.9248,7.35,6.6348,7.1175,1554768000,1360172.06
61,7.0264,7.2,6.8822,6.9246,1554854400,936639.88
62,6.2411,7.0439,5.9,7.0352,1554940800,1203420.89
63,6.31,6.4696,5.8206,6.241,1555027200,695681.2
64,6.2917,6.4025,6.1279,6.3022,1555113600,321467.76
65,6.4124,6.4172,6.1465,6.29,1555200000,250680.4
66,6.1626,6.5233,5.9112,6.4179,1555286400,455760.72
67,6.2393,6.2761,6.0168,6.1626,1555372800,464617.42
68,6.1861,6.3266,6.1019,6.2401,1555459200,296536.37
69,6.3218,6.3887,6.1597,6.1869,1555545600,451794.65
70,6.2528,6.3393,6.1825,6.3277,1555632000,322154.82
71,6.2131,6.3,6.1388,6.2562,1555718400,180682.28
72,5.8822,6.2177,5.6608,6.2086,1555804800,417262.45
73,5.8944,5.9419,5.7736,5.8786,1555891200,388097.43
74,5.8715,6.0757,5.83,5.8938,1555977600,521129.02
75,5.5508,5.8898,5.2,5.87,1556064000,813953.17
76,5.4369,5.6835,5.2779,5.5542,1556150400,579913.74
77,5.4835,5.6258,5.3039,5.4336,1556236800,458539.91
78,5.5464,5.6375,5.4554,5.4791,1556323200,299534.27
79,5.6296,5.7072,5.4792,5.539,1556409600,284336.9
80,5.5908,5.7488,5.4587,5.626,1556496000,559541.13
81,5.886,5.9,5.5801,5.5836,1556582400,516042.37
82,5.8103,5.9409,5.7331,5.886,1556668800,288784.13
83,5.7789,5.842,5.74,5.8087,1556755200,569426.19
84,6.0612,6.1582,5.7526,5.7801,1556841600,1165067.83
85,5.8306,6.1632,5.6663,6.06,1556928000,710407.69
86,5.7213,5.8726,5.6501,5.8303,1557014400,360593.87
87,5.6912,5.788,5.4874,5.7243,1557100800,425428.11
88,5.6603,5.9124,5.61,5.6958,1557187200,488374.97
89,5.707,5.7881,5.6,5.6651,1557273600,320309.59
90,5.5821,5.7896,5.5061,5.7159,1557360000,285020.48
91,5.6392,5.6979,5.5039,5.583,1557446400,452103.88
92,5.9556,6.3396,5.5915,5.6407,1557532800,1117309.69
93,5.8319,6.2279,5.6981,5.9859,1557619200,632167.22
94,6.0496,6.2516,5.7845,5.8303,1557705600,500761.57
95,6.5399,6.6742,6.0428,6.05,1557792000,716803.09
96,7.628,7.6832,6.47,6.5428,1557878400,559302.04
97,7.6505,8.5199,6.9104,7.6276,1557964800,1825141.63
98,7.2659,7.8097,6.8153,7.6545,1558051200,1275334.59
99,7.16,7.4593,7.05,7.2666,1558137600,581186.47
100,7.765,7.8856,7.1344,7.1503,1558224000,772081.0
101,7.3647,7.7716,7.1021,7.7556,1558310400,702177.88
102,7.385,7.62,7.197,7.3661,1558396800,650276.97
103,6.9025,7.4888,6.781,7.3779,1558483200,587427.53
104,7.0552,7.102,6.66,6.9007,1558569600,412174.62
105,7.2925,7.4147,6.94,7.0484,1558656000,604479.88
106,7.2763,7.355,7.1485,7.2855,1558742400,331602.0
107,7.6004,7.7449,7.0766,7.2718,1558828800,448532.73
108,8.1316,8.33,7.5315,7.6005,1558915200,828149.55
109,8.2296,8.4698,8.0,8.1264,1559001600,841159.8
110,8.1954,8.4087,7.6461,8.2389,1559088000,624282.74
111,8.0665,8.8997,7.7627,8.177,1559174400,1367223.89
112,8.6614,8.7465,7.8799,8.0847,1559260800,779959.47
113,8.5698,8.8949,8.4261,8.6613,1559347200,809162.9
114,9.5287,9.6394,8.5489,8.5628,1559433600,1014387.21
115,9.3529,9.8699,9.0,9.5345,1559520000,1355386.92
116,8.2603,9.3376,7.5274,9.3376,1559606400,1829964.35
117,8.0964,8.39,7.7598,8.269,1559692800,1338134.08
118,7.9374,8.1803,7.3071,8.1012,1559779200,1029487.65
119,8.2067,8.3685,7.7709,7.9438,1559865600,737072.49
120,8.3993,8.82,8.0221,8.2115,1559952000,716708.61
121,8.1171,8.5112,7.8332,8.4053,1560038400,629703.84
122,8.3124,8.3847,7.887,8.1172,1560124800,674050.25
123,8.2267,8.3296,8.0,8.3034,1560211200,467077.76
124,8.6203,8.8,8.0902,8.24,1560297600,741866.85
125,8.5339,8.7253,8.4413,8.6186,1560384000,587022.48
