,c,h,l,o,t,v
0,119.25,123.0,103.41,104.48,1549584000,589950.64925
1,119.19,121.99,117.64,119.32,1549670400,328067.9574
2,125.12,126.49,115.81,119.19,1549756800,385819.09619
3,120.89,125.28,119.24,125.12,1549843200,389405.30404
4,122.41,123.89,118.18,120.88,1549929600,343765.66987
5,121.86,126.47,120.7,122.4,1550016000,317827.31956
6,120.42,124.5,120.1,121.86,1550102400,297205.78738
7,121.67,124.25,120.19,120.47,1550188800,255296.0814
8,122.67,124.99,121.54,121.66,1550275200,215320.70134
9,133.75,135.61,122.43,122.67,1550361600,614788.60078
10,145.69,148.3,132.42,133.77,1550448000,1079830.1502
11,143.44,150.0,142.36,145.69,1550534400,747968.90445
12,148.44,149.52,139.6,143.45,1550620800,614303.61007
13,145.69,149.61,142.7,148.42,1550707200,447364.40873
14,147.36,148.85,143.85,145.68,1550793600,366251.18542
15,157.79,159.6,145.78,147.4,1550880000,588183.72896
16,132.1,166.0,131.7,157.75,1550966400,1260506.80672
17,137.87,141.55,131.89,132.1,1551052800,801147.09543
18,136.22,138.41,133.72,137.88,1551139200,432944.17033
19,135.02,140.29,126.84,136.22,1551225600,567202.61035
20,135.34,139.0,132.1,135.03,1551312000,579327.31749
21,135.32,137.95,134.9,135.32,1551398400,302632.02831
22,132.56,136.12,130.03,135.32,1551484800,297005.28093
23,130.6,134.6,128.01,132.54,1551571200,222453.2859
24,125.65,131.11,122.6,130.6,1551657600,403947.79445
25,136.72,137.84,125.19,125.68,1551744000,512631.23178
26,137.4,140.29,133.33,136.71,1551830400,428826.87415
27,136.81,140.2,135.2,137.37,1551916800,307336.4931
28,133.52,139.34,130.62,136.82,1552003200,330283.58233
29,137.27,138.65,132.93,133.51,1552089600,279861.12049
30,135.37,137.5,134.0,137.27,1552176000,203965.16815
31,132.67,136.15,131.0,135.37,1552262400,264587.00683
32,133.57,135.3,130.77,132.67,1552348800,194905.96843
33,131.65,133.65,130.58,133.62,1552435200,209456.09848
34,132.2,135.11,128.52,131.69,1552521600,258413.81868
35,136.56,137.62,132.18,132.24,1552608000,295832.26562
36,140.92,144.47,136.51,136.6,1552694400,474664.10197
37,138.67,141.07,137.2,140.94,1552780800,252697.08148
38,137.59,142.01,136.1,138.67,1552867200,281718.96195
39,138.55,139.38,136.97,137.62,1552953600,218577.45208
40,139.01,139.66,136.01,138.56,1553040000,222883.51754
41,134.85,139.55,131.21,139.04,1553126400,312531.39368
42,135.98,137.2,134.29,134.85,1553212800,186119.74745
43,137.28,138.21,135.6,135.92,1553299200,174710.43059
44,136.09,137.37,134.75,137.28,1553385600,198490.45124
45,133.98,136.83,131.6,136.12,1553472000,230880.285
46,134.18,134.74,132.27,133.97,1553558400,183139.11426
47,139.45,140.14,133.84,134.14,1553644800,317167.45325
48,137.86,139.57,137.3,139.46,1553731200,163185.6991
49,143.25,143.6,137.62,137.85,1553817600,235853.0454
50,142.46,145.89,140.06,143.25,1553904000,254798.70067
51,141.38,142.5,140.42,142.44,1553990400,142469.21171
52,141.24,143.08,139.57,141.41,1554076800,234310.19161
53,163.31,165.6,141.0,141.24,1554163200,906868.8586
54,159.96,177.81,149.23,163.26,1554249600,1345344.53845
55,157.36,164.0,152.8,159.96,1554336000,686080.95248
56,164.77,167.83,155.94,157.33,1554422400,516070.34553
57,165.5,172.77,159.2,164.84,1554508800,528168.33297
58,174.21,175.43,164.06,165.56,1554595200,465507.52497
59,178.72,185.87,170.9,174.29,1554681600,873410.07285
60,174.6,179.17,171.05,178.71,1554768000,431986.36108
