,c,h,l,o,t,v
0,0.3554,0.489,0.301,0.33,1551312000,153340418.22
1,0.4426,0.4768,0.3502,0.3554,1551398400,122476704.43
2,0.4026,0.4431,0.3801,0.443,1551484800,50660886.62
3,0.3639,0.429,0.3537,0.402,1551571200,41110679.59
4,0.3309,0.3782,0.3226,0.3639,1551657600,66614590.51
5,0.3137,0.3456,0.305,0.3309,1551744000,61152467.51
6,0.31,0.3299,0.3061,0.3136,1551830400,30721731.0
7,0.3478,0.366,0.3075,0.31,1551916800,73918772.24
8,0.2875,0.3504,0.28,0.3476,1552003200,46682378.21
9,0.2678,0.2956,0.2675,0.2873,1552089600,37817821.7
10,0.255,0.2679,0.238,0.2678,1552176000,42782586.81
11,0.2173,0.2768,0.2138,0.2548,1552262400,42628057.43
12,0.2202,0.2414,0.2087,0.2173,1552348800,34036963.2
13,0.2456,0.2583,0.2206,0.2206,1552435200,49772747.64
14,0.2293,0.268,0.224,0.2454,1552521600,57242839.99
15,0.2323,0.2415,0.2295,0.2295,1552608000,19695949.18
16,0.2283,0.236,0.2211,0.2329,1552694400,16714026.23
17,0.2361,0.2399,0.227,0.2283,1552780800,16432052.55
18,0.2278,0.2392,0.2253,0.236,1552867200,28554545.69
19,0.2174,0.2335,0.2107,0.2278,1552953600,51788431.46
20,0.2199,0.2233,0.2127,0.2175,1553040000,36760892.86
21,0.2022,0.2265,0.195,0.22,1553126400,64150250.0
22,0.2054,0.2086,0.1996,0.2021,1553212800,40212713.11
23,0.2022,0.2084,0.1959,0.2054,1553299200,38747348.04
24,0.2084,0.2187,0.2014,0.2022,1553385600,48190652.49
25,0.1977,0.2138,0.1906,0.2087,1553472000,49421470.3
26,0.1819,0.201,0.1777,0.1976,1553558400,46719166.24
27,0.1942,0.1984,0.18,0.1818,1553644800,62095512.42
28,0.2199,0.2239,0.1881,0.1942,1553731200,76218206.93
29,0.2067,0.2201,0.2034,0.2199,1553817600,63644370.74
30,0.2052,0.2072,0.196,0.2067,1553904000,53398632.02
31,0.1973,0.2054,0.1922,0.2051,1553990400,41682675.44
32,0.2015,0.203,0.194,0.1971,1554076800,62557950.4
33,0.2049,0.2093,0.1953,0.2014,1554163200,78206197.24
34,0.1924,0.2231,0.188,0.2045,1554249600,73783946.79
35,0.1953,0.2009,0.1888,0.1927,1554336000,56478444.37
36,0.1973,0.2025,0.1935,0.1952,1554422400,43657482.78
37,0.1997,0.2099,0.1958,0.1973,1554508800,46296680.86
38,0.2027,0.21,0.1982,0.2001,1554595200,51759586.89
39,0.2115,0.2186,0.1975,0.2024,1554681600,61498802.64
40,0.205,0.2127,0.1988,0.2116,1554768000,37173577.96
41,0.2018,0.2082,0.2001,0.2049,1554854400,38389629.56
42,0.181,0.2033,0.1699,0.2018,1554940800,40867456.61
43,0.1893,0.1928,0.173,0.1808,1555027200,35520308.48
44,0.192,0.1947,0.1835,0.1893,1555113600,30017230.26
45,0.1906,0.1924,0.1851,0.192,1555200000,25352798.15
46,0.183,0.1973,0.1801,0.1905,1555286400,37893791.12
47,0.1869,0.1892,0.179,0.183,1555372800,29250696.81
48,0.197,0.2009,0.1868,0.1871,1555459200,35592104.2
49,0.2109,0.216,0.1969,0.1969,1555545600,43770529.81
50,0.2042,0.212,0.201,0.2105,1555632000,34708544.17
51,0.2292,0.2341,0.203,0.2043,1555718400,45647573.57
52,0.2328,0.2488,0.2036,0.2296,1555804800,66159288.17
53,0.2293,0.2463,0.2178,0.2328,1555891200,48467021.61
54,0.2076,0.2306,0.2038,0.2293,1555977600,45255496.41
55,0.1875,0.2077,0.1751,0.2075,1556064000,43385561.66
56,0.1601,0.1897,0.1585,0.1874,1556150400,17425250.37
57,0.1461,0.1649,0.1407,0.1604,1556236800,22673386.24
58,0.1509,0.1535,0.1411,0.1463,1556323200,23139161.61
59,0.1467,0.1579,0.144,0.1511,1556409600,31556751.14
60,0.1284,0.1499,0.127,0.1465,1556496000,29393292.01
61,0.1386,0.1399,0.1283,0.1284,1556582400,34624953.27
62,0.1362,0.1418,0.1327,0.1386,1556668800,34828656.54
63,0.1327,0.1412,0.1308,0.136,1556755200,26473642.74
64,0.134,0.1359,0.1276,0.1326,1556841600,35630525.75
65,0.1241,0.1345,0.1187,0.1341,1556928000,29489810.34
66,0.1219,0.1255,0.1195,0.1239,1557014400,29087977.31
67,0.1236,0.127,0.1174,0.1219,1557100800,34562990.3
68,0.1114,0.126,0.11,0.124,1557187200,37075435.28
69,0.1068,0.1136,0.1058,0.1116,1557273600,21735885.82
70,0.0943,0.1061,0.0925,0.1061,1557360000,9601618.45
71,0.0998,0.1048,0.0875,0.0945,1557446400,14476137.43
72,0.1065,0.1132,0.0955,0.0999,1557532800,35468300.41
73,0.1147,0.1265,0.1043,0.1065,1557619200,52739783.96
74,0.1201,0.1326,0.1141,0.1149,1557705600,45923125.33
75,0.1433,0.145,0.1201,0.1201,1557792000,57979259.36
76,0.1471,0.1499,0.1326,0.143,1557878400,23107049.24
77,0.1332,0.157,0.1279,0.1467,1557964800,33338162.86
78,0.1709,0.18,0.1145,0.1331,1558051200,57768580.48
79,0.1615,0.193,0.1555,0.1711,1558137600,43772639.46
80,0.2059,0.2156,0.1551,0.1613,1558224000,88020567.99
81,0.2709,0.3166,0.1946,0.2059,1558310400,185510226.27
82,0.2285,0.3422,0.2167,0.2715,1558396800,206404080.15
83,0.1686,0.2404,0.1636,0.2285,1558483200,116173555.21
84,0.1789,0.2163,0.1585,0.1688,1558569600,142239360.03
85,0.1585,0.1855,0.1526,0.1789,1558656000,69875445.41
86,0.1777,0.19,0.1478,0.158,1558742400,100283057.11
87,0.1741,0.2093,0.1615,0.1777,1558828800,91490186.06
88,0.1697,0.1865,0.162,0.1738,1558915200,51124673.08
89,0.1821,0.2025,0.1693,0.1696,1559001600,69507078.25
90,0.1755,0.1857,0.1666,0.1821,1559088000,57063165.31
91,0.164,0.1887,0.156,0.1756,1559174400,73852700.68
92,0.1828,0.1968,0.1635,0.1641,1559260800,73322193.25
93,0.1939,0.2036,0.1725,0.1826,1559347200,94307860.09
94,0.2,0.2115,0.1826,0.1939,1559433600,47247676.38
95,0.1752,0.2005,0.174,0.1999,1559520000,61362152.81
96,0.1762,0.1821,0.1624,0.1748,1559606400,75388705.57
97,0.2049,0.2173,0.1685,0.176,1559692800,136770343.87
98,0.1981,0.2209,0.185,0.2047,1559779200,104811482.6
99,0.2075,0.218,0.1952,0.1981,1559865600,50399926.66
100,0.2131,0.2173,0.1971,0.2067,1559952000,27439885.64
101,0.2048,0.2361,0.1972,0.2135,1560038400,123931742.84
102,0.2436,0.254,0.1952,0.205,1560124800,168069851.71
103,0.2519,0.2539,0.2236,0.2439,1560211200,114110261.31
104,0.2365,0.2559,0.2263,0.2519,1560297600,112776518.47
105,0.2137,0.2386,0.2123,0.2364,1560384000,86282637.7
106,0.1961,0.2171,0.1865,0.2138,1560470400,74346679.56
107,0.2031,0.2158,0.1934,0.1958,1560556800,82551173.74
108,0.2005,0.2038,0.1943,0.2034,1560643200,57100137.6
109,0.198,0.225,0.1963,0.2004,1560729600,82965791.14
110,0.2084,0.211,0.1932,0.1976,1560816000,67971296.12
111,0.2024,0.217,0.2006,0.2084,1560902400,78364192.17
112,0.1915,0.2047,0.1892,0.2029,1560988800,68655287.53
113,0.1803,0.1953,0.1764,0.1914,1561075200,59644404.53
114,0.1869,0.1898,0.1734,0.1807,1561161600,73545943.15
115,0.1766,0.1921,0.1757,0.187,1561248000,68512795.88
116,0.169,0.1823,0.1662,0.1767,1561334400,62445524.83
117,0.1625,0.1696,0.1617,0.1695,1561420800,58591942.12
118,0.1504,0.1644,0.1414,0.1623,1561507200,63275060.57
119,0.1506,0.1667,0.1449,0.1505,1561593600,43499951.6
120,0.1447,0.156,0.1426,0.1507,1561680000,36872296.35
121,0.1633,0.172,0.142,0.1452,1561766400,52865317.74
122,0.1527,0.1873,0.1519,0.1632,1561852800,73026885.15
123,0.1629,0.1647,0.1464,0.1526,1561939200,40932237.1
124,0.1481,0.1651,0.1455,0.1629,1562025600,37729114.21
125,0.1484,0.157,0.1432,0.1482,1562112000,32905523.67
126,0.1362,0.1492,0.1329,0.1485,1562198400,25687477.79
127,0.1457,0.1526,0.1354,0.1358,1562284800,15177688.9
128,0.1418,0.151,0.1401,0.1462,1562371200,12829281.66
129,0.1451,0.1486,0.1393,0.1418,1562457600,9220530.58
130,0.1358,0.1479,0.1334,0.1451,1562544000,11296853.55
131,0.1291,0.1364,0.1287,0.1358,1562630400,11751196.89
132,0.1259,0.13,0.118,0.1291,1562716800,15429159.9
133,0.1113,0.1272,0.1098,0.1255,1562803200,14465401.88
134,0.1194,0.122,0.1044,0.1113,1562889600,17957483.69
135,0.122,0.1394,0.1139,0.1194,1562976000,27899232.17
136,0.1045,0.1295,0.1045,0.1222,1563062400,17234524.87
137,0.1035,0.112,0.0964,0.1045,1563148800,16445767.76
138,0.0924,0.1063,0.09,0.1036,1563235200,13572811.17
139,0.0977,0.1028,0.09,0.0926,1563321600,14275091.15
140,0.1019,0.1052,0.0951,0.0976,1563408000,17774185.34
141,0.1025,0.1032,0.099,0.1018,1563494400,8466422.63
142,0.1059,0.1087,0.1005,0.1024,1563580800,12084567.03
143,0.1028,0.1071,0.1003,0.1058,1563667200,8382354.68
144,0.0983,0.1044,0.095,0.103,1563753600,9925395.54
145,0.0888,0.0987,0.0883,0.0984,1563840000,11194710.91
146,0.0874,0.0917,0.0845,0.0888,1563926400,15249658.14
147,0.1053,0.1144,0.0873,0.0874,1564012800,46332633.15
148,0.1023,0.1123,0.102,0.1053,1564099200,24061765.15
149,0.0917,0.105,0.0915,0.1023,1564185600,24789395.08
150,0.0902,0.0949,0.0862,0.0921,1564272000,15041440.75
151,0.0932,0.0947,0.0882,0.0902,1564358400,14073958.59
152,0.0916,0.0947,0.0902,0.0932,1564444800,17301648.47
153,0.0901,0.093,0.0885,0.0916,1564531200,17183174.25
154,0.0838,0.0911,0.0826,0.0901,1564617600,18390812.16
155,0.085,0.09,0.0831,0.0838,1564704000,16016100.52
156,0.0824,0.0864,0.0812,0.0851,1564790400,9781086.53
157,0.078,0.0827,0.0775,0.0823,1564876800,8940998.46
158,0.0772,0.0819,0.0734,0.078,1564963200,21089110.29
159,0.0813,0.0899,0.077,0.0771,1565049600,35022158.68
160,0.0794,0.0906,0.0771,0.0816,1565136000,40473942.39
161,0.0796,0.0831,0.0778,0.0797,1565222400,19783322.36
162,0.0732,0.0803,0.0725,0.0801,1565308800,12510515.77
163,0.0753,0.0775,0.0729,0.0733,1565395200,10450533.62
164,0.0758,0.0803,0.0747,0.0753,1565481600,11798706.24
165,0.0779,0.0802,0.0754,0.0758,1565568000,9542798.9
166,0.0769,0.0789,0.0733,0.0776,1565654400,11212317.45
167,0.0693,0.0778,0.0679,0.077,1565740800,11350679.09
168,0.0716,0.0728,0.0685,0.0694,1565827200,5883308.24
169,0.067,0.0728,0.065,0.0716,1565913600,11262624.16
170,0.0665,0.0676,0.0651,0.0671,1566000000,5118619.46
171,0.067,0.0683,0.066,0.0665,1566086400,8641624.76
172,0.0692,0.0723,0.0665,0.0669,1566172800,16950718.05
173,0.0676,0.0707,0.0662,0.0692,1566259200,12981519.24
174,0.0636,0.0685,0.0615,0.0677,1566345600,16988489.88
175,0.0653,0.0666,0.0609,0.0637,1566432000,15498044.73
176,0.0656,0.0667,0.0639,0.0651,1566518400,14425065.15
177,0.0673,0.0682,0.0623,0.0656,1566604800,19886384.78
178,0.0626,0.0701,0.0618,0.0672,1566691200,28175809.83
179,0.0607,0.0634,0.0594,0.0628,1566777600,22818201.74
180,0.0606,0.0623,0.0588,0.0608,1566864000,20909307.19
181,0.052,0.0607,0.0514,0.0606,1566950400,22590735.3
182,0.0502,0.0528,0.0494,0.0521,1567036800,22227502.82
183,0.0516,0.0523,0.049,0.0502,1567123200,16907350.88
184,0.0505,0.0538,0.0495,0.0516,1567209600,16856580.95
185,0.0488,0.0512,0.0477,0.0504,1567296000,13470772.89
186,0.0494,0.0511,0.0481,0.0488,1567382400,17947626.36
187,0.0496,0.051,0.0488,0.0494,1567468800,21446846.93
188,0.0492,0.0529,0.049,0.0496,1567555200,35254835.54
189,0.0524,0.0576,0.0487,0.0492,1567641600,43122643.25
190,0.0497,0.0551,0.0492,0.0524,1567728000,41553176.98
191,0.0514,0.0524,0.0493,0.0495,1567814400,27641214.04
192,0.0536,0.0543,0.0508,0.0514,1567900800,25337230.79
193,0.0523,0.0551,0.0507,0.0535,1567987200,41348688.05
194,0.0523,0.054,0.0515,0.0523,1568073600,31591098.05
195,0.0572,0.0578,0.051,0.0522,1568160000,45341635.75
196,0.0532,0.0572,0.0526,0.0571,1568246400,34448610.44
197,0.0565,0.0567,0.0523,0.0533,1568332800,27729686.96
198,0.0554,0.0567,0.0543,0.0565,1568419200,20658962.85
199,0.0599,0.0603,0.0552,0.0554,1568505600,31735041.77
200,0.0582,0.0599,0.0563,0.0598,1568592000,32392501.15
201,0.0598,0.06,0.0566,0.0582,1568678400,23088446.37
202,0.0621,0.063,0.0583,0.0597,1568764800,32568075.21
203,0.0585,0.0622,0.0563,0.062,1568851200,31221464.7
204,0.057,0.0586,0.0556,0.0585,1568937600,33480660.45
205,0.0574,0.0595,0.0565,0.057,1569024000,24736909.16
206,0.0532,0.0574,0.0518,0.0573,1569110400,28606091.21
207,0.0493,0.0532,0.0482,0.0532,1569196800,28124444.4
208,0.0374,0.0517,0.0345,0.0493,1569283200,44057566.22
209,0.038,0.04,0.0347,0.0375,1569369600,41572634.08
210,0.0336,0.0394,0.0314,0.038,1569456000,58369342.52
211,0.0345,0.0349,0.0321,0.0336,1569542400,25513647.5
212,0.0345,0.0351,0.0327,0.0345,1569628800,24882317.14
213,0.0351,0.0361,0.0335,0.0345,1569715200,28322681.17
214,0.0342,0.0352,0.0322,0.0351,1569801600,29408336.68
215,0.0343,0.036,0.0332,0.0342,1569888000,18030774.57
216,0.0347,0.0352,0.0337,0.0343,1569974400,22830546.93
217,0.0347,0.0358,0.0335,0.0348,1570060800,29549308.29
218,0.0349,0.0354,0.0337,0.0347,1570147200,18408046.26
219,0.0354,0.0366,0.0344,0.0349,1570233600,18228187.58
220,0.0376,0.0382,0.0342,0.0355,1570320000,27150416.67
221,0.0398,0.0404,0.0368,0.0377,1570406400,45483101.67
222,0.0427,0.05,0.0398,0.0398,1570492800,57170458.14
223,0.0417,0.0448,0.0405,0.0427,1570579200,45798485.17
224,0.0439,0.0446,0.0394,0.0417,1570665600,31041586.67
225,0.0443,0.0472,0.0418,0.0439,1570752000,54719970.95
226,0.0455,0.046,0.0431,0.0444,1570838400,54669743.52
227,0.0428,0.0454,0.0417,0.0454,1570924800,43762596.16
228,0.0459,0.0533,0.0425,0.0428,1571011200,76064615.17
229,0.0437,0.0477,0.043,0.0459,1571097600,39372004.77
230,0.04,0.0443,0.038,0.0437,1571184000,28341961.58
231,0.0408,0.0422,0.0397,0.0399,1571270400,30607103.35
232,0.0395,0.0419,0.0383,0.0408,1571356800,52186828.62
233,0.0403,0.0407,0.039,0.0393,1571443200,59604192.08
234,0.04,0.0405,0.0383,0.0403,1571529600,81497207.42
235,0.0405,0.04154,0.0391,0.0399,1571616000,55078222.99
236,0.04073,0.0412,0.04003,0.0405,1571702400,55652464.9
237,0.03595,0.04095,0.03489,0.04071,1571788800,70658306.22
238,0.03622,0.03695,0.03524,0.03598,1571875200,78775745.9
239,0.0383,0.03967,0.03553,0.03632,1571961600,76764122.97
240,0.0386,0.03989,0.0372,0.03828,1572048000,48761236.0
241,0.03999,0.0409,0.03701,0.03863,1572134400,25397880.0
242,0.03953,0.0427,0.0394,0.03999,1572220800,20538267.04
243,0.0411,0.04212,0.0389,0.0395,1572307200,41279626.9
244,0.03908,0.0412,0.03844,0.04109,1572393600,46363110.5
245,0.03776,0.03943,0.03702,0.03904,1572480000,25661774.3
246,0.03876,0.03882,0.03713,0.03776,1572566400,36120845.9
247,0.03871,0.03966,0.03821,0.03878,1572652800,47812126.5
248,0.04025,0.04047,0.03843,0.03869,1572739200,41932593.0
249,0.04229,0.043,0.03993,0.0403,1572825600,68852785.3
250,0.04267,0.04298,0.04,0.04221,1572912000,72453257.2
251,0.04246,0.04452,0.042,0.04277,1572998400,67881746.91
252,0.04174,0.0427,0.04,0.04245,1573084800,72628699.3
253,0.03901,0.04196,0.038,0.04174,1573171200,68353722.7
254,0.03998,0.04006,0.0387,0.03901,1573257600,65257215.5
255,0.04049,0.0408,0.03956,0.04003,1573344000,43405097.1
256,0.04073,0.041,0.03844,0.04041,1573430400,54213734.9
257,0.04034,0.04152,0.03916,0.04072,1573516800,67130085.8
258,0.04198,0.04267,0.04009,0.04046,1573603200,78673319.9
259,0.04378,0.0439,0.0408,0.04199,1573689600,86108529.1
260,0.04623,0.04879,0.0428,0.04372,1573776000,167667920.12
261,0.04935,0.051,0.0462,0.04625,1573862400,184800665.5
262,0.04569,0.04946,0.0447,0.04938,1573948800,141100047.7
263,0.04257,0.04671,0.0421,0.04568,1574035200,133538004.1
264,0.04286,0.04344,0.04002,0.04249,1574121600,127769998.3
265,0.04031,0.04441,0.04016,0.04286,1574208000,29670614.6
266,0.03937,0.0425,0.03612,0.0403,1574294400,98621241.5
267,0.03461,0.03999,0.03217,0.03937,1574380800,148974377.73
268,0.03913,0.03945,0.03382,0.03456,1574467200,128717242.5
269,0.03709,0.04011,0.03517,0.03913,1574553600,133481548.1
270,0.04635,0.04766,0.0347,0.03705,1574640000,186877296.7
271,0.04927,0.0519,0.04335,0.04635,1574726400,142576426.7
272,0.05594,0.057,0.0425,0.04923,1574812800,165386961.39
273,0.05357,0.06135,0.05252,0.05591,1574899200,154090180.23
274,0.05511,0.0579,0.0517,0.05346,1574985600,104542230.5
275,0.06061,0.06251,0.05453,0.05536,1575072000,96199582.77
276,0.056,0.06078,0.05206,0.06064,1575158400,73344990.8
277,0.06326,0.06377,0.055,0.05601,1575244800,57432915.06
278,0.06202,0.065,0.0592,0.06325,1575331200,98917702.95
279,0.05599,0.06219,0.05555,0.06194,1575417600,108364784.3
280,0.05177,0.05609,0.05045,0.05593,1575504000,105615006.3
281,0.0571,0.0586,0.05061,0.05177,1575590400,51304907.8
282,0.06898,0.07049,0.05609,0.05702,1575676800,89589793.14
283,0.06571,0.07191,0.064,0.06887,1575763200,87203553.7
284,0.06441,0.06989,0.06241,0.06586,1575849600,47175821.1
285,0.04942,0.06443,0.04673,0.06434,1575936000,72351356.7
286,0.05377,0.05786,0.04903,0.04942,1576022400,123837031.0
287,0.05188,0.05421,0.04945,0.05378,1576108800,96673017.8
288,0.05118,0.0544,0.05012,0.052,1576195200,65516957.0
289,0.04585,0.05323,0.0448,0.05117,1576281600,46289763.9
290,0.04795,0.04798,0.04401,0.04586,1576368000,20871255.7
291,0.05071,0.05373,0.04586,0.04795,1576454400,134323975.2
292,0.05052,0.0555,0.04805,0.05074,1576540800,223631214.0
293,0.04886,0.05245,0.04252,0.05035,1576627200,206705175.9
294,0.05169,0.05229,0.0461,0.0489,1576713600,151625125.2
295,0.05374,0.05596,0.05,0.05169,1576800000,104546837.7
296,0.05012,0.05506,0.0495,0.05374,1576886400,62627249.7
297,0.04996,0.0522,0.04905,0.05014,1576972800,67138620.5
298,0.04919,0.05148,0.04818,0.05,1577059200,32460529.1
299,0.04847,0.04992,0.0476,0.04902,1577145600,32274160.9
300,0.04577,0.04888,0.04471,0.04848,1577232000,52451273.3
301,0.04496,0.04688,0.04414,0.04577,1577318400,36425623.2
302,0.04425,0.04556,0.04303,0.04498,1577404800,13773783.6
303,0.0453,0.04666,0.04359,0.0442,1577491200,12681162.3
304,0.04297,0.0463,0.0419,0.0453,1577577600,13249200.2
305,0.0406,0.04345,0.04,0.04295,1577664000,30810470.1
306,0.0371,0.04079,0.037,0.04045,1577750400,21568850.8
307,0.03832,0.03967,0.03708,0.03723,1577836800,20204234.8
308,0.03642,0.03918,0.036,0.03852,1577923200,30680298.8
309,0.03906,0.0396,0.03556,0.03645,1578009600,27496334.2
310,0.04027,0.04248,0.039,0.03919,1578096000,33250936.0
311,0.03847,0.04095,0.0381,0.04027,1578182400,23547132.8
312,0.03949,0.04025,0.03831,0.03844,1578268800,34933787.7
313,0.0372,0.03957,0.03713,0.03951,1578355200,37420845.9
314,0.03686,0.03795,0.03594,0.03736,1578441600,35717356.5
315,0.0374,0.03874,0.03648,0.03686,1578528000,33356944.3
316,0.03619,0.0375,0.03588,0.03749,1578614400,14366760.4
317,0.03779,0.03961,0.03605,0.0361,1578700800,55569199.6
318,0.03987,0.03987,0.03744,0.03774,1578787200,63155272.3
319,0.04063,0.04198,0.03852,0.0398,1578873600,31765690.2
320,0.03899,0.0407,0.03829,0.0407,1578960000,47659813.1
321,0.04001,0.04095,0.0388,0.03899,1579046400,31846389.9
322,0.03962,0.0404,0.03882,0.04005,1579132800,33754861.6
323,0.0422,0.04289,0.03911,0.03975,1579219200,47293870.5
324,0.04109,0.04232,0.04062,0.0422,1579305600,36008780.0
325,0.03771,0.04115,0.0362,0.04115,1579392000,37177795.9
326,0.03734,0.03803,0.0364,0.03771,1579478400,36097815.0
327,0.03802,0.039,0.03713,0.0374,1579564800,35310804.2
328,0.03952,0.03989,0.03772,0.03798,1579651200,35758005.1
329,0.03775,0.03976,0.03709,0.03953,1579737600,32755381.6
330,0.03893,0.03929,0.0368,0.03777,1579824000,35827414.9
331,0.03989,0.0409,0.03803,0.03893,1579910400,39111811.7
332,0.03889,0.04053,0.0385,0.03985,1579996800,34305760.4
333,0.03892,0.03955,0.03875,0.03901,1580083200,35556384.2
334,0.03767,0.03966,0.0372,0.03892,1580169600,38248559.1
335,0.03698,0.03795,0.0369,0.0377,1580256000,35117278.1
336,0.0383,0.0391,0.03621,0.03698,1580342400,37129415.2
337,0.0389,0.03898,0.03751,0.03837,1580428800,35769624.9
338,0.03862,0.03945,0.0379,0.0389,1580515200,34464424.5
339,0.0394,0.04029,0.03785,0.0386,1580601600,36092415.0
340,0.04111,0.04112,0.03903,0.03939,1580688000,36619792.6
341,0.04117,0.04272,0.03942,0.0411,1580774400,45756578.8
342,0.04095,0.04178,0.04004,0.04119,1580860800,51881282.8
343,0.04684,0.04749,0.04052,0.04098,1580947200,70005396.8
344,0.04669,0.04944,0.04558,0.04697,1581033600,52065289.9
345,0.04483,0.0471,0.043,0.04663,1581120000,36961901.1
