,c,h,l,o,t,v
0,0.02797,0.038,0.026,0.0315,1561939200,14645034.9
1,0.02615,0.02862,0.02469,0.02797,1562025600,9453040.0
2,0.02597,0.02875,0.02549,0.02612,1562112000,5951143.0
3,0.02417,0.02623,0.02403,0.0259,1562198400,5080951.3
4,0.02446,0.0272,0.0235,0.02456,1562284800,6012946.2
5,0.02457,0.025,0.02387,0.02447,1562371200,3143111.8
6,0.0255,0.027,0.02427,0.02434,1562457600,3753741.2
7,0.0287,0.0308,0.02537,0.0255,1562544000,15877395.7
8,0.02567,0.02917,0.02463,0.02871,1562630400,8842982.2
9,0.02274,0.02612,0.022,0.02577,1562716800,7566109.7
10,0.02015,0.02285,0.01995,0.02274,1562803200,2643467.5
11,0.02182,0.024,0.0198,0.02,1562889600,6722674.7
12,0.02147,0.023,0.02033,0.02181,1562976000,3958335.9
13,0.01925,0.02178,0.01873,0.02158,1563062400,2308221.6
14,0.0194,0.01951,0.01701,0.01884,1563148800,4553658.2
15,0.01563,0.0196,0.01499,0.01939,1563235200,5151487.8
16,0.01663,0.01848,0.01468,0.01565,1563321600,6341280.8
17,0.01791,0.01866,0.01594,0.01666,1563408000,10547741.7
18,0.0191,0.01998,0.0175,0.01786,1563494400,8371290.6
19,0.0195,0.02034,0.01881,0.01909,1563580800,5574874.8
20,0.01944,0.0201,0.0188,0.0195,1563667200,2263058.3
21,0.01961,0.0206,0.01888,0.0194,1563753600,2723518.6
22,0.02,0.022,0.01886,0.01962,1563840000,6747303.1
23,0.01949,0.0201,0.01847,0.01994,1563926400,5141504.2
24,0.01922,0.02038,0.01915,0.01955,1564012800,3529077.9
25,0.01924,0.01962,0.019,0.01916,1564099200,1507742.0
26,0.01793,0.01958,0.01755,0.01921,1564185600,2684836.8
27,0.01777,0.01838,0.017,0.01812,1564272000,1456230.3
28,0.01733,0.01837,0.01718,0.01769,1564358400,1948541.7
29,0.01728,0.01746,0.01647,0.01733,1564444800,2306202.4
