,c,h,l,o,t,v
0,0.223,0.2297,0.2017,0.21,1549584000,16895004.55
1,0.2216,0.2243,0.2154,0.2232,1549670400,6628523.37
2,0.2222,0.2339,0.2123,0.2215,1549756800,7250523.69
3,0.2297,0.233,0.2153,0.2226,1549843200,6198118.21
4,0.2268,0.2333,0.2225,0.2292,1549929600,8995760.02
5,0.2197,0.2325,0.2157,0.2269,1550016000,5870377.93
6,0.2167,0.2215,0.2131,0.2198,1550102400,2880742.37
7,0.2225,0.2295,0.2153,0.2169,1550188800,4115283.88
8,0.2232,0.2272,0.2168,0.222,1550275200,3035565.78
9,0.2331,0.2397,0.2223,0.2238,1550361600,5508185.85
10,0.243,0.246,0.2275,0.2334,1550448000,9779569.54
11,0.2383,0.2468,0.2309,0.2429,1550534400,14064209.31
12,0.2424,0.245,0.232,0.238,1550620800,9666269.21
13,0.2426,0.254,0.2388,0.2422,1550707200,10013361.24
14,0.2511,0.2526,0.241,0.2432,1550793600,6320801.1
15,0.2766,0.277,0.2463,0.2513,1550880000,15462177.04
16,0.2324,0.29,0.2307,0.2762,1550966400,23799463.59
17,0.2483,0.251,0.2323,0.2323,1551052800,10617448.06
18,0.2671,0.29,0.245,0.2483,1551139200,30931590.07
19,0.2731,0.28,0.2569,0.2672,1551225600,18006208.59
20,0.288,0.304,0.2683,0.2728,1551312000,25261892.17
21,0.2909,0.315,0.2864,0.287,1551398400,24003545.41
22,0.2799,0.292,0.2751,0.2912,1551484800,12845678.65
23,0.2801,0.2959,0.2768,0.2799,1551571200,10423399.64
24,0.2678,0.2814,0.2569,0.2792,1551657600,12579187.57
25,0.2855,0.2938,0.26,0.2677,1551744000,12782687.19
26,0.2815,0.2879,0.2762,0.2853,1551830400,8600164.3
27,0.321,0.338,0.2789,0.2815,1551916800,29704569.04
28,0.3208,0.349,0.3048,0.3209,1552003200,30454688.78
29,0.38,0.3821,0.3137,0.3208,1552089600,31654591.56
30,0.354,0.3887,0.3372,0.3803,1552176000,21479552.39
31,0.3267,0.3574,0.314,0.3541,1552262400,14379467.94
32,0.3416,0.36,0.311,0.3264,1552348800,11721830.47
33,0.3297,0.3548,0.3235,0.342,1552435200,9971059.07
34,0.3296,0.335,0.314,0.3299,1552521600,8320170.32
35,0.3393,0.3481,0.3241,0.3301,1552608000,7150387.8
36,0.3395,0.3449,0.3291,0.3392,1552694400,7372958.68
37,0.3314,0.3398,0.3202,0.3396,1552780800,5849820.69
38,0.3271,0.34,0.3203,0.3314,1552867200,6935444.12
39,0.3443,0.3499,0.3254,0.3271,1552953600,12277545.37
40,0.3361,0.3452,0.3281,0.3444,1553040000,9392057.04
41,0.3159,0.342,0.2913,0.3359,1553126400,16519922.47
42,0.3188,0.3262,0.313,0.3161,1553212800,7706604.21
43,0.3249,0.3273,0.316,0.319,1553299200,7422833.22
44,0.3382,0.3539,0.3171,0.3248,1553385600,15092016.34
45,0.3173,0.3573,0.3001,0.3383,1553472000,23295062.21
46,0.3109,0.3206,0.3013,0.3171,1553558400,11530835.89
47,0.3285,0.3322,0.3099,0.3109,1553644800,11844506.49
48,0.3247,0.329,0.3166,0.3287,1553731200,6157863.15
49,0.3337,0.3353,0.3223,0.3246,1553817600,7102039.48
50,0.3381,0.3466,0.3278,0.3339,1553904000,10183802.7
51,0.3537,0.3544,0.3309,0.3379,1553990400,6650452.29
52,0.3524,0.3667,0.3401,0.3539,1554076800,12872434.77
53,0.3872,0.3925,0.3504,0.3523,1554163200,20296242.88
54,0.4006,0.4424,0.37,0.3862,1554249600,32993731.13
55,0.4014,0.4365,0.3831,0.4021,1554336000,19081660.25
56,0.432,0.4336,0.4,0.4014,1554422400,13298306.01
57,0.4425,0.459,0.4171,0.4321,1554508800,20723264.07
58,0.4379,0.4658,0.4291,0.4424,1554595200,12782928.65
59,0.4241,0.4435,0.405,0.4366,1554681600,12029189.03
60,0.4011,0.4258,0.39,0.4242,1554768000,9579173.64
61,0.3999,0.4171,0.3945,0.4013,1554854400,9592087.52
62,0.3711,0.4014,0.3387,0.4005,1554940800,15008114.31
63,0.373,0.3806,0.348,0.3711,1555027200,8445648.41
64,0.366,0.3813,0.3604,0.373,1555113600,4161651.32
65,0.3792,0.3799,0.3621,0.366,1555200000,5385313.82
66,0.3537,0.3849,0.346,0.379,1555286400,7498746.35
67,0.3649,0.366,0.3497,0.3526,1555372800,4879014.02
68,0.3605,0.3691,0.3525,0.3645,1555459200,3624999.27
69,0.3713,0.3788,0.3584,0.3605,1555545600,7341914.07
70,0.3658,0.3727,0.3589,0.3712,1555632000,4446229.18
71,0.3749,0.3854,0.3651,0.3651,1555718400,5986379.36
72,0.3571,0.3776,0.3421,0.3749,1555804800,5624462.0
73,0.4037,0.424,0.3543,0.357,1555891200,19550448.52
74,0.3766,0.4266,0.3763,0.404,1555977600,14327277.26
75,0.3867,0.388,0.345,0.3778,1556064000,9577332.48
76,0.3559,0.405,0.3475,0.3866,1556150400,11278128.54
77,0.3606,0.3724,0.3456,0.3559,1556236800,6369546.12
78,0.3624,0.368,0.3509,0.3605,1556323200,2131525.19
79,0.355,0.3652,0.352,0.3629,1556409600,1508084.12
80,0.3278,0.3577,0.3201,0.3556,1556496000,4823782.0
81,0.3403,0.3406,0.3145,0.3277,1556582400,4168380.43
82,0.333,0.3436,0.3259,0.3403,1556668800,2837595.02
83,0.3352,0.3431,0.3305,0.333,1556755200,2784888.94
84,0.3394,0.3473,0.3325,0.3357,1556841600,4861410.78
85,0.3342,0.3505,0.3252,0.3399,1556928000,4883190.91
86,0.3352,0.3445,0.3299,0.3342,1557014400,1954412.03
87,0.3358,0.3425,0.3173,0.3355,1557100800,3448475.59
88,0.3188,0.348,0.3182,0.336,1557187200,4132027.62
89,0.3143,0.3252,0.3074,0.3203,1557273600,2394325.71
90,0.2923,0.3201,0.2903,0.3156,1557360000,3813809.36
91,0.3206,0.3258,0.292,0.2924,1557446400,5086694.33
92,0.341,0.3646,0.3124,0.3204,1557532800,9778229.92
93,0.3243,0.3536,0.3118,0.343,1557619200,8672312.69
94,0.3295,0.352,0.32,0.3237,1557705600,9119360.74
95,0.3594,0.3639,0.3243,0.3299,1557792000,13411783.2
96,0.3986,0.4024,0.3533,0.3596,1557878400,8921274.4
97,0.3897,0.4308,0.364,0.3984,1557964800,17876887.24
98,0.3735,0.3913,0.333,0.3896,1558051200,12782060.92
99,0.371,0.3914,0.3615,0.3735,1558137600,9050353.74
100,0.3822,0.3919,0.3695,0.3709,1558224000,12823428.87
101,0.369,0.3817,0.3547,0.3817,1558310400,9635703.85
102,0.4016,0.4315,0.3668,0.3689,1558396800,15945878.18
103,0.3745,0.4173,0.366,0.4011,1558483200,11080887.75
104,0.3815,0.3898,0.3493,0.3741,1558569600,10303330.56
105,0.386,0.396,0.3744,0.383,1558656000,6380646.55
106,0.3766,0.3875,0.3702,0.3858,1558742400,3231375.44
107,0.3786,0.3828,0.3606,0.3766,1558828800,4944458.3
108,0.392,0.4092,0.3775,0.3786,1558915200,8638498.07
109,0.3999,0.4075,0.3745,0.3922,1559001600,9075647.77
110,0.4081,0.4229,0.3777,0.4012,1559088000,12758971.14
111,0.3868,0.4472,0.37,0.4074,1559174400,23274539.11
112,0.3987,0.4,0.365,0.3875,1559260800,13052894.5
113,0.3872,0.402,0.379,0.3987,1559347200,9288771.78
114,0.4301,0.4579,0.3842,0.3869,1559433600,21765149.67
115,0.3862,0.4318,0.385,0.4302,1559520000,18323337.39
116,0.3607,0.3921,0.3465,0.3866,1559606400,16503061.16
117,0.3594,0.374,0.3504,0.3608,1559692800,9505747.68
118,0.3659,0.3712,0.3461,0.3584,1559779200,7104440.6
119,0.3791,0.3882,0.3627,0.3663,1559865600,5621673.69
120,0.376,0.3894,0.3677,0.3784,1559952000,4198812.32
121,0.353,0.377,0.3436,0.3759,1560038400,4981216.75
122,0.3788,0.3792,0.3459,0.3527,1560124800,6441664.45
123,0.377,0.382,0.358,0.3788,1560211200,4585176.76
124,0.3964,0.4068,0.3764,0.3771,1560297600,7227215.59
125,0.3832,0.3975,0.3801,0.3963,1560384000,7166008.51
126,0.3703,0.389,0.3551,0.3832,1560470400,9506224.61
127,0.3716,0.3797,0.3618,0.3703,1560556800,5345453.2
128,0.3662,0.3826,0.3612,0.3741,1560643200,6227148.11
129,0.3617,0.3737,0.3571,0.3665,1560729600,6395787.4
130,0.3567,0.3632,0.3485,0.3617,1560816000,4979129.8
131,0.3563,0.3675,0.354,0.3572,1560902400,4881105.89
132,0.3391,0.3617,0.3355,0.3575,1560988800,4589308.76
133,0.3306,0.3486,0.3263,0.3396,1561075200,7488828.9
134,0.3481,0.357,0.323,0.3302,1561161600,13549129.57
135,0.3379,0.3587,0.3334,0.348,1561248000,8070619.9
136,0.3425,0.3492,0.3283,0.3383,1561334400,3950259.33
137,0.3344,0.3536,0.3285,0.3425,1561420800,7999330.6
