,c,h,l,o,t,v
0,0.279,0.2847,0.2489,0.254,1549584000,10597161.75
1,0.2764,0.285,0.2711,0.279,1549670400,3669354.42
2,0.2818,0.2903,0.2715,0.2764,1549756800,5396837.74
3,0.2683,0.282,0.2653,0.2817,1549843200,4989829.86
4,0.273,0.2776,0.2624,0.2679,1549929600,3063034.35
5,0.2702,0.2765,0.2658,0.2733,1550016000,2488684.76
6,0.2659,0.271,0.2611,0.2696,1550102400,2131442.41
7,0.2709,0.28,0.2645,0.2663,1550188800,2236839.34
8,0.2742,0.2769,0.2692,0.271,1550275200,1951688.79
9,0.278,0.2864,0.2713,0.2737,1550361600,3257702.5
10,0.3045,0.3084,0.2733,0.2786,1550448000,8836183.63
11,0.3056,0.3172,0.294,0.3045,1550534400,8048244.34
12,0.3163,0.3174,0.3,0.3056,1550620800,4784521.08
13,0.2999,0.317,0.2966,0.3163,1550707200,4250565.95
14,0.3069,0.309,0.2999,0.3001,1550793600,3069855.31
15,0.3207,0.324,0.2987,0.3069,1550880000,5135119.06
16,0.2781,0.329,0.2739,0.3203,1550966400,9117151.92
17,0.2844,0.2891,0.2732,0.2781,1551052800,4706708.73
18,0.2816,0.2879,0.2793,0.2844,1551139200,3158534.55
19,0.2848,0.2869,0.2745,0.2815,1551225600,2594977.03
20,0.2833,0.2871,0.2786,0.2848,1551312000,2379091.5
21,0.2927,0.3,0.2832,0.2832,1551398400,4040792.69
22,0.2911,0.2944,0.2824,0.2931,1551484800,3146499.51
23,0.2838,0.2952,0.28,0.2913,1551571200,2441622.6
24,0.2712,0.2843,0.2635,0.2836,1551657600,4979666.57
25,0.2804,0.2853,0.2685,0.2712,1551744000,5532950.59
26,0.2796,0.2824,0.26,0.2806,1551830400,6663158.37
27,0.2782,0.2827,0.2595,0.2796,1551916800,5713581.51
28,0.2755,0.2824,0.2681,0.2782,1552003200,3925810.74
29,0.282,0.2912,0.2735,0.2753,1552089600,4055967.83
30,0.2813,0.2839,0.2758,0.2819,1552176000,2530683.16
31,0.2776,0.2865,0.2701,0.2811,1552262400,3045588.19
32,0.2827,0.2862,0.2743,0.2773,1552348800,2964069.73
33,0.2838,0.29,0.2778,0.2829,1552435200,4440248.92
34,0.297,0.3015,0.2769,0.2837,1552521600,11230472.06
35,0.2991,0.3035,0.2947,0.2971,1552608000,4979599.34
36,0.3046,0.3112,0.2979,0.299,1552694400,5999567.83
37,0.2954,0.3048,0.2926,0.3047,1552780800,5236815.58
38,0.2943,0.3005,0.2872,0.2951,1552867200,3286292.77
39,0.2955,0.2985,0.2917,0.2939,1552953600,2807990.33
40,0.2985,0.3037,0.288,0.2962,1553040000,5023192.0
41,0.3213,0.3225,0.2795,0.2985,1553126400,12088788.88
42,0.3107,0.3227,0.306,0.3215,1553212800,11746398.65
43,0.3124,0.3219,0.3085,0.3105,1553299200,6431481.89
44,0.3073,0.3127,0.3041,0.3123,1553385600,3790246.96
45,0.2972,0.3073,0.2913,0.307,1553472000,6103242.28
46,0.2944,0.2986,0.2864,0.2974,1553558400,3394461.78
47,0.3057,0.3068,0.294,0.2947,1553644800,4197222.01
48,0.3035,0.308,0.2988,0.3056,1553731200,2633835.98
49,0.3089,0.3114,0.302,0.3036,1553817600,2872184.67
50,0.3072,0.3135,0.3004,0.3085,1553904000,2355544.26
51,0.3063,0.3103,0.3008,0.3073,1553990400,2992628.95
52,0.321,0.325,0.3026,0.3063,1554076800,6334247.92
53,0.3501,0.357,0.3204,0.3212,1554163200,15639021.87
54,0.3359,0.3782,0.317,0.3501,1554249600,27943978.59
55,0.331,0.35,0.3215,0.3359,1554336000,9626685.97
56,0.351,0.3524,0.331,0.3314,1554422400,5956609.97
57,0.345,0.3547,0.3356,0.3508,1554508800,6216515.35
58,0.3579,0.3675,0.3428,0.3448,1554595200,7663411.04
59,0.3538,0.3616,0.3338,0.358,1554681600,11729697.77
60,0.3455,0.354,0.3378,0.354,1554768000,3933347.59
61,0.348,0.3631,0.34,0.3455,1554854400,5496534.17
62,0.3256,0.3496,0.312,0.3482,1554940800,7132757.97
63,0.3204,0.3265,0.3133,0.3249,1555027200,2598595.37
64,0.3185,0.3282,0.3159,0.3204,1555113600,2078305.43
