,c,h,l,o,t,v
0,0.4383,0.45,0.3985,0.4021,1549584000,2015969.58
1,0.4612,0.4844,0.431,0.4371,1549670400,1384815.95
2,0.4499,0.48,0.4325,0.4648,1549756800,2000850.55
3,0.4289,0.4515,0.42,0.4495,1549843200,1580197.39
4,0.4277,0.4374,0.4176,0.4277,1549929600,941303.58
5,0.4411,0.4454,0.4183,0.4277,1550016000,935377.38
6,0.4259,0.4442,0.4203,0.4422,1550102400,942053.44
7,0.4342,0.45,0.4222,0.4235,1550188800,612251.8
8,0.4398,0.4464,0.4251,0.4366,1550275200,465491.58
9,0.4604,0.4797,0.4317,0.4386,1550361600,1616509.72
10,0.471,0.4823,0.4534,0.4615,1550448000,1430254.78
11,0.4598,0.4789,0.452,0.471,1550534400,1548002.44
12,0.4618,0.4748,0.4432,0.4548,1550620800,1358786.28
13,0.4438,0.475,0.438,0.4617,1550707200,1443214.98
14,0.4479,0.465,0.44,0.4438,1550793600,700523.77
15,0.4585,0.464,0.4437,0.448,1550880000,925529.64
16,0.405,0.4644,0.3975,0.4592,1550966400,2154193.25
17,0.4723,0.4749,0.4007,0.4047,1551052800,1785356.21
18,0.4341,0.474,0.43,0.4722,1551139200,1775526.67
19,0.4274,0.4412,0.4145,0.4335,1551225600,854212.45
20,0.4244,0.45,0.4166,0.4274,1551312000,1059968.13
21,0.4285,0.4386,0.4203,0.4236,1551398400,560690.81
22,0.4221,0.4372,0.4173,0.4286,1551484800,331570.0
23,0.4205,0.4292,0.4177,0.4232,1551571200,225429.95
24,0.4036,0.4255,0.3929,0.4203,1551657600,946382.19
25,0.4291,0.4343,0.4023,0.4029,1551744000,1686179.9
26,0.4296,0.4385,0.4186,0.4291,1551830400,716328.15
27,0.4521,0.4766,0.4256,0.4296,1551916800,1498764.03
28,0.4611,0.5107,0.4519,0.4521,1552003200,3248280.83
29,0.4746,0.4824,0.4524,0.4611,1552089600,1381686.43
30,0.4981,0.546,0.4681,0.4742,1552176000,2887991.86
31,0.4629,0.5181,0.4382,0.4982,1552262400,2633054.21
32,0.4876,0.5079,0.4503,0.4641,1552348800,2105182.67
33,0.4805,0.488,0.4671,0.4872,1552435200,1263356.68
34,0.4871,0.4994,0.4722,0.4814,1552521600,1720792.4
35,0.4858,0.496,0.4831,0.4858,1552608000,577893.06
36,0.4819,0.496,0.4681,0.4866,1552694400,1768514.51
37,0.4785,0.4887,0.4702,0.4805,1552780800,1352126.73
38,0.4757,0.4833,0.467,0.4789,1552867200,891826.09
39,0.477,0.48,0.4648,0.476,1552953600,530734.59
40,0.4807,0.4899,0.4737,0.4796,1553040000,696146.28
41,0.4548,0.4842,0.4342,0.4818,1553126400,1043991.8
