,c,h,l,o,t,v
0,42.99,44.85,32.75,33.23,1549584000,1237384.07012
1,44.68,46.95,42.05,42.99,1549670400,993529.35851
2,46.79,47.59,42.0,44.68,1549756800,667594.46229
3,42.9,46.87,41.81,46.8,1549843200,570398.48991
4,43.89,44.57,41.84,42.88,1549929600,326731.55801
5,41.61,44.66,40.64,43.89,1550016000,333914.84326
6,41.26,42.45,40.31,41.61,1550102400,285144.93739
7,42.58,44.6,41.06,41.26,1550188800,389950.95213
8,43.34,44.37,42.28,42.6,1550275200,326691.70793
9,43.91,45.13,42.6,43.34,1550361600,331698.79603
10,47.84,49.03,43.62,43.89,1550448000,744029.87121
11,47.14,49.1,46.56,47.81,1550534400,404786.75784
12,51.5,52.21,46.25,47.16,1550620800,566874.12073
13,48.94,51.65,47.35,51.47,1550707200,383781.90032
14,49.19,49.97,48.08,48.93,1550793600,265979.43489
15,51.4,51.88,48.0,49.22,1550880000,411115.3383
16,43.75,53.53,42.37,51.39,1550966400,685277.01608
17,45.4,46.85,43.0,43.74,1551052800,377273.17275
18,44.76,45.89,44.06,45.4,1551139200,220101.55494
19,45.16,45.53,42.51,44.77,1551225600,223940.94505
20,45.61,46.7,44.44,45.15,1551312000,258562.96779
21,47.05,48.95,45.53,45.62,1551398400,336011.92294
22,48.49,49.4,46.38,47.02,1551484800,325733.94735
23,47.86,49.1,47.18,48.51,1551571200,218511.99396
24,45.78,48.22,44.57,47.87,1551657600,306985.27977
25,52.52,54.25,45.38,45.78,1551744000,798938.10368
26,55.37,56.81,51.11,52.52,1551830400,670227.49403
27,56.73,59.12,53.77,55.37,1551916800,816612.77049
28,55.61,57.6,54.3,56.73,1552003200,440480.65904
29,57.78,59.83,55.38,55.58,1552089600,413625.10436
30,56.59,58.04,55.84,57.78,1552176000,198932.23727
31,54.82,57.37,54.0,56.63,1552262400,319640.84363
32,56.58,56.96,53.72,54.82,1552348800,186798.97334
33,55.29,56.84,54.3,56.6,1552435200,234206.35923
34,55.94,58.2,51.66,55.29,1552521600,333686.39631
35,58.52,59.15,55.94,55.94,1552608000,295307.77677
36,61.21,61.97,58.41,58.52,1552694400,375314.79266
37,60.47,61.32,59.57,61.22,1552780800,174833.31913
38,59.17,62.63,58.2,60.47,1552867200,301146.21398
39,59.52,59.96,58.33,59.2,1552953600,221995.59833
40,60.27,60.74,56.64,59.5,1553040000,285413.7934
41,58.54,60.64,56.98,60.29,1553126400,164946.60535
42,59.26,59.6,58.0,58.54,1553212800,184427.33587
43,60.89,61.76,58.93,59.23,1553299200,372961.54781
44,59.82,60.9,58.84,60.88,1553385600,360926.15706
45,59.04,60.7,58.2,59.81,1553472000,216703.66968
46,58.79,59.35,57.23,59.06,1553558400,175752.00925
47,61.44,61.87,58.58,58.81,1553644800,260971.73061
48,60.5,61.43,60.15,61.43,1553731200,160785.54618
49,61.45,61.8,60.15,60.48,1553817600,200422.34535
