,c,h,l,o,t,v
0,0.06372,0.102,0.06317,0.085,1555632000,14277920.8
1,0.06385,0.069,0.06018,0.06371,1555718400,20937675.5
2,0.05582,0.06386,0.051,0.06386,1555804800,21355483.3
3,0.0559,0.06101,0.05339,0.0562,1555891200,17109820.5
4,0.05245,0.0608,0.0524,0.0558,1555977600,14122805.4
5,0.05477,0.0574,0.04628,0.0524,1556064000,26927590.5
6,0.05161,0.0599,0.05029,0.05477,1556150400,31119027.4
7,0.04814,0.05147,0.04575,0.05123,1556236800,14802298.6
8,0.04779,0.049,0.04658,0.04815,1556323200,4170757.1
9,0.04575,0.04918,0.04472,0.0478,1556409600,6141729.1
10,0.04157,0.04599,0.0408,0.04557,1556496000,7531987.6
11,0.04275,0.0433,0.03935,0.0416,1556582400,5622804.5
12,0.0425,0.04488,0.04084,0.04275,1556668800,7730694.7
13,0.0446,0.04483,0.0413,0.04223,1556755200,4785524.3
14,0.04199,0.04465,0.04054,0.04459,1556841600,9776325.6
15,0.03932,0.04249,0.03821,0.04199,1556928000,5564086.4
16,0.038,0.03954,0.0377,0.03928,1557014400,3412400.9
17,0.03765,0.0393,0.036,0.0384,1557100800,5708821.3
18,0.03543,0.0389,0.03516,0.03751,1557187200,6154064.1
19,0.03446,0.03672,0.03338,0.03516,1557273600,5615556.6
20,0.03388,0.03854,0.0325,0.03431,1557360000,12541337.9
21,0.03414,0.03618,0.03338,0.03388,1557446400,8255268.4
22,0.03559,0.03751,0.03428,0.03428,1557532800,15529618.1
23,0.03454,0.03674,0.03366,0.03583,1557619200,10720351.2
24,0.03577,0.03796,0.0342,0.03454,1557705600,10585892.9
25,0.03932,0.0414,0.0355,0.03577,1557792000,23995657.8
26,0.04447,0.04548,0.03903,0.03932,1557878400,12787495.8
27,0.04151,0.04999,0.03968,0.04445,1557964800,18526705.8
28,0.03895,0.04277,0.03501,0.04172,1558051200,15697629.2
29,0.04589,0.04992,0.03805,0.03935,1558137600,50349361.2
30,0.04674,0.05087,0.04344,0.04569,1558224000,58695031.9
31,0.05399,0.05776,0.0441,0.04674,1558310400,58405273.2
32,0.05112,0.05913,0.05058,0.05371,1558396800,52872924.9
33,0.0459,0.05233,0.04497,0.05112,1558483200,27403267.3
34,0.04651,0.0474,0.04404,0.04562,1558569600,17413767.0
35,0.04887,0.05517,0.04643,0.04661,1558656000,32276041.2
36,0.0504,0.05171,0.04794,0.04895,1558742400,13779823.3
37,0.05716,0.06184,0.04891,0.05031,1558828800,62803139.5
38,0.05407,0.05799,0.05175,0.057,1558915200,30711884.1
39,0.05256,0.05611,0.05134,0.05406,1559001600,17940244.8
40,0.05089,0.05342,0.04864,0.05256,1559088000,23180521.4
41,0.04579,0.05499,0.0438,0.05077,1559174400,35600848.8
42,0.04818,0.04842,0.04401,0.04577,1559260800,13608027.4
43,0.04551,0.04947,0.04455,0.04818,1559347200,13493637.2
44,0.04747,0.04808,0.04552,0.04564,1559433600,10024756.5
45,0.04204,0.04749,0.04172,0.04747,1559520000,10118089.2
46,0.04034,0.04226,0.0391,0.04189,1559606400,10715495.5
47,0.0424,0.04297,0.04042,0.0407,1559692800,8744556.8
48,0.04045,0.04356,0.03715,0.04236,1559779200,28201181.1
49,0.04229,0.044,0.04022,0.04067,1559865600,10802640.6
50,0.04214,0.04317,0.04119,0.04224,1559952000,8021070.7
51,0.04067,0.04444,0.04,0.04215,1560038400,12258427.5
52,0.05657,0.06641,0.03956,0.0404,1560124800,195370133.2
53,0.05322,0.06214,0.05075,0.05656,1560211200,110307847.2
54,0.06082,0.06467,0.04965,0.05318,1560297600,125972871.6
55,0.06327,0.07829,0.05932,0.06082,1560384000,145411137.9
56,0.06169,0.06343,0.05555,0.06328,1560470400,37555034.9
57,0.06199,0.06736,0.0577,0.06152,1560556800,33310368.1
58,0.0643,0.0688,0.05949,0.062,1560643200,48615328.9
59,0.06213,0.06483,0.0608,0.06465,1560729600,23702189.8
60,0.05797,0.06211,0.05589,0.06211,1560816000,23013611.5
