,c,h,l,o,t,v
0,7.54,7.858,6.841,6.929,1549584000,727844.839
1,7.662,7.76,7.443,7.55,1549670400,382188.839
2,7.967,8.14,7.461,7.663,1549756800,635857.454
3,8.128,8.35,7.65,7.975,1549843200,663261.337
4,8.189,8.44,7.841,8.123,1549929600,1076352.666
5,8.224,8.49,8.051,8.202,1550016000,627371.341
6,7.888,8.258,7.714,8.218,1550102400,632410.542
7,8.087,8.4,7.825,7.879,1550188800,521098.442
8,7.887,8.289,7.848,8.08,1550275200,520648.573
9,8.381,8.746,7.868,7.88,1550361600,1251296.842
10,8.777,8.898,8.175,8.38,1550448000,1300451.14
11,8.881,9.227,8.609,8.775,1550534400,1286063.549
12,9.107,9.179,8.725,8.879,1550620800,888693.996
13,8.585,9.153,8.457,9.11,1550707200,940158.633
14,8.678,8.793,8.543,8.586,1550793600,552683.186
15,10.14,10.3,8.5,8.68,1550880000,1875334.67
16,8.908,10.837,8.51,10.143,1550966400,3710382.965
17,9.204,9.443,8.767,8.918,1551052800,1656410.732
18,9.053,9.426,8.85,9.204,1551139200,823111.986
19,8.857,9.175,8.55,9.055,1551225600,797431.071
20,8.813,9.042,8.7,8.869,1551312000,663169.239
21,8.947,9.275,8.751,8.816,1551398400,518228.13
22,8.697,9.075,8.626,8.946,1551484800,432025.142
23,8.62,8.834,8.538,8.697,1551571200,294919.395
24,8.163,8.663,7.902,8.611,1551657600,689993.755
25,8.739,8.865,8.086,8.165,1551744000,675039.257
26,8.705,8.888,8.538,8.74,1551830400,453773.644
27,9.175,9.29,8.65,8.704,1551916800,692860.793
28,8.765,9.227,8.613,9.178,1552003200,720553.432
29,8.963,9.125,8.719,8.759,1552089600,532005.276
30,8.764,9.029,8.615,8.963,1552176000,384958.97
31,8.724,8.85,8.458,8.757,1552262400,411465.665
32,8.826,8.95,8.55,8.724,1552348800,334837.334
33,8.911,9.119,8.71,8.821,1552435200,633738.746
34,9.267,9.323,8.727,8.902,1552521600,806512.885
35,9.223,9.326,9.075,9.273,1552608000,495875.532
36,9.416,9.75,9.2,9.217,1552694400,691600.598
37,9.186,9.449,9.1,9.413,1552780800,539318.325
38,9.108,9.29,8.97,9.186,1552867200,570820.553
39,9.164,9.222,8.98,9.103,1552953600,425412.116
40,9.306,9.321,8.92,9.164,1553040000,485651.233
41,8.921,9.375,8.65,9.306,1553126400,499539.925
42,9.151,9.243,8.896,8.918,1553212800,290957.712
43,9.354,9.364,9.095,9.151,1553299200,344889.837
44,9.124,9.354,8.961,9.354,1553385600,385699.257
45,8.917,9.279,8.345,9.124,1553472000,595090.193
46,8.867,8.98,8.51,8.922,1553558400,331556.563
47,9.274,9.358,8.836,8.867,1553644800,528574.373
48,9.181,9.289,9.104,9.284,1553731200,223377.549
49,9.941,9.945,9.177,9.18,1553817600,628540.312
50,9.941,10.268,9.647,9.947,1553904000,893294.503
51,10.095,10.112,9.638,9.94,1553990400,397717.876
52,10.04,10.18,9.853,10.095,1554076800,426268.772
53,11.505,11.654,10.042,10.047,1554163200,1606275.138
54,12.123,13.839,11.2,11.501,1554249600,2392305.515
55,12.771,13.699,11.851,12.123,1554336000,1900468.168
56,13.467,13.678,12.634,12.776,1554422400,1044624.607
57,13.079,13.524,12.759,13.457,1554508800,740482.237
58,12.844,13.24,12.51,13.08,1554595200,607399.93
59,12.59,13.276,11.87,12.844,1554681600,856161.514
60,12.06,12.597,11.72,12.586,1554768000,612923.501
61,12.424,12.669,12.022,12.06,1554854400,480635.328
62,11.152,12.432,10.501,12.432,1554940800,909761.073
63,11.238,11.542,10.577,11.157,1555027200,527192.182
64,11.015,11.321,10.864,11.234,1555113600,273013.704
65,11.267,11.31,10.764,11.007,1555200000,386833.472
66,10.677,11.419,10.411,11.265,1555286400,526364.472
67,10.85,11.05,10.532,10.676,1555372800,393288.074
68,10.923,11.173,10.741,10.847,1555459200,376657.519
69,11.231,11.346,10.915,10.932,1555545600,400765.771
70,11.028,11.238,10.758,11.235,1555632000,269740.778
71,10.881,11.133,10.76,11.029,1555718400,240102.189
72,10.503,10.967,10.1,10.881,1555804800,434332.576
73,10.756,10.896,10.4,10.502,1555891200,377176.312
74,10.215,11.14,10.206,10.76,1555977600,600051.962
75,9.89,10.445,9.343,10.215,1556064000,836748.472
76,9.584,10.325,9.45,9.889,1556150400,548173.978
77,9.489,9.979,9.15,9.582,1556236800,623835.668
