,c,h,l,o,t,v
0,0.0004822,0.0005,0.0002,0.0005,1565654400,280312740
1,0.0004367,0.0004921,0.0004288,0.0004821,1565740800,245400173
2,0.0004229,0.0004446,0.0004,0.0004389,1565827200,208961898
3,0.0004198,0.0004276,0.0004,0.0004184,1565913600,354472954
4,0.0004151,0.00042,0.0004086,0.0004145,1566000000,143659141
5,0.000417,0.0004291,0.0004086,0.0004168,1566086400,313740465
6,0.0004371,0.0004373,0.000417,0.000417,1566172800,380565766
7,0.0004283,0.0004392,0.00042,0.0004372,1566259200,304002211
8,0.000415,0.0004315,0.0004007,0.0004315,1566345600,267182421
9,0.0004338,0.0004387,0.0004051,0.0004153,1566432000,412625814
10,0.0004404,0.0004488,0.0004271,0.0004337,1566518400,208488929
11,0.0004383,0.0004399,0.00042,0.0004399,1566604800,162038910
12,0.000431,0.0004399,0.0004215,0.0004382,1566691200,110511419
13,0.0004314,0.0004379,0.0004189,0.0004313,1566777600,174294974
14,0.0004175,0.0004315,0.0004142,0.0004313,1566864000,213708256
15,0.000394,0.0004214,0.0003844,0.0004199,1566950400,513461441
16,0.0003832,0.0003924,0.0003716,0.0003911,1567036800,186102927
17,0.0003933,0.000394,0.0003751,0.0003835,1567123200,189407536
18,0.0003898,0.0003973,0.0003844,0.0003928,1567209600,217572637
19,0.0003893,0.000399,0.0003808,0.0003898,1567296000,212253012
20,0.0003934,0.0003975,0.0003797,0.0003897,1567382400,308051953
21,0.000384,0.0003934,0.0003791,0.0003913,1567468800,313797423
22,0.0003771,0.0003853,0.0003663,0.0003833,1567555200,229574109
23,0.000364,0.000398,0.0003608,0.0003736,1567641600,490034955
24,0.0003506,0.0003685,0.0003454,0.0003607,1567728000,209405417
25,0.0003602,0.000375,0.0003494,0.0003503,1567814400,320070087
26,0.00037,0.0003766,0.0003561,0.0003632,1567900800,370815883
27,0.000371,0.000385,0.0003597,0.00037,1567987200,229958419
28,0.0003602,0.0003777,0.0003578,0.000373,1568073600,163317020
29,0.0003501,0.0003647,0.0003451,0.0003603,1568160000,214734578
30,0.0003509,0.0003547,0.000345,0.00035,1568246400,191186444
31,0.0003517,0.000354,0.0003482,0.0003509,1568332800,114893420
32,0.000354,0.0003551,0.0003404,0.000354,1568419200,221938040
33,0.0003511,0.0003565,0.0003498,0.0003544,1568505600,97075473
34,0.0003464,0.000356,0.0003318,0.000353,1568592000,195341371
35,0.0003476,0.0003513,0.0003373,0.0003464,1568678400,380802129
36,0.0003704,0.0003817,0.0003451,0.0003476,1568764800,629952653
37,0.0003563,0.0003704,0.0003442,0.0003703,1568851200,374201273
38,0.0003552,0.0003604,0.0003506,0.000356,1568937600,225631244
39,0.0003509,0.0003605,0.0003434,0.0003569,1569024000,139507841
40,0.0003452,0.0003649,0.0003357,0.000351,1569110400,378743249
41,0.0003259,0.000345,0.0003202,0.0003429,1569196800,230690745
42,0.0002594,0.0003342,0.0002541,0.0003259,1569283200,547633077
43,0.0002644,0.0002885,0.00025,0.0002589,1569369600,704857811
44,0.0002704,0.0002947,0.0002532,0.0002647,1569456000,1672016928
45,0.0002824,0.0002864,0.000269,0.0002707,1569542400,15083151932
46,0.0002905,0.0002914,0.000279,0.0002824,1569628800,18750313011
47,0.0002777,0.0002959,0.0002711,0.0002904,1569715200,20620132135
48,0.0002533,0.000279,0.0002347,0.0002778,1569801600,30466642986
49,0.0002404,0.0002585,0.0002385,0.0002532,1569888000,27675815647
50,0.0002423,0.0002449,0.0002328,0.0002405,1569974400,28227417085
51,0.0002377,0.0002446,0.000232,0.0002422,1570060800,70483524616
52,0.000232,0.0002382,0.0002291,0.0002378,1570147200,1926853969
53,0.0002309,0.000234,0.000226,0.0002319,1570233600,876327810
54,0.0002147,0.0002322,0.0002128,0.0002312,1570320000,1407179611
55,0.0002186,0.000221,0.000213,0.0002147,1570406400,1350626249
56,0.0002186,0.000222,0.0002151,0.0002193,1570492800,1203178858
57,0.0002271,0.0002327,0.0002168,0.0002181,1570579200,2019541812
58,0.000214,0.000229,0.00021,0.000227,1570665600,1178748887
59,0.0002042,0.0002179,0.0002015,0.0002144,1570752000,1244960763
60,0.0002086,0.0002137,0.0002039,0.0002042,1570838400,907649417
61,0.000208,0.0002133,0.000208,0.0002097,1570924800,563464987
62,0.0002072,0.0002119,0.0002025,0.0002087,1571011200,1227544724
63,0.0001981,0.0002084,0.0001947,0.000207,1571097600,1074787356
64,0.0001842,0.0001997,0.0001759,0.0001981,1571184000,1093414369
65,0.0001859,0.0001884,0.0001816,0.0001847,1571270400,714947546
66,0.0001771,0.0001869,0.0001736,0.000186,1571356800,852904608
67,0.0001777,0.0001786,0.0001738,0.0001774,1571443200,674020629
68,0.0001787,0.00018,0.0001746,0.0001777,1571529600,681634061
