,c,h,l,o,t,v
0,0.3977,0.4089,0.3727,0.378,1549584000,464474.43
1,0.4092,0.4488,0.3932,0.3982,1549670400,586110.28
2,0.4096,0.4275,0.3935,0.4092,1549756800,370672.98
3,0.4035,0.425,0.3961,0.4096,1549843200,244139.88
4,0.4013,0.4159,0.3828,0.4035,1549929600,303999.61
5,0.4034,0.4162,0.399,0.4006,1550016000,243497.55
6,0.4065,0.4114,0.399,0.4035,1550102400,125120.27
7,0.4007,0.4093,0.3994,0.4066,1550188800,146428.26
8,0.4039,0.455,0.4015,0.4015,1550275200,609299.29
9,0.4237,0.439,0.402,0.4043,1550361600,448941.66
10,0.439,0.4458,0.4162,0.4213,1550448000,452037.32
11,0.4373,0.4511,0.4266,0.4363,1550534400,381580.04
12,0.4586,0.4586,0.42,0.4364,1550620800,425896.54
13,0.4457,0.4588,0.44,0.4587,1550707200,254923.69
14,0.4378,0.4487,0.4267,0.4458,1550793600,325064.92
15,0.4566,0.4659,0.434,0.437,1550880000,734798.9
16,0.4002,0.4708,0.4,0.4566,1550966400,1066742.13
17,0.4099,0.4213,0.4001,0.4015,1551052800,396121.01
18,0.4146,0.4182,0.3985,0.4114,1551139200,341143.79
19,0.4134,0.4492,0.4042,0.4141,1551225600,367350.83
20,0.4229,0.43,0.4074,0.4149,1551312000,323743.48
21,0.4235,0.429,0.4188,0.423,1551398400,416385.64
22,0.417,0.425,0.4079,0.4212,1551484800,160007.22
23,0.4127,0.4203,0.4106,0.417,1551571200,129991.3
24,0.4201,0.4287,0.3915,0.4145,1551657600,347267.54
25,0.4382,0.45,0.4165,0.4165,1551744000,485667.49
26,0.4274,0.4418,0.4245,0.4386,1551830400,249794.45
27,0.4339,0.4399,0.4269,0.4301,1551916800,187215.25
28,0.429,0.4481,0.4218,0.433,1552003200,307217.87
29,0.5917,0.6584,0.4319,0.4334,1552089600,4619464.34
30,0.5231,0.6263,0.5,0.5956,1552176000,3877253.51
31,0.4925,0.5247,0.4831,0.523,1552262400,1827088.75
32,0.5087,0.5349,0.4718,0.491,1552348800,815270.52
33,0.5163,0.558,0.5076,0.5089,1552435200,1513481.25
34,0.5637,0.5974,0.5,0.5163,1552521600,2141968.23
35,0.5579,0.5846,0.5438,0.5628,1552608000,652215.6
36,0.573,0.5999,0.558,0.5581,1552694400,551653.59
37,0.5762,0.58,0.5546,0.5732,1552780800,302463.67
38,0.57,0.595,0.561,0.5761,1552867200,326488.96
39,0.571,0.582,0.5575,0.5708,1552953600,295713.03
40,0.5818,0.5999,0.5653,0.5694,1553040000,393464.2
41,0.5514,0.6,0.5153,0.5842,1553126400,699661.83
42,0.6721,0.7564,0.5467,0.5503,1553212800,2930414.18
43,0.6433,0.705,0.625,0.6725,1553299200,2021670.47
44,0.6301,0.6486,0.6273,0.6433,1553385600,605396.47
45,0.6128,0.6449,0.6015,0.6303,1553472000,699200.59
46,0.6244,0.6419,0.6028,0.6117,1553558400,471101.62
47,0.732,0.86,0.6225,0.6269,1553644800,4537042.87
48,0.7598,0.7899,0.6901,0.7302,1553731200,2383300.42
49,0.7689,0.769,0.7245,0.7564,1553817600,741198.57
50,0.8007,0.8007,0.7311,0.7683,1553904000,794027.25
51,0.8413,0.9306,0.7765,0.8007,1553990400,1438186.17
52,0.8985,0.9,0.8321,0.8443,1554076800,920782.97
53,0.9641,1.0299,0.8571,0.8932,1554163200,1535563.85
54,0.8913,1.015,0.8259,0.9698,1554249600,1452709.18
55,0.889,0.948,0.868,0.8932,1554336000,878772.74
56,0.9151,0.93,0.8813,0.8895,1554422400,433906.52
57,0.9446,0.9891,0.908,0.9142,1554508800,536234.52
58,0.95,0.9676,0.9189,0.9455,1554595200,287423.1
59,0.91,0.97,0.8437,0.9499,1554681600,690715.46
60,0.92,0.9229,0.86,0.9092,1554768000,405186.07
61,0.918,0.9418,0.8773,0.9228,1554854400,639703.96
62,0.8059,0.9219,0.7657,0.9219,1554940800,980723.42
63,0.8312,0.839,0.7538,0.8026,1555027200,396338.66
64,0.8028,0.8393,0.79,0.832,1555113600,320336.08
65,0.8138,0.823,0.7872,0.8028,1555200000,230015.38
66,0.8466,0.9299,0.8102,0.8141,1555286400,2080895.9
67,0.8511,0.9,0.82,0.8463,1555372800,998030.66
68,0.8999,0.9212,0.8488,0.8542,1555459200,1386081.73
69,0.8695,0.9128,0.8573,0.9002,1555545600,538546.18
70,0.8681,0.8892,0.8436,0.8682,1555632000,488829.36
71,0.8913,0.8952,0.8598,0.867,1555718400,486006.57
72,0.8341,0.904,0.8002,0.8899,1555804800,480836.67
73,0.8535,0.8881,0.825,0.8342,1555891200,460841.17
74,0.95,0.9833,0.8462,0.851,1555977600,1480985.85
75,0.829,1.0034,0.7865,0.9502,1556064000,3212747.22
76,0.729,0.8597,0.7216,0.83,1556150400,1520691.78
77,0.7476,0.8288,0.6902,0.7289,1556236800,1996001.01
78,0.7348,0.7628,0.7221,0.7477,1556323200,372201.0
79,0.7221,0.766,0.7147,0.7344,1556409600,409305.06
80,0.6946,0.754,0.6571,0.7208,1556496000,734618.51
81,0.719,0.7244,0.6847,0.6958,1556582400,263765.92
82,0.7107,0.7474,0.7001,0.7181,1556668800,400244.43
83,0.6934,0.7255,0.6934,0.7126,1556755200,331562.7
84,0.6891,0.7004,0.674,0.6934,1556841600,392694.6
85,0.6601,0.7346,0.6485,0.6881,1556928000,445547.64
86,0.6735,0.7,0.6533,0.658,1557014400,643504.77
87,0.6931,0.7135,0.6581,0.6734,1557100800,685738.74
88,0.663,0.7278,0.6612,0.6932,1557187200,816216.82
89,0.6638,0.7043,0.6522,0.663,1557273600,360709.65
90,0.5979,0.688,0.588,0.6692,1557360000,821783.73
91,0.6142,0.6314,0.576,0.5979,1557446400,442203.08
92,0.6386,0.7,0.6015,0.616,1557532800,1479650.81
93,0.6452,0.729,0.6292,0.6386,1557619200,1116173.88
94,0.657,0.6897,0.6419,0.6452,1557705600,773178.15
95,0.6963,0.709,0.65,0.6568,1557792000,1123573.8
96,0.7962,0.7979,0.69,0.6982,1557878400,1176692.6
97,0.7419,0.8484,0.709,0.7942,1557964800,2325304.6
98,0.699,0.7604,0.64,0.7417,1558051200,1801200.08
99,0.6832,0.7298,0.6792,0.6989,1558137600,966899.66
100,0.7078,0.738,0.6818,0.6818,1558224000,1184402.71
101,0.6921,0.7102,0.67,0.7062,1558310400,870443.96
102,0.7379,0.7606,0.6803,0.69,1558396800,1981195.26
103,0.7123,0.7731,0.6966,0.7379,1558483200,1105768.5
104,0.7596,0.768,0.6836,0.7105,1558569600,810152.61
105,0.7532,0.843,0.744,0.7588,1558656000,1678193.42
106,0.7656,0.8148,0.7472,0.7533,1558742400,991114.93
107,0.7683,0.7742,0.7401,0.7655,1558828800,515821.25
108,0.7738,0.796,0.7551,0.7648,1558915200,983300.89
109,0.7847,0.828,0.7681,0.7766,1559001600,811284.71
110,0.7878,0.7985,0.7301,0.7848,1559088000,752175.16
111,0.7488,0.8245,0.7279,0.7882,1559174400,933558.17
112,0.7818,0.7991,0.7271,0.7476,1559260800,903031.52
113,0.7744,0.8,0.76,0.7808,1559347200,755585.3
114,0.7927,0.8086,0.7715,0.7715,1559433600,505548.39
115,0.75,0.8126,0.7423,0.7934,1559520000,865456.15
116,0.723,0.7647,0.698,0.7461,1559606400,588663.04
117,0.7655,0.7943,0.7183,0.723,1559692800,849491.03
118,0.7578,0.81,0.7131,0.7634,1559779200,778271.41
119,0.7859,0.8041,0.7444,0.7585,1559865600,428492.43
