,c,h,l,o,t,v
0,0.5623,0.5799,0.5146,0.517,1549584000,2694230.11
1,0.5788,0.6035,0.553,0.5629,1549670400,3089286.41
2,0.5871,0.5883,0.5578,0.579,1549756800,2117894.04
3,0.579,0.5874,0.567,0.5873,1549843200,1574369.06
4,0.579,0.5887,0.5617,0.579,1549929600,2398179.45
5,0.577,0.61,0.5701,0.5777,1550016000,2694139.18
6,0.5663,0.5826,0.5588,0.5775,1550102400,948670.4
7,0.6692,0.6832,0.5615,0.5664,1550188800,16754858.92
8,0.6233,0.7156,0.6229,0.6709,1550275200,16687442.69
9,0.6469,0.678,0.62,0.6233,1550361600,6798750.97
10,0.6791,0.683,0.6342,0.647,1550448000,7517901.14
11,0.6806,0.7261,0.666,0.6798,1550534400,9423697.5
12,0.749,0.7674,0.6585,0.6812,1550620800,7088711.83
13,0.7346,0.766,0.6998,0.7491,1550707200,6458954.79
14,0.8128,0.8365,0.733,0.7342,1550793600,10694011.906
15,0.9666,0.998,0.8033,0.8132,1550880000,21873559.943
16,0.9784,1.1981,0.841,0.9651,1550966400,46356087.313
17,0.9773,1.043,0.9104,0.9795,1551052800,23767645.84
18,0.9068,1.0052,0.8811,0.9771,1551139200,8461831.61
19,0.8992,0.918,0.852,0.906,1551225600,6800261.93
20,0.9011,0.951,0.8765,0.8978,1551312000,6720047.96
21,0.9282,0.9537,0.8891,0.9013,1551398400,3571668.59
22,0.8789,0.9296,0.8594,0.9282,1551484800,2827768.11
23,0.8763,0.9009,0.864,0.8791,1551571200,1336209.74
24,0.7946,0.8811,0.7737,0.8761,1551657600,5340675.06
25,0.9195,0.927,0.7656,0.795,1551744000,7362256.89
26,0.9011,0.9266,0.8805,0.9185,1551830400,3989043.48
27,1.0107,1.0457,0.9003,0.9003,1551916800,10197014.4
28,0.9753,1.06,0.959,1.0108,1552003200,7553506.72
29,0.986,1.047,0.959,0.9754,1552089600,3989568.01
30,0.9542,0.9964,0.9186,0.986,1552176000,3497874.74
31,0.9111,0.97,0.8809,0.9559,1552262400,3019896.41
32,0.9611,1.0298,0.8752,0.9104,1552348800,6194743.12
33,1.013,1.0608,0.9196,0.961,1552435200,9727669.74
34,0.9926,1.0238,0.9551,1.0134,1552521600,3390393.16
35,1.001,1.0195,0.9742,0.9929,1552608000,2054385.64
36,1.0724,1.0878,0.9994,1.001,1552694400,4959641.29
37,1.1179,1.1534,1.0205,1.0728,1552780800,4474213.26
38,1.0861,1.1441,1.0459,1.1181,1552867200,3813846.51
39,1.1262,1.1285,1.0596,1.0859,1552953600,2997608.51
40,1.3149,1.3479,1.0751,1.1252,1553040000,10979889.976
41,1.2801,1.4067,1.16,1.3147,1553126400,16854749.346
42,1.2769,1.3459,1.2149,1.2801,1553212800,6559158.1
43,1.2609,1.326,1.2446,1.2764,1553299200,4980198.39
44,1.2437,1.2611,1.2037,1.2611,1553385600,4317948.59
45,1.1916,1.2686,1.1475,1.2455,1553472000,4619744.76
46,1.1725,1.1996,1.0989,1.1916,1553558400,3931993.82
47,1.2527,1.2695,1.1578,1.1723,1553644800,4517204.68
48,1.2226,1.2595,1.2,1.2519,1553731200,2432937.53
49,1.245,1.2554,1.2104,1.2214,1553817600,2965320.38
50,1.292,1.3331,1.241,1.245,1553904000,4720015.15
51,1.3067,1.312,1.2628,1.292,1553990400,1874684.73
52,1.3186,1.3845,1.28,1.3067,1554076800,4144236.47
53,1.4563,1.4796,1.2703,1.3193,1554163200,10384215.32
54,1.46,1.686,1.3776,1.4569,1554249600,11725599.027
55,1.5842,1.6531,1.4204,1.4571,1554336000,10645308.74
56,1.6131,1.6379,1.5613,1.5855,1554422400,3672582.23
57,1.5623,1.6169,1.5435,1.6149,1554508800,3734015.83
58,1.5313,1.586,1.478,1.5659,1554595200,5065782.04
59,1.5022,1.5928,1.411,1.5314,1554681600,7354285.4
60,1.4403,1.5142,1.3915,1.5022,1554768000,3597871.62
61,1.4942,1.5357,1.4381,1.4423,1554854400,3243859.61
62,1.3166,1.502,1.2221,1.4944,1554940800,6157039.76
63,1.332,1.3748,1.227,1.3165,1555027200,3025641.63
64,1.3133,1.3554,1.2848,1.3309,1555113600,1289796.55
65,1.3575,1.3599,1.2781,1.3133,1555200000,1386664.72
