,c,h,l,o,t,v
0,1.0093,1.0156,1.0059,1.0111,1549584000,7326224.63
1,1.0111,1.0126,1.0074,1.0094,1549670400,4200457.86
2,1.0073,1.0113,1.0061,1.0111,1549756800,3722713.51
3,1.0113,1.013,1.0065,1.0074,1549843200,3858396.28
4,1.0119,1.014,1.0097,1.0113,1549929600,6479073.69
5,1.0097,1.0128,1.008,1.0119,1550016000,3751520.07
6,1.009,1.0116,1.0078,1.0095,1550102400,4058801.87
7,1.0098,1.0115,1.008,1.0091,1550188800,3589248.82
8,1.0105,1.0124,1.0085,1.0098,1550275200,3340366.19
9,1.0115,1.0159,1.01,1.0103,1550361600,4507107.0
10,1.007,1.0149,1.0012,1.0115,1550448000,9136619.82
11,1.0051,1.009,1.002,1.007,1550534400,8008987.63
12,1.0081,1.0089,1.0017,1.0051,1550620800,5223095.07
13,1.0097,1.0103,1.0061,1.008,1550707200,3834409.44
14,1.0052,1.0111,1.0049,1.0097,1550793600,4057959.84
15,1.0007,1.0071,1.0,1.0052,1550880000,5696024.52
16,1.0035,1.0061,0.9996,1.0008,1550966400,14466918.79
17,1.0025,1.0079,1.0012,1.0035,1551052800,7362065.74
18,1.0038,1.0061,1.0012,1.0028,1551139200,4252620.99
19,1.0046,1.0068,1.001,1.0036,1551225600,4761118.27
20,1.0056,1.0061,1.0004,1.0046,1551312000,3978218.71
21,1.0042,1.0081,1.0027,1.0056,1551398400,2859271.73
22,1.0024,1.0063,1.0012,1.0043,1551484800,1543119.8
23,1.0047,1.0052,1.0015,1.0024,1551571200,1312609.82
24,1.0039,1.0061,1.0,1.0047,1551657600,4161723.8
25,1.0031,1.0057,1.0006,1.004,1551744000,3418984.19
26,1.0028,1.0039,1.001,1.0031,1551830400,3174500.55
27,1.0044,1.0055,1.0019,1.0027,1551916800,3078989.78
28,1.006,1.0072,1.0024,1.0044,1552003200,4582425.42
29,1.0061,1.0076,1.0034,1.0058,1552089600,3131356.27
30,1.0047,1.0063,1.003,1.0061,1552176000,1667631.2
31,1.0048,1.0071,1.0033,1.0044,1552262400,3091114.76
32,1.0059,1.008,1.003,1.0047,1552348800,2439611.99
33,1.0039,1.0064,1.003,1.0059,1552435200,1908879.21
34,1.0067,1.0084,1.0031,1.004,1552521600,5056418.46
35,1.0056,1.0092,1.0055,1.0062,1552608000,4513033.11
36,1.0029,1.0086,1.0019,1.0057,1552694400,5119223.03
37,1.0045,1.0057,1.0025,1.0033,1552780800,3207646.3
38,1.004,1.0058,1.0027,1.0046,1552867200,2828158.23
39,1.0035,1.0062,1.0029,1.0039,1552953600,2171209.32
40,1.0029,1.0057,1.0019,1.0035,1553040000,3038690.68
41,1.0019,1.0043,0.9967,1.0027,1553126400,4236951.77
42,1.0017,1.0034,1.0006,1.0019,1553212800,2131057.8
43,1.0059,1.006,1.0009,1.0018,1553299200,2730896.44
44,1.0056,1.006,1.003,1.0058,1553385600,1492359.5
45,1.0065,1.0075,1.0032,1.0053,1553472000,2771020.24
46,1.0059,1.0081,1.0032,1.0065,1553558400,2863560.15
47,1.0026,1.0075,1.0002,1.0058,1553644800,3554456.86
48,1.0037,1.0045,1.0021,1.0028,1553731200,2133400.56
49,1.0027,1.0052,1.0015,1.0039,1553817600,2614598.87
50,1.0026,1.0036,1.0011,1.0028,1553904000,1731850.5
51,1.0019,1.004,1.0013,1.0024,1553990400,1303476.38
52,1.0014,1.0038,1.0004,1.0021,1554076800,2728613.36
53,0.9917,1.0028,0.9572,1.0013,1554163200,14699197.77
54,0.992,0.9947,0.9811,0.9917,1554249600,13254562.88
55,0.9974,0.9993,0.989,0.9915,1554336000,4328209.61
56,0.9933,1.001,0.9914,0.9976,1554422400,3763656.03
57,0.9996,1.0005,0.991,0.993,1554508800,3427084.19
58,0.9958,1.0001,0.9925,0.9995,1554595200,3387817.81
59,0.9896,0.9981,0.981,0.996,1554681600,5266956.76
60,0.9915,0.9927,0.9834,0.9898,1554768000,3997981.28
61,0.9968,0.998,0.9875,0.9915,1554854400,4937218.81
62,0.9958,0.9979,0.9875,0.9973,1554940800,6448278.15
63,0.9941,0.9959,0.9908,0.9949,1555027200,4307883.76
64,0.9956,0.9956,0.9916,0.9942,1555113600,2325534.72
65,0.993,0.9969,0.9927,0.9955,1555200000,1603995.22
66,0.9992,1.0,0.9928,0.993,1555286400,5234312.37
67,0.9938,0.9994,0.9925,0.9993,1555372800,2585868.04
68,0.9954,0.9965,0.9925,0.9938,1555459200,2307549.86
69,0.9955,0.998,0.9931,0.9952,1555545600,2707066.77
70,0.9944,0.9977,0.9931,0.9952,1555632000,2941760.29
71,0.9941,0.9963,0.9936,0.9945,1555718400,2708863.69
72,0.9923,0.9952,0.9908,0.9941,1555804800,2855864.59
73,0.9943,0.9952,0.9914,0.9923,1555891200,1899868.76
74,0.9933,0.9972,0.9922,0.9939,1555977600,3866181.64
75,0.9952,0.9953,0.9896,0.9933,1556064000,5149132.33
76,1.0175,1.0374,0.994,0.9949,1556150400,12279163.71
77,1.0308,1.0443,1.0168,1.0175,1556236800,18849378.11
78,1.024,1.0321,1.0218,1.0306,1556323200,6303857.16
79,1.0297,1.0338,1.0235,1.0241,1556409600,3560130.22
80,1.018,1.0306,1.0152,1.03,1556496000,7444543.54
81,1.0096,1.0188,1.0066,1.018,1556582400,9634894.81
82,1.0124,1.0139,1.0047,1.0094,1556668800,8239134.38
83,1.0199,1.0247,1.0104,1.0126,1556755200,8337325.19
84,1.0195,1.0253,1.0081,1.0199,1556841600,17509534.96
85,1.011,1.0201,1.0045,1.0199,1556928000,8920129.31
86,1.0094,1.014,1.0069,1.0108,1557014400,4023752.09
87,1.0104,1.0134,1.0077,1.0095,1557100800,7821357.78
88,1.0166,1.0187,1.0045,1.0102,1557187200,10682947.05
89,1.0096,1.021,1.0062,1.0167,1557273600,4923532.76
90,1.0098,1.0152,1.006,1.0096,1557360000,6376854.44
91,1.0086,1.0142,1.0053,1.0096,1557446400,5695611.98
92,1.0018,1.0143,0.998,1.0083,1557532800,21076590.57
93,1.0035,1.0134,0.993,1.002,1557619200,16955265.01
94,0.9978,1.0064,0.988,1.0034,1557705600,14048181.47
95,0.9963,1.0047,0.9905,0.9979,1557792000,15546644.8
96,0.9954,0.9999,0.9931,0.996,1557878400,8959623.01
97,0.9983,1.003,0.9918,0.9953,1557964800,20486896.46
98,0.9984,1.019,0.9936,0.9982,1558051200,28936372.5
99,0.999,1.0025,0.9947,0.9983,1558137600,7844001.37
100,0.9942,0.9996,0.9899,0.999,1558224000,15095379.87
101,0.9923,1.0,0.9916,0.9942,1558310400,13148088.28
102,0.9939,0.9975,0.9909,0.9921,1558396800,13195065.8
