,c,h,l,o,t,v
0,1.942,1.98,1.732,1.764,1549584000,302273.265
1,1.94,1.969,1.919,1.944,1549670400,121356.307
2,1.956,1.969,1.858,1.945,1549756800,156072.957
3,1.908,1.965,1.892,1.956,1549843200,80904.986
4,1.952,1.969,1.885,1.902,1549929600,198645.908
5,1.914,1.977,1.899,1.954,1550016000,145251.43
6,1.886,1.933,1.868,1.915,1550102400,81669.074
7,1.908,1.962,1.876,1.883,1550188800,228949.366
8,1.943,1.979,1.908,1.908,1550275200,187837.578
9,1.966,2.0,1.916,1.941,1550361600,199574.576
10,2.128,2.19,1.958,1.971,1550448000,389148.152
11,2.114,2.205,2.08,2.122,1550534400,435048.705
12,2.168,2.177,2.047,2.112,1550620800,241612.198
13,2.078,2.176,2.049,2.164,1550707200,194132.572
14,2.125,2.131,2.06,2.078,1550793600,169958.128
15,2.37,2.41,2.108,2.122,1550880000,966361.756
16,2.002,2.448,1.986,2.37,1550966400,819812.963
17,2.079,2.128,1.996,2.001,1551052800,278129.202
18,2.051,2.099,2.036,2.086,1551139200,254877.273
19,2.069,2.1,2.005,2.049,1551225600,279729.757
20,2.075,2.102,2.024,2.071,1551312000,159451.131
21,2.112,2.19,2.075,2.075,1551398400,343385.943
22,2.062,2.131,2.04,2.112,1551484800,166330.138
23,2.044,2.08,2.031,2.058,1551571200,127908.902
24,1.946,2.057,1.903,2.04,1551657600,222453.252
25,2.061,2.085,1.936,1.947,1551744000,221412.069
26,2.05,2.08,2.015,2.062,1551830400,170540.054
27,2.065,2.14,2.038,2.051,1551916800,261050.727
28,2.097,2.171,2.048,2.065,1552003200,371843.879
29,2.198,2.221,2.079,2.097,1552089600,496439.913
30,2.129,2.2,2.102,2.2,1552176000,226179.712
31,2.067,2.187,2.027,2.131,1552262400,353380.288
32,2.146,2.279,2.029,2.062,1552348800,313644.907
33,2.121,2.201,2.07,2.146,1552435200,361105.514
34,2.659,3.3,2.065,2.121,1552521600,4603917.016
35,2.539,2.728,2.448,2.66,1552608000,1446445.149
36,2.494,2.55,2.407,2.539,1552694400,614199.121
37,2.502,2.69,2.397,2.494,1552780800,771703.262
38,2.459,2.57,2.455,2.502,1552867200,404880.693
39,2.49,2.538,2.45,2.463,1552953600,313219.952
40,2.511,2.63,2.418,2.49,1553040000,1810779.699
41,2.469,2.61,2.344,2.513,1553126400,1097225.254
42,2.529,2.559,2.442,2.469,1553212800,336303.537
43,2.672,2.724,2.517,2.527,1553299200,654674.371
44,2.595,2.673,2.546,2.672,1553385600,313296.192
45,2.477,2.596,2.418,2.595,1553472000,576040.446
46,2.471,2.499,2.371,2.479,1553558400,567451.617
47,2.588,2.609,2.465,2.471,1553644800,338519.169
48,2.649,3.0,2.527,2.589,1553731200,2324256.908
49,2.719,2.726,2.633,2.649,1553817600,366461.523
50,2.786,2.858,2.632,2.721,1553904000,480727.853
51,2.928,3.115,2.752,2.789,1553990400,947167.381
52,2.965,3.07,2.88,2.929,1554076800,506774.293
53,3.27,3.292,2.87,2.965,1554163200,1054012.383
54,3.196,3.58,3.023,3.265,1554249600,3895606.459
55,3.181,3.405,3.042,3.196,1554336000,817496.37
56,3.357,3.436,3.163,3.181,1554422400,957713.954
57,3.276,3.372,3.229,3.363,1554508800,502272.685
58,3.613,3.69,3.27,3.276,1554595200,1159383.025
59,3.447,3.673,3.237,3.613,1554681600,831405.571
60,3.281,3.456,3.222,3.449,1554768000,358595.131
61,3.283,3.441,3.25,3.288,1554854400,383199.923
62,2.911,3.293,2.8,3.285,1554940800,894065.033
63,2.942,2.995,2.765,2.912,1555027200,671758.061
64,2.867,2.973,2.841,2.941,1555113600,396771.415
65,2.93,2.941,2.81,2.865,1555200000,337465.718
66,2.788,2.983,2.763,2.931,1555286400,532030.199
67,2.865,2.88,2.754,2.786,1555372800,307766.061
68,2.825,2.895,2.784,2.867,1555459200,242690.324
69,2.933,2.999,2.828,2.828,1555545600,562961.975
70,2.89,2.931,2.837,2.928,1555632000,289523.332
71,2.85,2.942,2.81,2.885,1555718400,275107.144
72,2.703,2.871,2.594,2.848,1555804800,455925.488
73,2.747,2.773,2.651,2.701,1555891200,309991.772
74,2.64,2.82,2.637,2.745,1555977600,1698642.6
75,2.496,2.665,2.392,2.634,1556064000,744986.64
76,2.344,2.533,2.279,2.489,1556150400,423622.471
77,2.384,2.441,2.279,2.345,1556236800,353870.91
78,2.401,2.43,2.339,2.384,1556323200,233231.783
79,2.377,2.412,2.345,2.401,1556409600,144883.373
80,2.305,2.424,2.244,2.377,1556496000,414483.758
81,2.431,2.438,2.265,2.313,1556582400,218014.116
82,2.446,2.527,2.362,2.431,1556668800,397495.735
83,2.602,2.826,2.409,2.446,1556755200,1290403.496
84,2.616,2.691,2.527,2.602,1556841600,588101.507
85,2.483,2.7,2.368,2.616,1556928000,512764.69
86,2.452,2.536,2.413,2.482,1557014400,249656.23
87,2.419,2.461,2.317,2.45,1557100800,352217.61
88,2.394,2.508,2.37,2.425,1557187200,312914.027
89,2.42,2.467,2.345,2.386,1557273600,154011.218
90,2.342,2.487,2.291,2.421,1557360000,260243.621
91,2.355,2.38,2.3,2.343,1557446400,338755.445
92,2.505,2.64,2.338,2.355,1557532800,605643.731
93,2.421,2.603,2.345,2.517,1557619200,419400.731
94,2.49,2.579,2.383,2.403,1557705600,510018.941
95,2.772,2.842,2.475,2.489,1557792000,835916.917
96,3.251,3.281,2.762,2.763,1557878400,565551.862
97,3.135,3.53,2.965,3.26,1557964800,1717296.287
98,2.887,3.161,2.699,3.135,1558051200,799974.705
99,2.826,2.939,2.736,2.894,1558137600,429639.385
100,3.14,3.208,2.819,2.82,1558224000,763988.681
101,3.09,3.199,2.8,3.132,1558310400,1102925.847
102,3.153,3.255,3.021,3.09,1558396800,500595.789
103,2.853,3.176,2.815,3.148,1558483200,548238.812
104,2.872,2.902,2.723,2.853,1558569600,587451.604
105,2.916,3.04,2.841,2.879,1558656000,418961.383
106,2.899,2.946,2.859,2.923,1558742400,197562.235
107,3.062,3.071,2.81,2.898,1558828800,377504.036
108,3.192,3.271,3.023,3.055,1558915200,471956.332
109,3.224,3.302,3.075,3.194,1559001600,522848.376
110,3.298,3.43,3.004,3.221,1559088000,633755.345
111,3.114,3.568,3.016,3.289,1559174400,977469.185
112,3.298,3.335,3.016,3.119,1559260800,442188.653
113,3.508,3.8,3.274,3.306,1559347200,1396828.969
114,3.608,3.668,3.458,3.508,1559433600,485730.08
115,3.15,3.616,3.095,3.615,1559520000,764218.993
116,2.965,3.174,2.89,3.147,1559606400,712014.507
117,3.016,3.065,2.912,2.969,1559692800,380370.073
118,3.004,3.043,2.861,3.011,1559779200,273513.503
119,3.13,3.229,2.969,3.0,1559865600,349100.532
120,2.996,3.206,2.973,3.129,1559952000,408406.979
121,2.916,3.056,2.805,2.993,1560038400,326701.084
122,3.205,3.401,2.876,2.911,1560124800,1453890.637
123,3.132,3.268,3.031,3.205,1560211200,507958.547
124,3.21,3.251,3.099,3.139,1560297600,412738.193
125,3.307,3.496,3.11,3.205,1560384000,833705.788
126,3.403,3.469,3.248,3.316,1560470400,698625.999
127,3.511,3.61,3.396,3.398,1560556800,630915.505
128,3.651,3.735,3.455,3.514,1560643200,641953.082
129,3.648,3.772,3.535,3.651,1560729600,611299.259
130,3.558,3.649,3.521,3.647,1560816000,411116.352
131,3.58,3.7,3.52,3.561,1560902400,394816.537
