,c,h,l,o,t,v
0,0.01515,0.026,0.01222,0.025,1558656000,1090620009.5
1,0.022,0.02478,0.01503,0.01514,1558742400,2299062770.5
2,0.01756,0.02308,0.01691,0.02195,1558828800,1336342202.3
3,0.01646,0.018,0.01575,0.0176,1558915200,682880948.8
4,0.01643,0.01704,0.0155,0.01642,1559001600,488613396.5
5,0.01798,0.01865,0.0158,0.01643,1559088000,767504163.3
6,0.01445,0.01804,0.01331,0.01793,1559174400,627599342.5
7,0.01477,0.0149,0.01373,0.01444,1559260800,320560664.2
8,0.01416,0.01496,0.0135,0.01477,1559347200,391357409.4
9,0.01465,0.01526,0.01405,0.01415,1559433600,240528606.0
10,0.01335,0.01468,0.01322,0.01467,1559520000,172830450.9
11,0.01262,0.01368,0.01212,0.01334,1559606400,225064807.4
12,0.01327,0.01377,0.0124,0.01263,1559692800,302914891.4
13,0.01409,0.0152,0.01313,0.01323,1559779200,503244100.2
14,0.01445,0.0147,0.01378,0.01412,1559865600,193937537.6
15,0.01499,0.0152,0.0136,0.01443,1559952000,221327155.0
16,0.0133,0.01577,0.01267,0.01504,1560038400,357137406.4
17,0.01403,0.01432,0.01265,0.01325,1560124800,250862847.8
18,0.01363,0.01416,0.01306,0.01407,1560211200,145608455.2
19,0.01348,0.01364,0.01325,0.01361,1560297600,100609259.9
20,0.01318,0.01357,0.01297,0.01349,1560384000,108543279.1
21,0.01254,0.01339,0.01169,0.01318,1560470400,173336509.4
22,0.0122,0.01266,0.01187,0.01252,1560556800,129927326.3
23,0.01199,0.01233,0.01173,0.01219,1560643200,103531784.5
24,0.01204,0.0125,0.01192,0.01201,1560729600,113051993.6
25,0.01184,0.01217,0.0114,0.01204,1560816000,69033962.1
26,0.01215,0.0125,0.01181,0.01184,1560902400,88758269.2
27,0.01279,0.01313,0.0122,0.0122,1560988800,159711436.6
28,0.01151,0.01279,0.01143,0.01276,1561075200,91054214.2
29,0.01121,0.01175,0.0106,0.01151,1561161600,179937527.5
30,0.01111,0.01168,0.01096,0.01121,1561248000,56402486.2
31,0.01122,0.01139,0.01079,0.01107,1561334400,47423646.7
32,0.01084,0.01133,0.01069,0.01122,1561420800,67282566.8
33,0.00967,0.01107,0.00934,0.01085,1561507200,179213793.0
34,0.00883,0.00981,0.00833,0.00967,1561593600,185905490.3
35,0.00901,0.00924,0.00856,0.00883,1561680000,79987551.1
36,0.00931,0.00955,0.00868,0.00901,1561766400,96868328.3
37,0.00918,0.0108,0.00853,0.0093,1561852800,333922138.1
38,0.00958,0.01005,0.00892,0.00918,1561939200,112907419.6
39,0.00923,0.00967,0.00865,0.00962,1562025600,84288811.5
40,0.00911,0.0093,0.00875,0.00925,1562112000,75132734.9
41,0.00871,0.00927,0.00866,0.00912,1562198400,58409345.1
42,0.00865,0.00886,0.00853,0.00872,1562284800,43961675.1
43,0.00971,0.01157,0.00863,0.00866,1562371200,229808313.2
44,0.00975,0.0107,0.00961,0.0097,1562457600,123314491.6
45,0.00913,0.01002,0.00871,0.00977,1562544000,102232522.7
46,0.00937,0.0095,0.0089,0.00914,1562630400,44052217.8
47,0.00889,0.00975,0.00863,0.00939,1562716800,76041338.4
48,0.00793,0.00906,0.00754,0.00888,1562803200,51883584.5
49,0.00825,0.00841,0.00774,0.00796,1562889600,45291323.6
50,0.00863,0.00901,0.00817,0.00825,1562976000,92533614.4
51,0.00769,0.00878,0.00745,0.00863,1563062400,51577488.0
52,0.0073,0.0077,0.00667,0.00765,1563148800,82284171.4
53,0.0061,0.00742,0.00602,0.00731,1563235200,53561236.7
54,0.00686,0.0071,0.00606,0.00612,1563321600,59234252.4
55,0.00711,0.00717,0.00658,0.00688,1563408000,52542637.6
56,0.00719,0.00725,0.00687,0.00715,1563494400,30676547.0
57,0.00727,0.00744,0.00702,0.00721,1563580800,44904134.9
58,0.00707,0.00741,0.0069,0.00725,1563667200,23103634.8
59,0.0075,0.00785,0.0071,0.0071,1563753600,63190319.9
60,0.00757,0.0081,0.00743,0.0075,1563840000,91694664.6
61,0.00733,0.00754,0.00706,0.00753,1563926400,23155245.2
62,0.00748,0.00767,0.00729,0.00733,1564012800,21614341.3
63,0.00772,0.00783,0.00726,0.00751,1564099200,32304712.6
64,0.00717,0.00785,0.00697,0.0077,1564185600,25334918.3
65,0.00725,0.00737,0.00702,0.00716,1564272000,24247312.1
66,0.00743,0.00774,0.00724,0.00724,1564358400,44181533.3
67,0.00728,0.00755,0.00709,0.00743,1564444800,46630357.2
68,0.00768,0.00768,0.00719,0.00727,1564531200,17671144.3
69,0.00722,0.00773,0.00705,0.00768,1564617600,42592107.3
70,0.00697,0.00728,0.00682,0.00723,1564704000,27270938.3
71,0.00671,0.00699,0.00658,0.00697,1564790400,22336904.7
72,0.0065,0.00679,0.00642,0.00671,1564876800,19075318.2
73,0.00646,0.00656,0.00622,0.00647,1564963200,33502902.2
74,0.00646,0.0068,0.00611,0.00645,1565049600,66646573.4
75,0.00635,0.00676,0.0062,0.00647,1565136000,53986776.4
76,0.00642,0.00675,0.0063,0.0064,1565222400,45360106.1
77,0.00612,0.0065,0.00601,0.00643,1565308800,32706832.7
78,0.00655,0.00699,0.00616,0.00616,1565395200,67979867.4
79,0.00724,0.00734,0.00656,0.00656,1565481600,112381913.2
80,0.0071,0.0074,0.00698,0.00727,1565568000,59088577.1
81,0.00675,0.00722,0.00661,0.00711,1565654400,34300334.9
82,0.00603,0.0068,0.00596,0.00675,1565740800,41698918.1
83,0.00587,0.00609,0.00571,0.00607,1565827200,18688680.2
84,0.0059,0.0061,0.00558,0.00586,1565913600,21647680.8
85,0.00574,0.00591,0.00557,0.00589,1566000000,19246664.8
86,0.00579,0.00587,0.00564,0.00574,1566086400,18591417.3
87,0.00595,0.00599,0.00573,0.00579,1566172800,28308665.1
88,0.00578,0.00595,0.0057,0.00592,1566259200,25273798.6
89,0.0054,0.00584,0.00525,0.00582,1566345600,39990521.8
90,0.00563,0.00567,0.00525,0.0054,1566432000,35254437.3
91,0.00576,0.00583,0.00551,0.00559,1566518400,49000032.9
92,0.00581,0.0059,0.00561,0.00576,1566604800,25443514.7
93,0.00617,0.0069,0.00583,0.00583,1566691200,139263102.7
94,0.00586,0.0064,0.00564,0.00623,1566777600,67124435.4
95,0.00572,0.0059,0.00544,0.00586,1566864000,46772812.8
96,0.00516,0.00585,0.00483,0.00572,1566950400,66183154.9
97,0.00485,0.00515,0.00461,0.00515,1567036800,30690814.8
98,0.00481,0.00488,0.0047,0.00485,1567123200,27811181.2
99,0.00477,0.00485,0.00465,0.00481,1567209600,8031597.6
100,0.0047,0.00484,0.00455,0.00478,1567296000,88375437.7
101,0.00465,0.00475,0.00457,0.00471,1567382400,33327600.7
102,0.00463,0.00478,0.00456,0.00467,1567468800,57864864.3
103,0.00457,0.00471,0.00448,0.00463,1567555200,32547832.8
104,0.00453,0.00472,0.00441,0.00458,1567641600,33747126.0
105,0.00444,0.0046,0.00431,0.00454,1567728000,24512344.7
106,0.00464,0.00464,0.00435,0.00441,1567814400,6984622.0
107,0.00464,0.00475,0.0045,0.0046,1567900800,54376271.5
108,0.00462,0.00471,0.00445,0.00466,1567987200,57612126.4
109,0.00448,0.00468,0.00443,0.00462,1568073600,25137016.9
110,0.00433,0.00455,0.00424,0.00448,1568160000,23498176.1
111,0.00434,0.00443,0.00402,0.00435,1568246400,27877473.1
112,0.00434,0.00444,0.00412,0.00434,1568332800,39194112.0
113,0.0044,0.00443,0.00428,0.00438,1568419200,7857039.6
114,0.00432,0.00442,0.00425,0.0044,1568505600,10376212.2
115,0.0043,0.00439,0.00406,0.0043,1568592000,31515927.2
116,0.00439,0.00441,0.00409,0.00429,1568678400,49068183.9
117,0.0047,0.00483,0.00434,0.00439,1568764800,50827214.3
118,0.00459,0.00471,0.0042,0.00468,1568851200,32721486.8
119,0.00453,0.00491,0.00436,0.00459,1568937600,47691538.7
120,0.0044,0.00457,0.00432,0.00453,1569024000,10692288.4
121,0.00423,0.00438,0.00411,0.00437,1569110400,24332076.9
122,0.00409,0.0044,0.00403,0.00423,1569196800,23225850.8
123,0.00337,0.00413,0.00303,0.00409,1569283200,46502462.5
124,0.00342,0.00434,0.00313,0.00336,1569369600,34468187.3
125,0.00319,0.00365,0.00299,0.00344,1569456000,26639967.4
126,0.00342,0.00371,0.00322,0.00324,1569542400,41662906.0
127,0.00343,0.0036,0.00338,0.00344,1569628800,33082635.6
128,0.00327,0.00354,0.00313,0.00345,1569715200,10371450.7
129,0.00331,0.00332,0.00309,0.00331,1569801600,20152204.7
130,0.0032,0.00332,0.00319,0.00331,1569888000,15452249.5
131,0.00321,0.00324,0.0031,0.00322,1569974400,19213792.3
132,0.00329,0.0034,0.00315,0.00323,1570060800,26201578.3
133,0.00335,0.00337,0.0032,0.00331,1570147200,16611447.9
134,0.00341,0.0035,0.00328,0.00335,1570233600,43884827.8
135,0.00338,0.00363,0.00326,0.0034,1570320000,40053451.8
136,0.00403,0.00429,0.00335,0.00339,1570406400,159787922.0
137,0.00413,0.00523,0.00392,0.00403,1570492800,272954377.4
138,0.00395,0.0042,0.00385,0.00413,1570579200,246201820.5
139,0.00371,0.00402,0.00358,0.00395,1570665600,156157284.8
140,0.0037,0.00386,0.00352,0.0037,1570752000,61875452.4
141,0.00367,0.00375,0.00357,0.0037,1570838400,22494145.8
142,0.00352,0.0037,0.00344,0.00367,1570924800,30541856.2
143,0.00355,0.0036,0.00345,0.00347,1571011200,19069645.1
144,0.00358,0.0038,0.00348,0.00354,1571097600,49943651.9
145,0.00337,0.00362,0.00328,0.0036,1571184000,23388182.3
146,0.00348,0.0035,0.00331,0.00339,1571270400,6837124.1
147,0.0033,0.00348,0.00325,0.00346,1571356800,16768089.0
148,0.00332,0.00343,0.00328,0.0033,1571443200,9990896.2
149,0.00339,0.00343,0.00325,0.00333,1571529600,34489544.4
150,0.00336,0.00349,0.00335,0.00339,1571616000,21379450.5
151,0.00335,0.00347,0.00334,0.0034,1571702400,16040301.1
152,0.00318,0.00346,0.00299,0.00335,1571788800,56900372.3
153,0.0032,0.00323,0.0031,0.00316,1571875200,14319767.0
154,0.00338,0.00349,0.00305,0.00317,1571961600,52614396.0
155,0.00323,0.00351,0.00311,0.00338,1572048000,64117171.3
156,0.00338,0.0034,0.00316,0.00324,1572134400,37829263.2
157,0.00344,0.00356,0.00329,0.00339,1572220800,52674171.6
158,0.00357,0.0038,0.00344,0.00344,1572307200,110813608.2
159,0.00345,0.00367,0.00325,0.0036,1572393600,32900985.5
160,0.00339,0.00349,0.00322,0.00344,1572480000,64154843.8
161,0.00349,0.00356,0.00335,0.0034,1572566400,23531623.0
162,0.00348,0.00354,0.00337,0.00347,1572652800,11334353.7
163,0.00347,0.00351,0.0034,0.0035,1572739200,8617562.4
164,0.00359,0.00364,0.00345,0.00347,1572825600,18885655.3
165,0.00356,0.0036,0.00344,0.00359,1572912000,21506444.4
166,0.0035,0.00356,0.00345,0.00356,1572998400,19108626.3
167,0.00359,0.00374,0.00345,0.0035,1573084800,70236960.6
168,0.0034,0.0036,0.00334,0.00355,1573171200,32135090.3
169,0.00343,0.00359,0.00335,0.0034,1573257600,14172199.7
170,0.00341,0.00346,0.00329,0.00342,1573344000,21259496.9
171,0.00334,0.00346,0.00328,0.00343,1573430400,9125780.6
172,0.00331,0.00335,0.00325,0.00333,1573516800,13783569.6
173,0.00328,0.00332,0.00323,0.00331,1573603200,12649882.0
174,0.00324,0.00332,0.003162,0.0033,1573689600,9397822.0
175,0.00327,0.00335,0.003165,0.00324,1573776000,28544989.9
176,0.00341,0.003479,0.00326,0.00328,1573862400,27403488.1
177,0.003344,0.003502,0.003291,0.00339,1573948800,40260422.9
178,0.00324,0.0034,0.00322,0.003339,1574035200,16977897.0
179,0.003146,0.003243,0.003076,0.003234,1574121600,12768538.0
180,0.003165,0.00319,0.00306,0.00317,1574208000,13869468.0
181,0.002902,0.0032,0.0028,0.003162,1574294400,28447042.0
182,0.002644,0.00296,0.002462,0.002901,1574380800,17005272.0
