,c,h,l,o,t,v
0,0.12343,0.135,0.12,0.135,1554854400,3319767.6
1,0.11013,0.12449,0.10421,0.12343,1554940800,3777898.0
2,0.11508,0.11913,0.1042,0.11013,1555027200,2312405.2
3,0.11745,0.11745,0.11126,0.11438,1555113600,995522.7
4,0.12112,0.12499,0.11582,0.1165,1555200000,3087031.6
5,0.11802,0.12499,0.11501,0.12101,1555286400,3399937.6
6,0.13142,0.13679,0.11735,0.11801,1555372800,7731994.5
7,0.1279,0.13509,0.12559,0.1315,1555459200,7176562.6
8,0.12599,0.13077,0.1245,0.1274,1555545600,3747363.9
9,0.12189,0.1295,0.1192,0.126,1555632000,2943550.5
10,0.1234,0.126,0.11934,0.12189,1555718400,2258118.4
11,0.114,0.12441,0.10957,0.12365,1555804800,3573719.2
12,0.11187,0.1188,0.1108,0.11403,1555891200,1819709.8
13,0.10999,0.11741,0.10884,0.11192,1555977600,2384803.7
14,0.09951,0.11326,0.0934,0.10934,1556064000,4644741.5
15,0.09567,0.1035,0.09,0.0996,1556150400,3636529.2
16,0.10444,0.10889,0.09326,0.09567,1556236800,4509943.8
17,0.10277,0.1059,0.0998,0.104,1556323200,1716478.1
18,0.09979,0.10363,0.09825,0.10285,1556409600,2081797.4
19,0.09061,0.10049,0.088,0.09975,1556496000,2793456.9
20,0.09433,0.09772,0.08921,0.09062,1556582400,1830803.2
21,0.09635,0.09964,0.09301,0.094,1556668800,2088157.5
22,0.09566,0.09946,0.09451,0.09634,1556755200,1358919.8
23,0.09668,0.0973,0.0933,0.09489,1556841600,1791179.7
24,0.09055,0.09668,0.087,0.09668,1556928000,2680412.5
25,0.08753,0.09068,0.08621,0.0902,1557014400,1802792.0
26,0.09088,0.09441,0.08654,0.08753,1557100800,2133515.3
27,0.0854,0.09277,0.08484,0.09161,1557187200,2932442.5
28,0.08679,0.09333,0.08206,0.08543,1557273600,3351645.7
29,0.07893,0.08717,0.078,0.0866,1557360000,4037506.0
30,0.08651,0.088,0.0775,0.07974,1557446400,3757104.8
31,0.089,0.09282,0.08456,0.08651,1557532800,5359214.4
32,0.08633,0.09196,0.08423,0.08849,1557619200,4339247.8
33,0.0897,0.09999,0.0856,0.086,1557705600,11136536.9
34,0.10194,0.11698,0.08934,0.08972,1557792000,14592973.7
35,0.11794,0.125,0.10142,0.10192,1557878400,10426696.2
36,0.11342,0.12524,0.1056,0.11794,1557964800,11602012.9
37,0.114,0.1147,0.09495,0.11342,1558051200,16911826.6
38,0.11934,0.1233,0.11001,0.11351,1558137600,11674463.0
39,0.1162,0.124,0.11555,0.11934,1558224000,8645412.0
40,0.113,0.11688,0.10826,0.11688,1558310400,9176039.3
41,0.11373,0.1203,0.11047,0.11236,1558396800,9224876.5
42,0.1055,0.11827,0.10366,0.11374,1558483200,5838563.7
43,0.10916,0.10938,0.10057,0.10521,1558569600,4702156.7
44,0.1182,0.14413,0.10908,0.10916,1558656000,46650622.5
45,0.13695,0.1385,0.11812,0.11812,1558742400,21043939.7
46,0.12353,0.139,0.119,0.13703,1558828800,11600555.8
47,0.12655,0.13057,0.1218,0.12443,1558915200,7678234.4
48,0.13275,0.13663,0.12392,0.12649,1559001600,8511731.0
49,0.15068,0.16531,0.12347,0.13239,1559088000,38614960.2
50,0.13123,0.16541,0.12417,0.15068,1559174400,21842965.9
51,0.13728,0.1396,0.12391,0.13109,1559260800,9701032.5
52,0.13147,0.13785,0.12704,0.13727,1559347200,7890312.5
53,0.141,0.14779,0.13095,0.13147,1559433600,9316521.9
54,0.13034,0.14312,0.12891,0.14099,1559520000,9857435.5
55,0.12319,0.13152,0.1196,0.13034,1559606400,10027374.4
56,0.12945,0.1332,0.122,0.12319,1559692800,8369668.0
57,0.13027,0.13869,0.12345,0.12897,1559779200,6588723.0
58,0.13395,0.13527,0.13041,0.13074,1559865600,3609457.3
59,0.14099,0.14521,0.12999,0.13395,1559952000,8128573.7
60,0.12906,0.14497,0.1269,0.14099,1560038400,9390693.7
61,0.14492,0.1469,0.12625,0.12902,1560124800,11605586.6
62,0.14175,0.14699,0.13716,0.14492,1560211200,7519655.7
63,0.1374,0.14317,0.13578,0.14186,1560297600,7625828.0
64,0.13237,0.13794,0.13052,0.13737,1560384000,6379496.7
65,0.12815,0.13581,0.12134,0.13237,1560470400,7141877.6
66,0.131,0.13131,0.12408,0.12793,1560556800,4359873.4
67,0.12727,0.131,0.12525,0.13059,1560643200,3545865.8
68,0.12901,0.13127,0.12653,0.12727,1560729600,3102025.5
69,0.12748,0.1291,0.12253,0.12901,1560816000,2142232.6
70,0.1285,0.12913,0.12539,0.12724,1560902400,1223594.9
71,0.1286,0.1334,0.12506,0.1285,1560988800,3316997.0
72,0.12525,0.1291,0.12323,0.12866,1561075200,2939786.7
73,0.1322,0.13403,0.12277,0.12478,1561161600,6759831.3
74,0.13024,0.13401,0.12793,0.1328,1561248000,3039228.3
75,0.13324,0.13475,0.12685,0.12973,1561334400,3774662.9
