,c,h,l,o,t,v
0,0.02681,0.02737,0.02549,0.02569,1549584000,590828159.7
1,0.02623,0.02767,0.02601,0.0268,1549670400,518065655.8
2,0.02579,0.02633,0.02489,0.02623,1549756800,607353046.1
3,0.02457,0.02625,0.02406,0.02579,1549843200,700500759.9
4,0.02441,0.02482,0.024,0.02456,1549929600,459412785.1
5,0.02406,0.0253,0.02345,0.02441,1550016000,422816770.1
6,0.0233,0.02441,0.02312,0.02407,1550102400,229078818.1
7,0.0237,0.0241,0.02327,0.0233,1550188800,256082232.0
8,0.02356,0.02391,0.02346,0.0237,1550275200,175050883.2
9,0.02378,0.02402,0.02343,0.02356,1550361600,190730523.0
10,0.0249,0.02516,0.02376,0.02379,1550448000,546475818.8
11,0.0248,0.02598,0.02467,0.0249,1550534400,603795953.8
12,0.025,0.02538,0.02412,0.02481,1550620800,371243183.2
13,0.02471,0.02528,0.0243,0.02497,1550707200,254685888.3
14,0.0249,0.02502,0.0245,0.02471,1550793600,217724892.3
15,0.02528,0.02538,0.02471,0.0249,1550880000,307453778.6
16,0.02327,0.02747,0.02203,0.02525,1550966400,1359544600.4
17,0.02407,0.02451,0.02326,0.02326,1551052800,558573703.8
18,0.02411,0.02448,0.02362,0.02407,1551139200,329205880.4
19,0.02394,0.0242,0.02323,0.02413,1551225600,224430312.9
20,0.02364,0.02407,0.02329,0.02395,1551312000,212561488.5
21,0.02349,0.02377,0.02339,0.02365,1551398400,160875186.5
22,0.02267,0.02356,0.02219,0.02349,1551484800,306382110.1
23,0.02248,0.02299,0.02227,0.02268,1551571200,144563110.6
24,0.02277,0.02304,0.02049,0.02248,1551657600,616476950.9
25,0.02375,0.02394,0.02202,0.02278,1551744000,564424988.0
26,0.02318,0.02383,0.02285,0.02374,1551830400,321349025.1
27,0.02294,0.02348,0.02282,0.02318,1551916800,264670024.1
28,0.02233,0.02298,0.02217,0.02293,1552003200,253952447.5
29,0.02277,0.02289,0.02201,0.02233,1552089600,249144926.9
30,0.02285,0.02316,0.02225,0.02279,1552176000,227404724.8
31,0.02208,0.02305,0.02178,0.02283,1552262400,278171479.9
32,0.02227,0.02257,0.02171,0.0221,1552348800,126291826.0
33,0.02221,0.02243,0.0218,0.02226,1552435200,148357886.8
34,0.02242,0.0229,0.02201,0.0222,1552521600,255092893.8
35,0.02295,0.0231,0.02233,0.02243,1552608000,246002462.5
36,0.02313,0.02355,0.02283,0.02297,1552694400,351144788.6
37,0.0229,0.02315,0.02266,0.02314,1552780800,158980367.3
