,c,h,l,o,t,v
0,1.0116,1.0179,1.0029,1.0118,1549584000,9148899.15
1,1.0121,1.019,1.0094,1.0115,1549670400,4364810.68
2,1.0091,1.0128,1.0084,1.0123,1549756800,4045074.16
3,1.0112,1.0135,1.0072,1.0091,1549843200,3173130.29
4,1.0122,1.0152,1.0095,1.0113,1549929600,7032726.66
5,1.0102,1.0128,1.0091,1.0116,1550016000,4756909.39
6,1.0091,1.012,1.0074,1.0102,1550102400,5855997.14
7,1.0102,1.0121,1.0064,1.0093,1550188800,7216369.96
8,1.0102,1.0111,1.0075,1.0101,1550275200,4216722.76
9,1.0124,1.0136,1.0086,1.0102,1550361600,7777655.12
10,1.0083,1.0156,1.001,1.0125,1550448000,15452409.05
11,1.0045,1.0102,1.0019,1.0083,1550534400,10720101.3
12,1.0067,1.0102,1.001,1.0048,1550620800,9455959.27
13,1.0087,1.011,1.0053,1.0067,1550707200,7288010.63
14,1.0061,1.0104,1.0057,1.0089,1550793600,3652202.47
15,1.0014,1.0073,0.9994,1.0061,1550880000,8099651.01
16,1.0034,1.0087,0.998,1.0015,1550966400,14758635.54
17,1.0029,1.0084,1.001,1.0033,1551052800,11262564.25
18,1.0037,1.006,1.0012,1.0031,1551139200,6150023.54
19,1.0048,1.0084,1.0019,1.0036,1551225600,6127967.66
20,1.0055,1.0059,1.0005,1.0048,1551312000,5194170.45
21,1.0043,1.0078,1.0031,1.0056,1551398400,4826784.03
22,1.0033,1.0067,1.0011,1.0046,1551484800,3985284.95
23,1.005,1.0057,1.0025,1.0035,1551571200,2570155.46
24,1.004,1.0059,1.0,1.005,1551657600,6837407.52
25,1.0028,1.0058,1.0008,1.0042,1551744000,8583496.17
26,1.0035,1.0041,1.0,1.0027,1551830400,6557140.29
27,1.004,1.005,1.002,1.0033,1551916800,4921118.02
28,1.0062,1.0087,1.0023,1.0042,1552003200,5406935.96
29,1.0059,1.008,1.003,1.0061,1552089600,3480161.76
30,1.0051,1.0062,1.0031,1.0059,1552176000,2491818.24
31,1.0051,1.007,1.0035,1.0045,1552262400,3816587.33
32,1.0051,1.0068,1.003,1.0048,1552348800,4514481.37
33,1.0035,1.0062,1.003,1.0052,1552435200,3594105.29
34,1.0068,1.0085,1.0012,1.0037,1552521600,10792617.75
35,1.0073,1.0104,1.0059,1.0068,1552608000,6338220.21
36,1.0051,1.0098,1.004,1.0073,1552694400,5763341.27
37,1.005,1.0077,1.0043,1.0051,1552780800,4519065.51
38,1.0042,1.0068,1.003,1.0051,1552867200,3818515.88
