,c,h,l,o,t,v
0,1.0097,1.019,1.005,1.0116,1549584000,3010113.08
1,1.0106,1.014,1.007,1.0097,1549670400,1733489.76
2,1.0089,1.0119,1.0071,1.0108,1549756800,1629133.17
3,1.0123,1.014,1.0066,1.0078,1549843200,1456394.53
4,1.0121,1.0165,1.0103,1.0124,1549929600,2181907.28
5,1.0103,1.0136,1.0092,1.0116,1550016000,1971815.54
6,1.01,1.0136,1.0077,1.0104,1550102400,1993371.41
7,1.0114,1.0122,1.0075,1.0096,1550188800,1453390.79
8,1.0108,1.0114,1.0085,1.011,1550275200,1183662.66
9,1.0123,1.015,1.0101,1.0104,1550361600,1282710.39
10,1.0072,1.0215,1.0051,1.0126,1550448000,4142284.49
11,1.0076,1.0137,1.0033,1.0072,1550534400,3162557.04
12,1.008,1.0136,1.0035,1.0076,1550620800,2986338.21
13,1.0098,1.0111,1.0064,1.008,1550707200,2349742.94
14,1.0068,1.011,1.0064,1.009,1550793600,1812374.71
15,1.0043,1.01,1.0003,1.0069,1550880000,2210334.54
16,1.0035,1.015,1.0002,1.0043,1550966400,5544085.86
17,1.0035,1.0086,1.0011,1.0035,1551052800,3203939.75
18,1.0047,1.0094,1.0021,1.0035,1551139200,1814414.44
19,1.006,1.0079,1.0021,1.0046,1551225600,2349188.66
20,1.0058,1.0064,1.002,1.0053,1551312000,2067937.39
21,1.0046,1.0082,1.003,1.0058,1551398400,1989449.38
22,1.003,1.0067,1.0018,1.0046,1551484800,1178686.78
23,1.0058,1.006,1.0022,1.0032,1551571200,1081911.4
24,1.0041,1.0067,1.001,1.0058,1551657600,3319041.9
25,1.0028,1.0064,1.0015,1.0046,1551744000,3750299.99
26,1.0026,1.005,1.0011,1.0035,1551830400,2025212.59
27,1.0042,1.006,1.0015,1.0026,1551916800,2085128.84
28,1.0069,1.0079,1.0032,1.0042,1552003200,2253067.59
29,1.0052,1.0079,1.0035,1.0063,1552089600,1308956.82
30,1.0048,1.0059,1.003,1.0052,1552176000,1348332.13
31,1.0056,1.0074,1.0028,1.0055,1552262400,2256097.62
32,1.0055,1.0074,1.0002,1.0056,1552348800,1564039.05
33,1.0044,1.006,1.003,1.0055,1552435200,1398838.16
34,1.0062,1.0105,1.0033,1.0034,1552521600,3125349.17
35,1.0062,1.01,1.0053,1.0067,1552608000,1528324.92
36,1.0046,1.0084,1.0025,1.0067,1552694400,3534016.14
37,1.0042,1.0063,1.0036,1.0041,1552780800,2960514.95
38,1.0047,1.0069,1.0036,1.0042,1552867200,2835275.0
39,1.0042,1.0064,1.004,1.0042,1552953600,1785006.87
40,1.0029,1.0064,1.0021,1.0044,1553040000,2373454.02
41,1.0027,1.0056,1.0,1.0029,1553126400,4492130.23
42,1.0023,1.0041,1.0008,1.0018,1553212800,1523660.36
43,1.0063,1.007,1.0012,1.0023,1553299200,1580208.75
44,1.005,1.0063,1.003,1.0063,1553385600,1276332.63
45,1.0067,1.0089,1.0008,1.005,1553472000,4079921.2
46,1.0068,1.0086,1.0035,1.0069,1553558400,1518897.45
47,1.0026,1.0081,1.0019,1.0063,1553644800,2831675.72
48,1.0045,1.005,1.0016,1.0021,1553731200,1516290.07
49,1.0027,1.005,1.0018,1.0045,1553817600,2066700.75
50,1.0022,1.0049,1.0013,1.0027,1553904000,1432274.65
51,1.0025,1.0039,1.0016,1.0027,1553990400,1288488.66
52,1.0021,1.0044,1.0011,1.0025,1554076800,3019347.2
53,0.9922,1.0049,0.9731,1.0024,1554163200,9070509.37
54,0.9939,0.9996,0.9825,0.9921,1554249600,10676399.16
55,0.9974,0.9996,0.988,0.9939,1554336000,5004431.78
56,0.9935,1.0036,0.9921,0.9974,1554422400,3250103.6
57,0.9998,1.001,0.9919,0.9935,1554508800,3493783.0
58,0.9954,1.0002,0.9925,0.9991,1554595200,3788699.75
59,0.9902,0.9993,0.981,0.9964,1554681600,4972439.37
60,0.993,0.994,0.9832,0.9899,1554768000,3002838.95
61,0.9969,0.9995,0.988,0.993,1554854400,4362042.31
62,0.9948,0.9983,0.9881,0.9969,1554940800,5280473.63
63,0.9941,0.997,0.99,0.9948,1555027200,3537886.99
64,0.9948,0.9955,0.9921,0.994,1555113600,2047395.19
65,0.9933,0.9968,0.9929,0.9947,1555200000,2287931.9
66,0.9994,1.001,0.9931,0.9933,1555286400,4392482.87
67,0.9939,1.0008,0.9932,0.9994,1555372800,2792129.04
68,0.9953,0.9966,0.9929,0.9939,1555459200,2230460.68
69,0.9951,0.9982,0.9931,0.9953,1555545600,4335728.54
70,0.995,0.9983,0.995,0.9951,1555632000,3532605.03
71,0.9943,0.9983,0.9943,0.995,1555718400,3720446.74
72,0.9921,0.996,0.9912,0.9944,1555804800,4075604.46
73,0.9948,0.9956,0.9916,0.9921,1555891200,2704204.6
74,0.9937,0.997,0.9927,0.9947,1555977600,2830178.89
75,0.9951,0.9956,0.9915,0.9937,1556064000,4783104.44
76,1.0167,1.0799,0.9944,0.9951,1556150400,12392732.68
77,1.0318,1.045,1.0163,1.0167,1556236800,22215230.63
78,1.0243,1.0333,1.0232,1.0318,1556323200,4865391.91
79,1.0302,1.0332,1.0238,1.0243,1556409600,3278836.8
80,1.0184,1.0309,1.016,1.0302,1556496000,7615723.75
81,1.0098,1.0199,1.009,1.018,1556582400,6708100.96
82,1.0121,1.017,1.0061,1.0098,1556668800,7972016.77
83,1.0199,1.0249,1.0118,1.012,1556755200,5275587.08
84,1.0192,1.028,1.0073,1.0199,1556841600,9994634.62
85,1.0107,1.0226,1.007,1.0198,1556928000,6272471.21
86,1.0097,1.0141,1.0075,1.0111,1557014400,3088402.71
87,1.011,1.0145,1.0085,1.0102,1557100800,4937369.5
88,1.0175,1.0195,1.0055,1.011,1557187200,7762028.05
89,1.0091,1.0249,1.007,1.0169,1557273600,4203259.84
90,1.0104,1.0159,1.006,1.0092,1557360000,5790827.17
91,1.0091,1.0163,1.0061,1.0107,1557446400,4283712.86
92,1.0018,1.0182,0.997,1.0093,1557532800,18269314.23
93,1.0041,1.0155,0.9975,1.0018,1557619200,13426866.23
94,0.999,1.0057,0.9887,1.0041,1557705600,13043875.66
95,0.996,1.0066,0.9905,0.999,1557792000,13627170.87
96,0.9959,1.002,0.9929,0.9964,1557878400,8981773.72
97,0.9986,1.0043,0.9924,0.9957,1557964800,18877417.99
98,0.9981,1.0247,0.995,0.9985,1558051200,17801361.74
99,0.9994,1.0013,0.9947,0.9986,1558137600,7626666.99
100,0.9942,1.0006,0.99,0.9992,1558224000,12551144.88
101,0.9917,1.0,0.991,0.9939,1558310400,10050709.52
102,0.994,0.9971,0.991,0.9915,1558396800,12143484.77
103,1.0008,1.012,0.993,0.9936,1558483200,10939974.97
104,0.9967,1.0018,0.9951,1.0003,1558569600,7107961.3
105,0.996,0.9986,0.9913,0.9965,1558656000,8985925.91
106,0.9949,0.9974,0.9925,0.996,1558742400,6772852.4
107,0.9866,0.9985,0.9852,0.9945,1558828800,9570287.69
108,0.997,0.9999,0.9856,0.987,1558915200,14789334.95
109,0.9991,1.0,0.9938,0.9969,1559001600,7234647.59
110,0.9978,1.0018,0.9959,0.9987,1559088000,11556824.41
111,0.9989,1.01,0.9955,0.9978,1559174400,17443585.49
112,0.9993,1.0044,0.9981,0.9993,1559260800,7968367.54
113,0.9985,1.0019,0.9972,0.9993,1559347200,6286545.14
114,0.9984,0.9999,0.995,0.9986,1559433600,6530597.96
115,1.0016,1.007,0.9965,0.9985,1559520000,10576216.98
116,1.0033,1.01,0.9981,1.0016,1559606400,17141217.17
117,0.9982,1.0042,0.9973,1.003,1559692800,10020952.83
118,0.9976,1.0007,0.9962,0.9983,1559779200,6286039.55
119,0.9971,0.999,0.9947,0.9975,1559865600,5798600.45
120,0.9962,0.9988,0.9939,0.997,1559952000,3426963.07
121,0.9988,0.9999,0.9946,0.9962,1560038400,4474760.68
122,0.9951,0.9992,0.993,0.9987,1560124800,6113678.53
123,0.996,0.998,0.9942,0.995,1560211200,8278806.35
124,0.9949,0.9966,0.9925,0.996,1560297600,10414312.96
125,0.9976,0.999,0.9938,0.9949,1560384000,7753559.84
126,0.9956,0.999,0.9944,0.9975,1560470400,8335067.44
127,0.9953,0.9976,0.9943,0.9956,1560556800,8800492.41
128,0.9975,1.0006,0.9931,0.9953,1560643200,11634253.27
129,0.9976,0.998,0.9938,0.9976,1560729600,8530431.31
130,1.0001,1.0024,0.9955,0.9974,1560816000,8571274.76
131,0.9972,1.002,0.9967,1.0001,1560902400,5757322.05
132,0.9973,0.9988,0.9947,0.9974,1560988800,6475211.12
133,0.995,0.9999,0.995,0.9973,1561075200,10562385.68
134,1.0039,1.0046,0.99,0.9951,1561161600,20860340.84
135,1.0064,1.0137,1.0029,1.0043,1561248000,9451495.14
136,1.0022,1.01,1.0003,1.0064,1561334400,7305965.95
137,1.0047,1.0085,1.0002,1.0022,1561420800,9252557.57
138,1.0132,1.0498,0.9983,1.0048,1561507200,27990486.26
139,1.0163,1.03,1.0045,1.0134,1561593600,23162463.04
140,1.0044,1.0259,1.0011,1.0166,1561680000,12840119.07
141,1.0005,1.0117,1.0005,1.0044,1561766400,11746963.98
142,1.0101,1.0144,0.9986,1.0006,1561852800,9953087.06
143,1.0044,1.0136,1.0029,1.0098,1561939200,10558579.38
144,1.0009,1.0104,0.9997,1.0044,1562025600,14914449.69
145,0.9974,1.0019,0.9946,1.0009,1562112000,12799882.4
146,1.0002,1.0032,0.9942,0.9973,1562198400,9495314.59
147,0.9992,1.004,0.9959,1.0002,1562284800,6261076.02
148,1.0001,1.0006,0.994,0.9992,1562371200,7690641.32
149,0.994,1.0013,0.9935,1.0001,1562457600,6616600.56
150,0.9967,0.9983,0.9915,0.994,1562544000,9984318.89
151,0.9975,1.0032,0.9911,0.9967,1562630400,15322363.68
152,1.0008,1.007,0.9968,0.9981,1562716800,19906058.42
153,1.0001,1.003,0.996,1.0008,1562803200,18947193.87
154,0.9973,1.0017,0.9951,1.0001,1562889600,11852540.08
155,0.9993,1.0038,0.9955,0.9973,1562976000,9081300.06
156,0.9996,1.006,0.9975,0.9992,1563062400,11065533.26
157,0.9993,1.0012,0.9971,0.9996,1563148800,12049760.12
158,1.0008,1.0046,0.9966,0.9991,1563235200,17828982.94
159,0.9977,1.0016,0.9967,1.0008,1563321600,14488261.0
160,0.9979,1.0016,0.9951,0.998,1563408000,13348352.45
161,0.9979,1.0011,0.996,0.998,1563494400,10230072.41
162,0.9976,0.9999,0.9956,0.9979,1563580800,8940472.08
163,1.0002,1.0012,0.997,0.9976,1563667200,5473277.57
164,1.0021,1.0049,0.999,1.0001,1563753600,8359368.92
165,1.0012,1.0028,0.9993,1.0019,1563840000,6412648.15
166,0.9998,1.0034,0.9992,1.0012,1563926400,7205414.34
167,0.9997,1.0006,0.998,0.9995,1564012800,7650720.64
168,0.9993,1.0009,0.9983,0.9996,1564099200,5925178.1
169,1.001,1.0045,0.9971,0.999,1564185600,11882057.72
170,1.0006,1.0067,0.9984,1.001,1564272000,5926846.69
171,1.0013,1.0071,0.9998,1.0006,1564358400,8737957.9
172,0.9984,1.0029,0.9975,1.0013,1564444800,8651603.1
173,0.9989,1.0002,0.9973,0.9982,1564531200,6968850.85
174,0.9974,1.001,0.9973,0.9988,1564617600,9762987.32
175,1.0001,1.0012,0.9973,0.9977,1564704000,11713418.44
176,0.9992,1.0011,0.9975,1.0001,1564790400,6493167.31
177,0.9964,0.9999,0.9953,0.9992,1564876800,6945417.93
178,1.0009,1.0009,0.9955,0.9964,1564963200,14245852.18
179,1.0015,1.005,0.9979,1.0009,1565049600,15130227.76
180,1.0004,1.0037,1.0,1.0016,1565136000,12902846.14
181,1.001,1.0055,1.0001,1.0002,1565222400,10870389.11
182,1.0018,1.0037,1.0001,1.0006,1565308800,6959527.65
183,1.0029,1.02,1.0002,1.0018,1565395200,10581354.28
184,1.0007,1.0041,0.9998,1.0026,1565481600,4800417.6
185,1.0015,1.0029,1.0002,1.0009,1565568000,6870872.53
186,1.0036,1.0068,1.0007,1.0015,1565654400,5821445.56
187,1.0034,1.0073,1.0017,1.0033,1565740800,9472276.99
188,1.0007,1.0067,1.0001,1.0034,1565827200,10534796.46
189,0.9993,1.0062,0.9985,1.0011,1565913600,10304513.6
190,1.0003,1.0015,0.9985,0.9995,1566000000,5134201.42
191,0.9991,1.001,0.9983,1.0007,1566086400,4024116.1
192,0.9992,1.0006,0.9974,0.999,1566172800,6631372.44
193,0.9996,1.0017,0.9987,0.9992,1566259200,6453603.27
194,1.0013,1.0041,0.9993,0.9998,1566345600,7247242.92
195,0.9991,1.0025,0.9987,1.0016,1566432000,6360820.61
196,0.9987,1.0006,0.9976,0.9993,1566518400,8450787.08
197,0.999,1.0005,0.9973,0.9987,1566604800,5440055.32
198,1.0001,1.0015,0.9981,0.9991,1566691200,7119510.64
199,1.0017,1.0032,0.9971,1.0001,1566777600,12051768.33
200,1.001,1.0029,1.0,1.002,1566864000,5133894.5
201,1.0006,1.0077,1.0004,1.0011,1566950400,15425569.34
202,1.0004,1.0024,0.9996,1.0006,1567036800,6984424.27
203,0.9993,1.0018,0.9987,1.0004,1567123200,6353142.03
204,0.9994,1.0005,0.999,0.9993,1567209600,3641837.12
205,0.9976,1.0,0.9975,0.9993,1567296000,4483868.19
206,0.9977,1.001,0.9965,0.9976,1567382400,13709777.61
207,0.9984,1.0002,0.997,0.9975,1567468800,12858614.44
208,0.9988,1.0003,0.9972,0.9985,1567555200,12886087.91
209,0.9992,1.0011,0.9982,0.9991,1567641600,6364738.93
210,0.9991,1.0026,0.9965,0.9993,1567728000,15054466.81
211,0.9972,1.0005,0.9972,0.9989,1567814400,4097260.27
212,0.9988,0.9993,0.9967,0.9972,1567900800,2826286.82
213,0.9991,1.0011,0.998,0.9985,1567987200,8616005.85
214,1.0004,1.0025,0.9988,0.9991,1568073600,8747582.89
215,1.0001,1.0028,1.0,1.0005,1568160000,4778762.61
216,0.9987,1.0014,0.9985,1.0001,1568246400,4412163.84
217,0.9981,1.0011,0.9979,0.9988,1568332800,5269552.47
218,0.9974,0.9997,0.9973,0.9981,1568419200,3253022.74
219,0.9988,0.9995,0.9972,0.9977,1568505600,2155260.16
220,0.9986,1.0017,0.998,0.9988,1568592000,8659149.73
221,0.9997,1.0007,0.9972,0.9988,1568678400,15655070.01
222,0.9999,1.001,0.9985,1.0,1568764800,12019129.6
223,0.9977,1.0049,0.9942,0.9999,1568851200,16902247.6
224,1.0004,1.0017,0.9977,0.9979,1568937600,9131173.41
225,1.0008,1.0012,0.9996,1.0004,1569024000,3748384.85
226,1.0002,1.0016,0.9997,1.0009,1569110400,5678089.34
227,1.0008,1.0033,0.9999,1.0001,1569196800,9435786.23
228,0.9965,1.0099,0.9879,1.0007,1569283200,24708837.4
229,0.9997,1.0006,0.9962,0.9965,1569369600,9703127.5
230,0.9997,1.002,0.9984,0.9997,1569456000,9989741.47
231,0.9982,1.0015,0.9975,0.9999,1569542400,7152083.98
232,0.9982,0.9996,0.997,0.9982,1569628800,8700744.3
233,0.9982,0.9999,0.9978,0.9982,1569715200,5661595.02
234,0.9977,1.0008,0.9974,0.9983,1569801600,7685616.16
235,0.9975,0.9989,0.9967,0.9977,1569888000,6699989.15
236,0.9977,1.0,0.9972,0.9975,1569974400,9654897.65
237,0.9985,0.9998,0.9972,0.9975,1570060800,12086779.14
238,0.998,0.9999,0.9976,0.9986,1570147200,8320800.9
239,0.9981,0.9995,0.9978,0.9978,1570233600,8595338.43
240,0.9997,1.0001,0.9973,0.998,1570320000,11839941.83
241,0.9978,0.9999,0.9975,0.9997,1570406400,14001637.68
242,0.9989,1.0,0.9975,0.9978,1570492800,9750122.89
243,0.9976,1.0007,0.9975,0.999,1570579200,15947839.25
244,0.997,0.9989,0.9966,0.9976,1570665600,14794394.99
245,0.9992,0.9999,0.9966,0.9971,1570752000,10535994.29
246,0.9993,1.0005,0.9981,0.9991,1570838400,5370370.51
247,0.9994,1.0,0.9978,0.9993,1570924800,5172483.59
248,0.9995,0.9999,0.9985,0.9994,1571011200,4757813.74
249,1.0006,1.0009,0.9988,0.9993,1571097600,6662430.84
250,0.9996,1.001,0.9993,1.0003,1571184000,7541863.41
251,0.9997,1.0007,0.9991,0.9996,1571270400,7326141.69
252,0.9991,1.0003,0.9986,0.9996,1571356800,7813064.32
253,0.9991,1.0,0.9986,0.9993,1571443200,2134514.18
254,0.9983,1.0,0.9982,0.9988,1571529600,4402742.59
255,0.9984,0.9999,0.9978,0.9986,1571616000,7196910.42
256,0.9992,0.9999,0.9976,0.9982,1571702400,8126674.13
257,0.9995,1.001,0.9986,0.9991,1571788800,15657420.24
258,0.998,1.0,0.9976,0.9995,1571875200,8059063.07
259,0.9984,0.9998,0.985,0.9983,1571961600,16351014.04
260,0.9977,0.9998,0.9911,0.9984,1572048000,23719660.8
261,0.9972,0.9989,0.9964,0.9977,1572134400,10617198.38
262,0.998,0.9991,0.9963,0.9975,1572220800,12379457.84
263,0.9981,0.9999,0.9974,0.9981,1572307200,11355535.66
264,0.9992,1.0006,0.9972,0.9979,1572393600,11331099.93
265,0.9988,1.0002,0.9981,0.9989,1572480000,8373949.65
266,0.9987,1.0002,0.9982,0.9988,1572566400,8839233.32
267,0.9986,0.9992,0.9977,0.9988,1572652800,5758116.49
268,0.9991,0.9999,0.9979,0.9986,1572739200,3444819.33
269,0.9981,1.0002,0.9921,0.9992,1572825600,11237306.95
270,0.9991,0.9999,0.9974,0.9981,1572912000,8167502.89
271,1.0001,1.0007,0.9986,0.9989,1572998400,6484233.01
272,1.0011,1.0023,0.9998,1.0001,1573084800,8704519.31
273,1.0014,1.0048,1.0007,1.0011,1573171200,8962928.14
274,1.0005,1.0018,1.0002,1.0014,1573257600,3470950.33
275,1.0003,1.001,0.9994,1.0005,1573344000,4066582.48
276,1.0015,1.0035,1.0001,1.0003,1573430400,6803096.5
277,1.0008,1.0036,1.0002,1.0014,1573516800,7585080.34
278,1.0014,1.0032,0.9999,1.0008,1573603200,7036205.71
279,1.0024,1.0042,1.001,1.0017,1573689600,5303384.29
280,1.0019,1.0042,1.0012,1.0024,1573776000,5106162.54
281,1.0013,1.0019,1.0003,1.0015,1573862400,4160390.0
282,1.0003,1.0017,1.0,1.001,1573948800,3938218.83
