,c,h,l,o,t,v
0,0.9989,1.209,0.9621,0.9621,1561334400,50457.88
1,0.9971,1.0067,0.9922,0.9987,1561420800,22129.33
2,1.0088,1.016,0.9973,1.0054,1561507200,14393.47
3,1.012,1.8,0.9957,1.017,1561593600,41735.74
4,1.0061,1.198,0.9915,1.018,1561680000,193547.56
5,1.0,1.0325,0.9961,0.9979,1561766400,47296.3
6,1.0071,1.0078,0.9929,1.0012,1561852800,38917.74
7,1.0014,1.0061,0.9941,1.0057,1561939200,24715.54
8,0.9975,1.0043,0.9969,1.0014,1562025600,8224.32
9,0.9955,1.0028,0.992,0.9975,1562112000,18799.0
10,0.9946,0.9983,0.9813,0.9947,1562198400,28017.52
11,0.9964,0.9973,0.992,0.9946,1562284800,8195.58
12,0.9981,1.0,0.9842,0.9931,1562371200,6864.23
13,0.9955,1.0025,0.992,0.9951,1562457600,14382.35
14,0.9974,1.0,0.9905,0.9955,1562544000,11455.79
15,0.9963,0.9974,0.9855,0.9974,1562630400,11871.94
16,0.9999,0.9999,0.9924,0.9924,1562716800,6507.02
17,0.999,1.0076,0.9923,0.9999,1562803200,11743.71
18,0.995,1.002,0.9945,0.9957,1562889600,4862.53
19,1.0014,1.0014,0.9932,0.995,1562976000,2737.01
20,0.9967,1.0059,0.991,1.0014,1563062400,10681.3
21,0.9989,1.0542,0.9967,0.9967,1563148800,17349.94
22,0.9995,1.0005,0.9936,0.997,1563235200,6915.56
23,0.995,1.003,0.9928,0.9989,1563321600,21416.48
24,0.9977,1.48,0.9912,0.9957,1563408000,23190.34
25,0.9986,1.0054,0.99,0.9997,1563494400,27332.97
26,0.9994,1.007,0.9935,0.997,1563580800,3495.03
27,0.9989,1.0,0.9947,0.9994,1563667200,6096.07
28,1.0053,1.0069,0.9974,0.9976,1563753600,7713.52
29,0.9982,1.0063,0.9978,1.0063,1563840000,6051.01
30,0.9974,1.004,0.9974,0.9978,1563926400,3870.07
31,0.9975,1.3,0.9961,1.0018,1564012800,45434.89
32,0.9988,1.0075,0.9968,0.9977,1564099200,14509.04
33,0.9978,1.003,0.9973,0.9973,1564185600,8456.63
34,0.9995,1.0056,0.9995,1.0009,1564272000,6802.43
35,0.9999,1.0048,0.9994,1.0033,1564358400,1690.98
36,0.9972,1.035,0.9971,1.0045,1564444800,16786.54
37,0.9999,1.0008,0.997,0.9972,1564531200,5654.86
38,0.9957,1.0,0.9955,0.9972,1564617600,16385.12
39,0.9985,1.004,0.9958,0.9958,1564704000,21435.09
40,0.9974,1.0013,0.996,0.9992,1564790400,17156.53
41,0.995,0.9974,0.995,0.9961,1564876800,5798.77
42,0.9954,0.9991,0.9942,0.9973,1564963200,7491.04
43,0.9989,1.0,0.996,0.9987,1565049600,3630.05
44,0.998,1.0019,0.9965,0.9989,1565136000,28856.96
45,0.9984,1.003,0.998,1.0,1565222400,11564.98
46,1.0019,1.0019,0.9983,1.0009,1565308800,1432.43
47,1.0028,1.0028,0.9984,0.9986,1565395200,3460.66
48,1.0,1.0032,0.9989,1.0028,1565481600,2666.59
49,1.0,1.0,0.9985,0.9987,1565568000,2509.47
50,0.9987,1.003,0.9986,0.9986,1565654400,9690.07
51,0.9985,1.003,0.9985,1.0025,1565740800,29490.6
52,1.0005,1.0024,0.9986,0.9986,1565827200,2057.03
53,0.9982,1.0005,0.9971,1.0005,1565913600,12384.66
54,0.9971,0.9982,0.9971,0.9982,1566000000,2681.4
55,1.001,1.001,0.9967,0.9999,1566086400,910.75
56,0.9985,1.0005,0.9968,0.9969,1566172800,1031.6
57,0.997,1.0002,0.997,1.0002,1566259200,119.45
58,1.0017,1.0019,0.9971,1.0002,1566345600,2211.86
59,0.9978,1.0019,0.9975,1.0017,1566432000,1485.15
60,1.0008,1.0008,0.9974,0.9978,1566518400,1489.06
61,0.9986,1.0009,0.996,1.0008,1566604800,2369.15
62,0.9988,0.9988,0.9952,0.9974,1566691200,999.51
63,1.0007,1.0007,0.9958,0.9961,1566777600,3771.8
64,1.0005,1.0007,0.9973,1.0007,1566864000,235.32
65,0.9975,1.0007,0.9974,0.999,1566950400,4250.97
66,0.9968,1.0007,0.9966,1.0005,1567036800,16134.96
67,0.9971,0.9996,0.997,0.9977,1567123200,129.02
68,0.9971,0.9971,0.9971,0.9971,1567209600,94.75
69,1.0003,1.0003,0.9971,0.9999,1567296000,126.49
70,0.9956,0.9985,0.9954,0.9971,1567382400,2872.17
71,0.9976,1.0001,0.9956,0.9956,1567468800,1394.28
72,0.999,0.9996,0.9958,0.9976,1567555200,2208.24
