,c,h,l,o,t,v
0,1.0086,1.05,0.9578,1.05,1550102400,63787.63
1,1.0098,1.0121,1.0069,1.0076,1550188800,40911.78
2,1.01,1.011,1.0067,1.0095,1550275200,33023.79
3,1.0109,1.0149,1.0099,1.0101,1550361600,135012.58
4,1.0073,1.0147,1.0005,1.0109,1550448000,185620.79
5,1.0063,1.0089,1.002,1.0078,1550534400,103160.36
6,1.007,1.0097,1.0011,1.0045,1550620800,130820.92
7,1.0098,1.0102,1.0057,1.0083,1550707200,189701.18
8,1.0053,1.014,1.0047,1.0102,1550793600,218861.57
9,1.0008,1.0077,0.9987,1.0053,1550880000,145169.16
10,1.0024,1.0074,0.9977,1.0014,1550966400,677431.25
11,1.0033,1.0077,1.0009,1.0022,1551052800,217080.69
12,1.0039,1.0059,1.0013,1.0037,1551139200,58393.23
13,1.0051,1.0071,0.9992,1.0027,1551225600,135221.77
14,1.0043,1.0057,1.0003,1.0053,1551312000,121000.23
15,1.0045,1.0083,1.0025,1.0043,1551398400,43590.27
16,1.003,1.0058,1.0004,1.0046,1551484800,41785.73
17,1.0053,1.0053,1.0016,1.0031,1551571200,25500.37
18,1.002,1.0062,0.9997,1.0054,1551657600,90236.29
19,1.0023,1.0059,1.0009,1.0037,1551744000,75311.3
20,1.0029,1.0041,1.0009,1.0033,1551830400,63030.78
21,1.0037,1.0056,1.0014,1.0032,1551916800,58611.32
22,1.0065,1.0075,1.0024,1.003,1552003200,108820.24
23,1.0062,1.0076,1.003,1.0065,1552089600,155491.67
24,1.0056,1.006,1.0028,1.0046,1552176000,25022.51
25,1.0051,1.0075,1.0027,1.0056,1552262400,67263.11
26,1.0048,1.0087,1.0001,1.0051,1552348800,72881.93
27,1.0047,1.0067,1.0027,1.0056,1552435200,40602.38
28,1.0071,1.0083,1.0029,1.0033,1552521600,135441.89
29,1.0057,1.0091,1.0009,1.0062,1552608000,81792.99
30,1.003,1.0077,1.0022,1.005,1552694400,128572.74
31,1.0045,1.0056,1.0,1.0034,1552780800,33738.2
32,1.0044,1.0059,1.0023,1.0035,1552867200,45301.44
33,1.0046,1.0068,1.003,1.0048,1552953600,33526.07
34,1.0024,1.0062,1.0015,1.004,1553040000,54634.78
35,1.0002,1.0034,0.9953,1.0021,1553126400,165824.45
