,c,h,l,o,t,v
0,0.003957,0.004104,0.003655,0.003686,1549584000,385706930.0
1,0.004018,0.004023,0.0039,0.003957,1549670400,246839893.0
2,0.004022,0.004127,0.003908,0.004013,1549756800,316575696.0
3,0.003905,0.004024,0.003876,0.004022,1549843200,211524414.0
4,0.003923,0.003955,0.003801,0.003904,1549929600,208718450.0
5,0.003852,0.003972,0.003817,0.003916,1550016000,178407848.0
6,0.003861,0.003931,0.00381,0.003854,1550102400,130263644.0
7,0.003929,0.00397,0.003826,0.00386,1550188800,257749673.0
8,0.004089,0.00419,0.003906,0.003924,1550275200,488646980.0
9,0.004118,0.004196,0.00398,0.004089,1550361600,335022012.0
10,0.004344,0.0044,0.004083,0.004116,1550448000,503231548.0
11,0.00427,0.004469,0.004249,0.00434,1550534400,567320728.0
12,0.004336,0.004356,0.004155,0.004274,1550620800,329906597.0
13,0.004464,0.004677,0.004274,0.004336,1550707200,772580863.0
14,0.004761,0.004963,0.004445,0.004472,1550793600,1084953330.0
15,0.004885,0.004958,0.004632,0.004762,1550880000,834769638.0
16,0.004336,0.005042,0.004152,0.004875,1550966400,1213546045.0
17,0.004541,0.004644,0.00429,0.00435,1551052800,690177280.0
18,0.00456,0.004735,0.004467,0.004539,1551139200,563067192.0
19,0.004537,0.004719,0.004368,0.00456,1551225600,448255282.0
20,0.004552,0.004585,0.004411,0.004542,1551312000,317517540.0
21,0.004555,0.004635,0.004509,0.004551,1551398400,178533691.0
22,0.004467,0.004561,0.004421,0.00456,1551484800,184821771.0
23,0.004398,0.004504,0.004358,0.00447,1551571200,150338475.0
24,0.004206,0.004437,0.004022,0.004399,1551657600,367078030.0
25,0.004332,0.0044,0.004158,0.004206,1551744000,415559244.0
26,0.004301,0.00443,0.004244,0.004334,1551830400,271909252.0
27,0.00447,0.004575,0.004226,0.004304,1551916800,416680727.0
28,0.004397,0.004638,0.004266,0.00447,1552003200,482078385.0
29,0.004827,0.004875,0.004364,0.004397,1552089600,681328885.0
30,0.004692,0.004956,0.004599,0.004851,1552176000,538378822.0
31,0.004644,0.004749,0.00447,0.004694,1552262400,424950585.0
32,0.005287,0.00552,0.00453,0.004641,1552348800,1270300373.9
33,0.005086,0.005392,0.005018,0.005288,1552435200,892914629.0
34,0.00518,0.005215,0.004965,0.005089,1552521600,696108991.0
35,0.005299,0.005459,0.005105,0.005181,1552608000,519597472.0
36,0.005313,0.00546,0.005192,0.005295,1552694400,494298136.0
37,0.005196,0.00534,0.005107,0.005313,1552780800,313383604.0
38,0.005272,0.00532,0.005112,0.005196,1552867200,255826222.0
39,0.005381,0.005403,0.005164,0.005275,1552953600,278439341.0
40,0.005653,0.005799,0.005274,0.005383,1553040000,632294151.0
41,0.005603,0.00606,0.00518,0.005659,1553126400,1192517892.1
42,0.005764,0.005895,0.0055,0.005603,1553212800,745100370.0
43,0.00588,0.006055,0.005755,0.005765,1553299200,566134248.0
44,0.005751,0.005884,0.005663,0.005876,1553385600,368297637.0
45,0.005612,0.005785,0.005367,0.005754,1553472000,454599558.0
46,0.005513,0.005676,0.005293,0.005616,1553558400,294731104.0
47,0.005657,0.005788,0.005488,0.005513,1553644800,496547116.0
48,0.005834,0.00586,0.005603,0.005654,1553731200,233202754.0
49,0.005943,0.005944,0.00578,0.00583,1553817600,247139551.0
50,0.005907,0.005978,0.0057,0.005941,1553904000,280046248.0
51,0.006092,0.006237,0.005875,0.005908,1553990400,407893695.6
52,0.006273,0.00638,0.006002,0.006091,1554076800,364425326.0
53,0.007205,0.007338,0.006275,0.006279,1554163200,1118343790.4
54,0.007269,0.007945,0.00675,0.00722,1554249600,1265857808.8
55,0.007191,0.007689,0.006775,0.007267,1554336000,756064772.0
56,0.007474,0.007552,0.007196,0.007206,1554422400,324875249.0
57,0.007552,0.007699,0.007322,0.007471,1554508800,375970649.0
58,0.007609,0.00785,0.0074,0.007542,1554595200,308937264.0
59,0.007407,0.007714,0.006871,0.007604,1554681600,419491568.0
60,0.007098,0.007415,0.006915,0.007394,1554768000,258556298.0
61,0.007125,0.007349,0.007025,0.007098,1554854400,295569433.0
62,0.006619,0.007157,0.006115,0.007138,1554940800,502144584.0
63,0.006827,0.006936,0.006243,0.0066,1555027200,353890421.0
64,0.006904,0.007026,0.0067,0.006827,1555113600,181295799.0
65,0.006906,0.006999,0.00672,0.006904,1555200000,141188969.0
66,0.006785,0.007051,0.006625,0.006906,1555286400,277178375.0
67,0.006962,0.007042,0.006691,0.00677,1555372800,196855585.0
68,0.007044,0.00705,0.006861,0.006961,1555459200,141998031.0
69,0.007285,0.00748,0.00697,0.007027,1555545600,389493819.0
70,0.007183,0.007424,0.007067,0.007284,1555632000,305319610.0
71,0.006995,0.00722,0.006835,0.00718,1555718400,251198424.0
72,0.006756,0.007032,0.006516,0.007003,1555804800,228352484.0
73,0.006936,0.007014,0.00665,0.006756,1555891200,206854052.0
74,0.006681,0.007049,0.006675,0.006936,1555977600,270074173.0
75,0.006398,0.006916,0.006089,0.006681,1556064000,596311074.0
76,0.006021,0.006597,0.005899,0.006391,1556150400,329196274.0
77,0.006136,0.006321,0.005785,0.006041,1556236800,347630521.0
78,0.006181,0.006353,0.005987,0.006128,1556323200,159033380.0
79,0.006083,0.006275,0.005959,0.006171,1556409600,101642826.0
80,0.005833,0.006114,0.005764,0.006073,1556496000,189744378.0
81,0.006206,0.006295,0.005826,0.005833,1556582400,160108978.0
82,0.006564,0.006749,0.006196,0.006213,1556668800,206866606.0
83,0.006477,0.00667,0.006269,0.006583,1556755200,161707717.0
84,0.006663,0.006776,0.00643,0.006471,1556841600,297681071.0
85,0.006474,0.006777,0.006281,0.006664,1556928000,226099790.0
86,0.006427,0.006514,0.006301,0.006485,1557014400,112329859.0
87,0.0063,0.006452,0.006005,0.006447,1557100800,199044901.0
88,0.006105,0.006426,0.006105,0.00629,1557187200,174497620.0
89,0.006274,0.006335,0.005965,0.006117,1557273600,141340110.0
90,0.006031,0.0065,0.005871,0.006288,1557360000,199820161.0
91,0.006105,0.006173,0.0057,0.006013,1557446400,314937815.0
92,0.006315,0.006597,0.005831,0.006105,1557532800,570496003.0
93,0.006111,0.00655,0.005903,0.006316,1557619200,416979106.0
94,0.006367,0.006714,0.006043,0.006105,1557705600,410298812.0
95,0.00704,0.00719,0.006327,0.006366,1557792000,704713021.0
96,0.007915,0.00799,0.006959,0.007035,1557878400,555619694.0
97,0.00816,0.0089,0.00718,0.007904,1557964800,1275828204.1
98,0.00755,0.008203,0.006926,0.008169,1558051200,943991307.0
99,0.007729,0.008053,0.007316,0.007554,1558137600,641238192.0
100,0.007879,0.008116,0.00762,0.007729,1558224000,756974663.0
101,0.007665,0.008,0.007247,0.007879,1558310400,640286009.0
102,0.007703,0.008,0.007597,0.007627,1558396800,732890059.0
103,0.00711,0.007818,0.007058,0.007704,1558483200,571772026.0
104,0.00745,0.007476,0.006912,0.00711,1558569600,425678419.0
105,0.007361,0.00756,0.007296,0.007452,1558656000,256756478.0
106,0.007344,0.007544,0.007268,0.007361,1558742400,158377071.0
107,0.007523,0.007534,0.00705,0.00734,1558828800,340111849.0
108,0.00797,0.008093,0.007346,0.007512,1558915200,734448355.0
109,0.007774,0.00825,0.007684,0.007978,1559001600,600596590.0
110,0.007644,0.007849,0.00745,0.007775,1559088000,617639243.0
111,0.00747,0.0085,0.00705,0.007636,1559174400,1076350421.0
112,0.007656,0.007832,0.007139,0.007471,1559260800,528053941.0
113,0.007404,0.0078,0.00731,0.007651,1559347200,372668331.0
114,0.007724,0.007813,0.007368,0.007413,1559433600,411095998.0
115,0.00717,0.007729,0.00713,0.007724,1559520000,416777684.0
116,0.007415,0.007612,0.006775,0.007173,1559606400,722137502.0
117,0.007652,0.007958,0.00721,0.007419,1559692800,863606696.0
118,0.00768,0.008075,0.0073,0.007657,1559779200,615920353.0
119,0.007704,0.007884,0.007545,0.007678,1559865600,384784027.0
120,0.007607,0.007752,0.007443,0.0077,1559952000,172205186.0
121,0.007229,0.007607,0.00703,0.007591,1560038400,265952588.0
122,0.007703,0.007743,0.007125,0.007216,1560124800,349921722.0
123,0.00744,0.007716,0.0073,0.007711,1560211200,273546045.0
124,0.007576,0.007727,0.007339,0.007436,1560297600,283216377.0
125,0.007559,0.007722,0.007435,0.007603,1560384000,295812131.0
126,0.007271,0.00764,0.007031,0.007541,1560470400,580920493.0
127,0.007333,0.007458,0.007253,0.007273,1560556800,254988410.0
128,0.007257,0.007385,0.007056,0.007334,1560643200,527431865.0
129,0.007369,0.007603,0.007235,0.007244,1560729600,436406527.0
130,0.007365,0.007398,0.007098,0.007364,1560816000,295777869.0
131,0.007302,0.007435,0.00725,0.007365,1560902400,208704245.0
132,0.006874,0.007333,0.006801,0.007314,1560988800,370877734.0
133,0.006732,0.007161,0.0066,0.006886,1561075200,340485778.0
134,0.006997,0.00765,0.006439,0.006726,1561161600,1138162992.0
135,0.007218,0.007618,0.006916,0.006998,1561248000,625154437.0
136,0.007104,0.0073,0.00695,0.007216,1561334400,262800501.0
137,0.009327,0.010999,0.0071,0.007108,1561420800,3978485978.1
138,0.008119,0.009732,0.007983,0.00932,1561507200,2446823907.0
139,0.007842,0.00868,0.0075,0.008113,1561593600,1306357470.0
140,0.008341,0.008594,0.007641,0.00786,1561680000,771541690.0
141,0.009121,0.009475,0.00776,0.008341,1561766400,1130604381.0
142,0.008196,0.00954,0.008119,0.009134,1561852800,1370651982.0
143,0.008086,0.008617,0.007651,0.008211,1561939200,688089296.0
144,0.007616,0.008166,0.007333,0.008086,1562025600,514161067.0
145,0.007839,0.007987,0.007579,0.007617,1562112000,424018034.0
146,0.00729,0.00796,0.007194,0.007839,1562198400,434900548.0
147,0.007442,0.00787,0.007145,0.007291,1562284800,593529720.0
148,0.007467,0.00768,0.007368,0.007461,1562371200,268891842.0
149,0.007456,0.00758,0.007324,0.007461,1562457600,243058854.0
150,0.007221,0.007575,0.007086,0.00745,1562544000,389550045.0
151,0.007241,0.00749,0.007097,0.007219,1562630400,379429838.0
152,0.006943,0.00734,0.0068,0.007241,1562716800,364072483.0
153,0.006013,0.006944,0.005802,0.006944,1562803200,491968280.0
154,0.006868,0.00732,0.005904,0.006016,1562889600,594300978.0
155,0.006468,0.0073,0.006173,0.006868,1562976000,364559116.0
156,0.005654,0.006533,0.005609,0.00647,1563062400,261711893.0
157,0.005626,0.005846,0.005292,0.005654,1563148800,345141279.0
158,0.005216,0.005778,0.005031,0.005625,1563235200,474446141.0
159,0.00543,0.00575,0.005006,0.005222,1563321600,392566604.0
160,0.005683,0.005748,0.005204,0.005441,1563408000,263482969.0
161,0.005831,0.005908,0.005475,0.005677,1563494400,215873112.0
162,0.006067,0.006219,0.005808,0.005858,1563580800,220578246.0
163,0.006087,0.006131,0.005835,0.006067,1563667200,127361386.0
164,0.006197,0.006444,0.00604,0.006104,1563753600,258117524.0
165,0.005828,0.006255,0.005733,0.006195,1563840000,233387399.0
166,0.005905,0.005949,0.00561,0.005828,1563926400,233706526.0
167,0.005855,0.006149,0.005812,0.005902,1564012800,159741195.0
168,0.005935,0.006027,0.005703,0.005853,1564099200,127790959.0
169,0.005697,0.006093,0.005587,0.005946,1564185600,136998242.0
170,0.005645,0.005725,0.005424,0.005674,1564272000,104021898.0
171,0.005574,0.005742,0.005545,0.005655,1564358400,79957279.0
172,0.005531,0.005641,0.005469,0.005563,1564444800,122414672.0
173,0.00561,0.00567,0.005501,0.005528,1564531200,175464172.0
174,0.005409,0.005629,0.005262,0.005598,1564617600,184685503.0
175,0.005481,0.00556,0.005337,0.005404,1564704000,134680765.0
176,0.00548,0.005569,0.005428,0.00548,1564790400,132237932.0
177,0.00532,0.005491,0.005292,0.005471,1564876800,128775337.0
178,0.005235,0.0054,0.005222,0.005316,1564963200,278464732.0
179,0.004874,0.005241,0.0048,0.005226,1565049600,439231870.0
180,0.005014,0.0058,0.004806,0.004874,1565136000,728014818.0
181,0.004975,0.005084,0.004821,0.005017,1565222400,236762470.0
182,0.004906,0.005444,0.004845,0.004968,1565308800,271798672.0
183,0.00491,0.005098,0.00472,0.004903,1565395200,199359692.0
184,0.005114,0.00539,0.00487,0.00491,1565481600,267360931.0
185,0.005113,0.005274,0.005025,0.005113,1565568000,175726637.0
186,0.004915,0.005113,0.004825,0.005113,1565654400,183883645.0
187,0.00463,0.004939,0.004444,0.004923,1565740800,261925666.0
188,0.00458,0.004752,0.004492,0.00463,1565827200,127247226.0
189,0.004493,0.004651,0.004403,0.004569,1565913600,238498566.0
190,0.004454,0.004625,0.004361,0.004487,1566000000,118297470.0
191,0.004495,0.004579,0.004433,0.004453,1566086400,186440029.0
192,0.00466,0.004683,0.004479,0.004483,1566172800,181544467.0
193,0.00455,0.004669,0.0045,0.004663,1566259200,126606698.0
194,0.004369,0.004576,0.004145,0.004551,1566345600,161888610.0
195,0.004465,0.004649,0.004195,0.004347,1566432000,153773200.0
196,0.004594,0.004667,0.004432,0.004476,1566518400,128952421.0
197,0.004905,0.005,0.004501,0.004596,1566604800,304469967.0
198,0.004481,0.005003,0.004385,0.004907,1566691200,328410656.0
199,0.004556,0.004635,0.004471,0.004473,1566777600,122616368.0
200,0.00454,0.004596,0.00448,0.004577,1566864000,63359311.0
201,0.004238,0.004705,0.004194,0.00452,1566950400,119522683.0
202,0.004075,0.004249,0.004012,0.004234,1567036800,129241954.0
203,0.004075,0.00416,0.00395,0.004076,1567123200,113772575.0
204,0.00409,0.004193,0.00397,0.004067,1567209600,65633010.0
205,0.004095,0.004129,0.004027,0.004092,1567296000,58425995.0
206,0.00436,0.004468,0.004076,0.004102,1567382400,235485075.0
207,0.00427,0.004376,0.004198,0.004363,1567468800,121809285.0
208,0.004139,0.004302,0.00406,0.004269,1567555200,128948505.0
209,0.003914,0.004159,0.00379,0.004138,1567641600,198946126.0
210,0.003741,0.00399,0.0037,0.003914,1567728000,181655514.0
211,0.003838,0.003903,0.003713,0.00374,1567814400,102619603.0
212,0.003996,0.004027,0.003839,0.003839,1567900800,87646549.0
213,0.003966,0.004054,0.003843,0.003976,1567987200,150038826.0
214,0.003912,0.00402,0.003855,0.003986,1568073600,85063379.0
215,0.003762,0.003956,0.003704,0.003892,1568160000,105692315.0
216,0.003742,0.00377,0.003611,0.003748,1568246400,108989467.0
217,0.003732,0.003755,0.003616,0.003743,1568332800,83211257.0
218,0.00366,0.003741,0.003555,0.003738,1568419200,127462670.0
219,0.003716,0.003736,0.003658,0.003667,1568505600,58675469.0
220,0.004032,0.004343,0.00371,0.003723,1568592000,500384048.0
221,0.004185,0.004287,0.004001,0.00403,1568678400,214968548.0
222,0.00428,0.004418,0.004183,0.004191,1568764800,206310141.0
223,0.004206,0.004287,0.00402,0.00428,1568851200,204798237.0
224,0.004179,0.004286,0.004105,0.004201,1568937600,116637402.0
225,0.004135,0.004276,0.004115,0.004179,1569024000,59089542.0
226,0.004035,0.004144,0.00399,0.004136,1569110400,74612313.0
227,0.003906,0.004089,0.0039,0.004037,1569196800,77819987.0
228,0.003327,0.004038,0.003042,0.003907,1569283200,233700357.8
229,0.003402,0.003491,0.003263,0.003327,1569369600,145834497.0
230,0.003309,0.00341,0.003061,0.003405,1569456000,152154163.0
231,0.00339,0.003424,0.0032,0.003303,1569542400,109324849.0
232,0.003434,0.003485,0.003371,0.003382,1569628800,105383585.0
233,0.003339,0.00345,0.003261,0.003436,1569715200,72710731.0
234,0.003475,0.0035,0.0032,0.003339,1569801600,85332257.0
235,0.00342,0.0036,0.003405,0.003483,1569888000,69261993.0
236,0.003474,0.00349,0.003361,0.00341,1569974400,42132422.0
237,0.00342,0.003498,0.003372,0.003486,1570060800,45036020.0
238,0.003437,0.003487,0.003356,0.003426,1570147200,75712588.0
239,0.003416,0.003487,0.00336,0.003432,1570233600,87987951.0
240,0.003351,0.003428,0.003278,0.003415,1570320000,77948958.0
241,0.003477,0.003504,0.003285,0.00335,1570406400,117210467.0
242,0.003584,0.003615,0.003462,0.003479,1570492800,187189873.0
243,0.003814,0.003814,0.003545,0.003581,1570579200,385152580.0
244,0.003737,0.0039,0.003675,0.003814,1570665600,251571470.0
245,0.003635,0.003788,0.003565,0.003729,1570752000,183609936.0
246,0.003679,0.003765,0.003631,0.003632,1570838400,90104228.0
247,0.003584,0.003708,0.00357,0.003679,1570924800,110054339.0
248,0.003632,0.003633,0.00351,0.003583,1571011200,91923388.0
249,0.003444,0.00365,0.003408,0.003632,1571097600,110209523.0
250,0.00332,0.00345,0.003284,0.00344,1571184000,110770636.0
251,0.003435,0.003455,0.003313,0.003319,1571270400,89675250.0
252,0.003375,0.003457,0.003295,0.003436,1571356800,60743594.0
253,0.003336,0.003402,0.003313,0.003372,1571443200,34646422.0
254,0.003364,0.003371,0.003266,0.00332,1571529600,71856027.0
255,0.003326,0.003374,0.003292,0.003353,1571616000,62217424.0
256,0.003258,0.003352,0.00323,0.003326,1571702400,71956628.0
257,0.002995,0.00328,0.002832,0.003257,1571788800,132823130.0
258,0.002998,0.003009,0.002908,0.002995,1571875200,85480723.0
259,0.003376,0.00342,0.00297,0.002998,1571961600,273657571.0
260,0.00338,0.003746,0.003255,0.00338,1572048000,361930136.0
261,0.004123,0.004355,0.003246,0.00338,1572134400,813621259.0
262,0.0038,0.004811,0.0038,0.004121,1572220800,940394128.0
263,0.00422,0.00432,0.003802,0.003803,1572307200,715928642.0
264,0.004135,0.004405,0.003862,0.004217,1572393600,999056265.0
265,0.004097,0.004189,0.003872,0.004137,1572480000,458864476.0
266,0.003981,0.004129,0.003917,0.004098,1572566400,300864776.0
267,0.004204,0.004298,0.00397,0.003988,1572652800,414452382.0
268,0.004234,0.004373,0.00414,0.004203,1572739200,354126112.0
269,0.004386,0.004469,0.004161,0.004236,1572825600,397744709.0
270,0.004891,0.00505,0.004355,0.004391,1572912000,1094980097.0
271,0.00524,0.005334,0.004882,0.004886,1572998400,1140786912.0
272,0.005616,0.005964,0.005,0.005235,1573084800,2358197744.0
273,0.005305,0.005928,0.005218,0.005608,1573171200,1602686586.0
274,0.005122,0.005307,0.005062,0.005304,1573257600,943817210.0
275,0.005739,0.00584,0.005092,0.005121,1573344000,1150731677.0
276,0.00606,0.00618,0.005435,0.005739,1573430400,1734974783.0
277,0.006543,0.006758,0.005939,0.00606,1573516800,2541784182.0
278,0.006279,0.006569,0.006127,0.00654,1573603200,1367354285.0
279,0.007294,0.007565,0.00615,0.006278,1573689600,2786409827.0
280,0.007821,0.008114,0.006721,0.007293,1573776000,4784904261.0
281,0.00725,0.007821,0.007201,0.007821,1573862400,2601249055.0
282,0.007658,0.007675,0.007099,0.007243,1573948800,1550392869.0
283,0.007388,0.007674,0.007078,0.007656,1574035200,2116349897.0
284,0.00688,0.007389,0.006615,0.007389,1574121600,2053013881.0
285,0.006133,0.006886,0.00601,0.006881,1574208000,2540441110.0
286,0.005725,0.00622,0.005557,0.006132,1574294400,2179107122.0
287,0.005166,0.005854,0.004626,0.005723,1574380800,3951364454.0
288,0.005756,0.005807,0.004911,0.00517,1574467200,2939284015.0
289,0.005244,0.006093,0.005138,0.005757,1574553600,3873361316.0
290,0.005829,0.006021,0.004972,0.005242,1574640000,3579615654.0
291,0.006333,0.006386,0.00569,0.005823,1574726400,2639375983.0
292,0.006496,0.006644,0.005868,0.006332,1574812800,3146826725.0
293,0.006352,0.006665,0.00627,0.006505,1574899200,1236543354.0
294,0.006479,0.006529,0.0062,0.00635,1574985600,1128862029.0
295,0.006085,0.006477,0.005965,0.006476,1575072000,1071439935.0
296,0.007103,0.007225,0.005743,0.006082,1575158400,3429594729.0
297,0.007418,0.00799,0.007108,0.007108,1575244800,4571634514.0
298,0.006969,0.007622,0.006755,0.007424,1575331200,2698497622.0
299,0.006884,0.00779,0.006745,0.006969,1575417600,3353653506.0
300,0.006872,0.007117,0.006643,0.006889,1575504000,2332314534.0
301,0.006945,0.006999,0.006457,0.00687,1575590400,1855892625.0
302,0.006802,0.007279,0.0068,0.006951,1575676800,1226717531.0
303,0.007127,0.007302,0.006641,0.006802,1575763200,1428785577.0
304,0.006828,0.007372,0.00675,0.007127,1575849600,1130917188.0
305,0.006216,0.006858,0.005927,0.006828,1575936000,1948624111.0
306,0.006073,0.006386,0.006026,0.006213,1576022400,917895765.0
307,0.006211,0.006315,0.005778,0.006075,1576108800,1053059599.0
308,0.005892,0.006684,0.005688,0.006212,1576195200,2412776325.0
309,0.005451,0.005957,0.005326,0.00589,1576281600,1246261917.0
310,0.005569,0.005691,0.005225,0.005452,1576368000,1030970207.0
311,0.005034,0.005597,0.00498,0.005573,1576454400,815605875.0
312,0.004644,0.005092,0.00455,0.005034,1576540800,1317781126.0
313,0.005309,0.005429,0.004451,0.004646,1576627200,1794296925.0
314,0.00505,0.005379,0.004875,0.005321,1576713600,764399508.0
315,0.005395,0.00556,0.004956,0.005047,1576800000,1079471089.0
316,0.005316,0.005553,0.00527,0.005396,1576886400,528005111.0
317,0.005514,0.005624,0.005286,0.005317,1576972800,694759079.0
318,0.005917,0.006172,0.005456,0.005517,1577059200,1475533765.0
319,0.005974,0.006298,0.005783,0.005915,1577145600,1575835348.0
320,0.005848,0.006076,0.005777,0.00597,1577232000,759715140.0
321,0.005485,0.005847,0.005421,0.005847,1577318400,1085877121.0
322,0.005665,0.005779,0.005314,0.005485,1577404800,826165900.0
323,0.005666,0.005779,0.005544,0.005665,1577491200,585289045.0
324,0.005576,0.005845,0.005558,0.005666,1577577600,779468369.0
325,0.005427,0.005649,0.005411,0.005573,1577664000,547619850.0
326,0.005242,0.005444,0.005155,0.005424,1577750400,489461979.0
327,0.005358,0.005525,0.005229,0.005239,1577836800,453812899.0
328,0.005094,0.005406,0.005059,0.005357,1577923200,417081261.0
329,0.005327,0.005449,0.00501,0.005094,1578009600,601653460.0
330,0.00562,0.005674,0.005282,0.005332,1578096000,533415662.0
331,0.005465,0.005699,0.005422,0.005621,1578182400,531159516.0
332,0.00573,0.005742,0.005431,0.005467,1578268800,916784645.0
333,0.005578,0.005788,0.005454,0.005732,1578355200,795501022.0
334,0.005492,0.005619,0.0052,0.005572,1578441600,1074068492.0
335,0.005319,0.005494,0.005305,0.005494,1578528000,416043450.0
336,0.005454,0.00558,0.005294,0.005328,1578614400,716327414.0
337,0.005526,0.00555,0.00535,0.005451,1578700800,611880898.0
338,0.005523,0.005594,0.00542,0.005524,1578787200,543729250.0
339,0.005407,0.005529,0.005352,0.005526,1578873600,291523187.0
340,0.005994,0.006059,0.005406,0.005415,1578960000,1740877625.0
341,0.006003,0.006248,0.005734,0.005993,1579046400,1490447526.0
342,0.005885,0.006049,0.005709,0.006002,1579132800,769847102.0
343,0.006392,0.006579,0.005831,0.005883,1579219200,1483242988.0
344,0.006239,0.0064,0.006095,0.006393,1579305600,621111653.0
345,0.005862,0.006297,0.00577,0.006238,1579392000,969319923.0
346,0.005814,0.005972,0.00569,0.005863,1579478400,482101637.0
347,0.005964,0.006011,0.005743,0.005817,1579564800,513453392.0
348,0.005863,0.006,0.005801,0.005964,1579651200,269483333.0
349,0.005607,0.00587,0.005457,0.005866,1579737600,704214291.0
350,0.00558,0.005654,0.005481,0.005608,1579824000,432436775.0
351,0.005623,0.005662,0.005482,0.005581,1579910400,217913506.0
352,0.00573,0.005745,0.005536,0.005622,1579996800,305903749.0
353,0.005748,0.005888,0.005645,0.005733,1580083200,543955684.0
354,0.0058,0.00589,0.005739,0.005743,1580169600,649403456.0
355,0.005733,0.005883,0.005665,0.0058,1580256000,611207155.0
356,0.005687,0.005826,0.005642,0.005733,1580342400,786433803.0
