,c,h,l,o,t,v
0,0.0004431,0.000948,0.0003913,0.0004123,1564617600,50614143593
1,0.0003958,0.0004496,0.0003702,0.0004461,1564704000,15637700233
2,0.0003643,0.0004004,0.0003556,0.0003959,1564790400,11831071402
3,0.0003707,0.000424,0.000363,0.0003643,1564876800,43106359845
4,0.0003681,0.0003859,0.000361,0.0003709,1564963200,59469736330
5,0.0003657,0.0003784,0.0003517,0.0003682,1565049600,61844288168
6,0.0003635,0.0003728,0.0003582,0.0003659,1565136000,53696340847
7,0.0003604,0.0003759,0.0003441,0.0003633,1565222400,39779792990
8,0.0003005,0.0003687,0.0002942,0.0003601,1565308800,17760899136
9,0.0003183,0.000344,0.000282,0.0003005,1565395200,13060786134
10,0.0003048,0.0003309,0.0002971,0.0003183,1565481600,13048567593
11,0.0003799,0.0004347,0.0003031,0.0003044,1565568000,39531562774
12,0.0003522,0.000397,0.000339,0.0003797,1565654400,22174537188
13,0.0003151,0.0003888,0.00031,0.0003526,1565740800,16976957853
14,0.0003209,0.0003348,0.0003082,0.0003164,1565827200,5800631779
15,0.0003379,0.0003497,0.0003209,0.0003209,1565913600,8293988973
16,0.0003328,0.0003426,0.0003255,0.0003379,1566000000,4301932088
17,0.0003413,0.00036,0.0003316,0.0003327,1566086400,4905046885
18,0.0003405,0.000352,0.0003319,0.0003414,1566172800,4900277221
19,0.000324,0.0003417,0.0003195,0.0003404,1566259200,5760596979
20,0.000315,0.0003269,0.0002975,0.0003238,1566345600,5198775298
21,0.00032,0.0003222,0.0003071,0.0003143,1566432000,4472831368
22,0.0003218,0.0003309,0.0003138,0.0003192,1566518400,3765992298
23,0.0003211,0.0003329,0.000314,0.0003218,1566604800,4090287384
24,0.0003149,0.0003275,0.0003092,0.0003202,1566691200,3129802772
25,0.0003174,0.0003237,0.0003102,0.0003138,1566777600,7032952921
26,0.0003483,0.000364,0.0003128,0.0003166,1566864000,15378516876
27,0.0003171,0.0003593,0.0003131,0.0003486,1566950400,31739529967
28,0.0003132,0.0003301,0.0002934,0.0003171,1567036800,76219135742
29,0.0003229,0.000327,0.0003101,0.0003133,1567123200,40999653610
30,0.0003108,0.0003234,0.000305,0.0003226,1567209600,40454529152
31,0.000306,0.0003128,0.0002998,0.0003107,1567296000,11441022162
32,0.0003114,0.0003137,0.0003001,0.000306,1567382400,50911524460
33,0.0003043,0.0003216,0.000297,0.0003114,1567468800,55155246788
34,0.0002971,0.0003052,0.0002945,0.0003043,1567555200,7048403934
35,0.0002862,0.0002972,0.000283,0.0002971,1567641600,6848709819
36,0.0002567,0.0002871,0.0002522,0.0002862,1567728000,11759800285
37,0.0002601,0.0002665,0.0002452,0.0002566,1567814400,9368331547
38,0.0002497,0.0002629,0.000242,0.00026,1567900800,11619942543
