,c,h,l,o,t,v
0,0.08142,0.08336,0.07301,0.07426,1549584000,85699626.8
1,0.08069,0.0822,0.07922,0.08144,1549670400,61187436.8
2,0.08022,0.082,0.0755,0.08076,1549756800,94302782.3
3,0.077,0.08066,0.07643,0.08032,1549843200,48908352.8
4,0.07718,0.07806,0.07464,0.07708,1549929600,64773546.4
5,0.07622,0.07865,0.07516,0.07718,1550016000,33060013.2
6,0.07626,0.07691,0.0742,0.07622,1550102400,45404967.2
7,0.07907,0.08151,0.07568,0.0763,1550188800,88466367.2
8,0.07811,0.07939,0.0775,0.07916,1550275200,32045596.9
9,0.07964,0.0805,0.07738,0.07805,1550361600,37932569.9
10,0.08371,0.084,0.07868,0.07958,1550448000,90707642.4
11,0.08974,0.09344,0.08238,0.08358,1550534400,173503486.6
12,0.09198,0.09241,0.08542,0.08982,1550620800,110275238.9
13,0.08854,0.09428,0.0871,0.09204,1550707200,82415770.8
14,0.0904,0.0923,0.088,0.08859,1550793600,38300174.9
15,0.09389,0.09597,0.08879,0.09049,1550880000,55817640.6
16,0.08185,0.0972,0.08017,0.0939,1550966400,108270811.2
17,0.08603,0.0889,0.08171,0.08197,1551052800,66203719.2
18,0.08441,0.08686,0.08301,0.08603,1551139200,40624278.8
19,0.08413,0.0859,0.0806,0.08436,1551225600,40618994.1
20,0.08439,0.08541,0.0824,0.08414,1551312000,27796094.8
21,0.08467,0.0863,0.08394,0.08452,1551398400,25195267.4
22,0.08358,0.0858,0.08243,0.08467,1551484800,20248088.1
23,0.0875,0.09,0.0826,0.0836,1551571200,53169299.3
24,0.08199,0.08766,0.07939,0.0875,1551657600,53284163.4
25,0.08565,0.08646,0.08054,0.082,1551744000,40081699.4
26,0.08469,0.08616,0.08347,0.08567,1551830400,29652710.5
27,0.08519,0.08591,0.08368,0.08462,1551916800,23761876.4
28,0.08629,0.0899,0.08507,0.08519,1552003200,57398059.9
29,0.09028,0.092,0.0858,0.08619,1552089600,53166134.2
30,0.10028,0.1044,0.08952,0.09035,1552176000,171407268.1
31,0.10199,0.1097,0.09901,0.10018,1552262400,207400217.3
32,0.10541,0.10793,0.09647,0.10199,1552348800,109246783.6
33,0.10916,0.11243,0.10029,0.10536,1552435200,115857059.1
34,0.10639,0.1128,0.10487,0.10911,1552521600,125674732.1
35,0.10621,0.10837,0.10313,0.10644,1552608000,62162885.1
36,0.10837,0.10998,0.10601,0.10622,1552694400,49603211.8
37,0.10896,0.10899,0.10606,0.10837,1552780800,24995851.5
38,0.11616,0.11875,0.10569,0.10897,1552867200,103676049.7
39,0.11193,0.11868,0.1107,0.11617,1552953600,107966687.6
40,0.10882,0.11252,0.10718,0.11197,1553040000,70943368.6
41,0.10554,0.10995,0.09963,0.10883,1553126400,73008378.8
42,0.10815,0.1097,0.10425,0.10551,1553212800,42456151.7
43,0.10681,0.10944,0.10516,0.1081,1553299200,34616741.9
44,0.10437,0.10683,0.10297,0.10679,1553385600,28312020.3
45,0.10014,0.10594,0.0988,0.10435,1553472000,48379196.6
46,0.10258,0.10399,0.09731,0.10012,1553558400,49344109.6
47,0.1076,0.10797,0.10212,0.10263,1553644800,47760605.2
48,0.1065,0.10761,0.1031,0.10761,1553731200,25023379.7
49,0.10752,0.10843,0.10553,0.10646,1553817600,25013225.0
50,0.10725,0.1077,0.1043,0.10748,1553904000,27947125.3
51,0.10824,0.1083,0.10588,0.10725,1553990400,14506607.9
52,0.11017,0.11129,0.10732,0.10823,1554076800,31704411.6
53,0.12111,0.12212,0.10973,0.11018,1554163200,109742872.5
54,0.12038,0.13344,0.1132,0.12113,1554249600,143208596.0
55,0.11722,0.12468,0.11432,0.12045,1554336000,62356516.9
56,0.12697,0.12975,0.11709,0.1172,1554422400,52818284.2
57,0.12492,0.12831,0.11757,0.12695,1554508800,42008489.7
58,0.13226,0.13386,0.1232,0.12488,1554595200,53573464.7
59,0.12969,0.1355,0.12304,0.13222,1554681600,50640541.0
60,0.12417,0.12986,0.1226,0.12956,1554768000,27415014.6
61,0.12578,0.12876,0.12356,0.12422,1554854400,25892636.0
62,0.11438,0.12606,0.10953,0.12564,1554940800,42902446.0
63,0.11318,0.11596,0.10864,0.11433,1555027200,26059011.8
64,0.11501,0.11675,0.11186,0.11322,1555113600,15869310.2
65,0.1172,0.11829,0.11287,0.11495,1555200000,19567686.2
66,0.11237,0.11917,0.11002,0.11734,1555286400,24496182.3
67,0.11423,0.11545,0.1103,0.11235,1555372800,17408672.9
68,0.11667,0.11697,0.11323,0.11419,1555459200,17638728.6
69,0.11732,0.11958,0.11569,0.11666,1555545600,23059166.1
70,0.11486,0.11743,0.114,0.1172,1555632000,17069004.5
71,0.11526,0.1176,0.113,0.11488,1555718400,12213724.3
72,0.11095,0.11564,0.1074,0.11524,1555804800,23282196.8
73,0.11229,0.11433,0.10837,0.11098,1555891200,19990919.3
74,0.10867,0.11319,0.10859,0.1123,1555977600,20458403.7
75,0.10232,0.10897,0.09834,0.10859,1556064000,36446642.6
76,0.09854,0.1055,0.09588,0.10229,1556150400,31756726.2
77,0.09993,0.10385,0.09651,0.09859,1556236800,28564244.2
78,0.10037,0.10197,0.09868,0.09993,1556323200,16169155.8
79,0.0985,0.10156,0.09792,0.10037,1556409600,9380131.4
80,0.09551,0.1,0.09453,0.09851,1556496000,15275129.0
81,0.10061,0.10071,0.09484,0.09554,1556582400,16727611.4
82,0.10106,0.10317,0.1,0.10071,1556668800,23344989.9
83,0.09974,0.102,0.09958,0.10105,1556755200,15002710.2
84,0.10224,0.10321,0.09822,0.0997,1556841600,39920676.4
85,0.09856,0.10455,0.09579,0.10225,1556928000,27071812.0
86,0.097,0.09995,0.09648,0.09857,1557014400,16425607.7
87,0.09718,0.09934,0.09288,0.09699,1557100800,21114112.0
88,0.0933,0.09966,0.09327,0.09724,1557187200,29132917.0
89,0.09216,0.09361,0.09142,0.09354,1557273600,23718212.9
90,0.08883,0.09338,0.087,0.09222,1557360000,26540714.3
91,0.09238,0.09319,0.08771,0.08885,1557446400,22846747.9
92,0.10273,0.10649,0.09217,0.0924,1557532800,52269422.1
93,0.09823,0.10536,0.0947,0.10272,1557619200,48822098.1
94,0.09951,0.1034,0.0978,0.09823,1557705600,44373051.9
95,0.11338,0.117,0.0986,0.09972,1557792000,101456474.3
96,0.14126,0.14158,0.11303,0.11343,1557878400,80091870.5
97,0.13805,0.16247,0.13068,0.14146,1557964800,215760241.0
98,0.13084,0.14059,0.11555,0.13784,1558051200,132248326.9
99,0.13129,0.14126,0.12841,0.13075,1558137600,79404323.1
100,0.14264,0.14529,0.12963,0.13128,1558224000,69092476.4
101,0.13495,0.14268,0.12798,0.14255,1558310400,55226071.8
102,0.13359,0.13645,0.13103,0.1349,1558396800,41394396.8
103,0.12173,0.13741,0.1205,0.1335,1558483200,46838732.6
104,0.12483,0.12605,0.11761,0.12169,1558569600,33822229.3
105,0.12522,0.12921,0.12097,0.12486,1558656000,38443623.2
106,0.12475,0.12771,0.12372,0.1252,1558742400,21977863.2
107,0.1316,0.1348,0.12091,0.1247,1558828800,36969632.2
108,0.13778,0.14412,0.13076,0.13164,1558915200,56046379.7
109,0.13917,0.14168,0.13207,0.1377,1559001600,59206120.4
110,0.13566,0.13945,0.13032,0.13911,1559088000,62437808.7
111,0.12872,0.14395,0.125,0.13567,1559174400,105056745.3
112,0.13348,0.13458,0.12402,0.12863,1559260800,47930020.2
113,0.13257,0.135,0.12831,0.13342,1559347200,37431241.4
114,0.13639,0.138,0.13209,0.13251,1559433600,29912912.7
115,0.12764,0.14004,0.12758,0.13623,1559520000,46867400.3
116,0.12106,0.12765,0.11695,0.12763,1559606400,43724073.8
117,0.12119,0.12549,0.11877,0.12107,1559692800,29392533.1
118,0.1248,0.1256,0.11803,0.12118,1559779200,31943330.9
119,0.12705,0.13017,0.12402,0.12494,1559865600,24670711.4
120,0.12376,0.12829,0.12232,0.12704,1559952000,12978717.2
121,0.11845,0.12475,0.11666,0.12373,1560038400,16952712.6
122,0.12323,0.12378,0.11672,0.11845,1560124800,25519441.0
123,0.12234,0.1235,0.11831,0.1232,1560211200,21988743.6
124,0.12697,0.12737,0.12036,0.12237,1560297600,27945716.3
125,0.12414,0.1276,0.124,0.12697,1560384000,23797925.2
126,0.12486,0.12488,0.12047,0.12414,1560470400,30784717.1
127,0.12638,0.12719,0.12384,0.12487,1560556800,22551220.3
128,0.12958,0.13307,0.1259,0.12635,1560643200,48010672.2
129,0.13087,0.13199,0.12709,0.12951,1560729600,34972656.9
130,0.1237,0.13125,0.12231,0.13078,1560816000,36779095.0
131,0.12382,0.12627,0.12303,0.12368,1560902400,27475299.5
132,0.12099,0.12413,0.12025,0.12384,1560988800,30052215.7
133,0.12315,0.12474,0.121,0.12105,1561075200,35748452.3
134,0.12981,0.13473,0.122,0.12308,1561161600,98385269.1
135,0.12817,0.13361,0.12791,0.12985,1561248000,60526480.2
136,0.12845,0.1289,0.12524,0.12816,1561334400,31827814.3
137,0.12399,0.12961,0.122,0.12849,1561420800,64515145.0
138,0.12317,0.13305,0.12082,0.12393,1561507200,145097076.7
139,0.10921,0.12436,0.10476,0.12317,1561593600,112035504.2
140,0.11169,0.11329,0.10881,0.10898,1561680000,45476978.1
141,0.11491,0.12171,0.10662,0.11163,1561766400,71596480.6
142,0.10495,0.11545,0.10444,0.11481,1561852800,52178356.6
143,0.10597,0.10997,0.10156,0.10497,1561939200,49788591.3
144,0.10287,0.10665,0.1001,0.10599,1562025600,47575162.2
145,0.10559,0.10578,0.10227,0.10284,1562112000,26992084.9
146,0.09908,0.10576,0.09876,0.10552,1562198400,24616084.7
147,0.10003,0.10182,0.09865,0.09892,1562284800,21766619.4
148,0.10373,0.10594,0.09988,0.10005,1562371200,20408622.3
149,0.10555,0.10573,0.1021,0.10382,1562457600,16372709.1
150,0.10395,0.1058,0.10338,0.10561,1562544000,17548312.2
151,0.10117,0.10477,0.09986,0.10393,1562630400,26448703.8
152,0.09484,0.10211,0.09166,0.10123,1562716800,44415639.9
153,0.08697,0.09489,0.08545,0.09482,1562803200,34474672.9
154,0.09784,0.10112,0.08622,0.08688,1562889600,55303021.2
155,0.09608,0.10048,0.0913,0.09779,1562976000,31341358.4
156,0.08547,0.0967,0.085,0.09609,1563062400,29786219.7
157,0.08542,0.08778,0.08191,0.08547,1563148800,35108721.0
158,0.07828,0.0882,0.0778,0.08541,1563235200,35272257.4
159,0.08054,0.08371,0.07567,0.07841,1563321600,39684400.8
160,0.0883,0.09344,0.07919,0.08059,1563408000,89103372.8
161,0.09332,0.095,0.08672,0.08839,1563494400,56573908.5
162,0.09473,0.09783,0.09144,0.09338,1563580800,37077103.2
163,0.09111,0.09475,0.08864,0.09461,1563667200,24961848.4
164,0.08884,0.09165,0.08621,0.0911,1563753600,27489791.5
165,0.08441,0.08872,0.0831,0.08872,1563840000,22564128.5
166,0.08605,0.08658,0.08157,0.08424,1563926400,17837883.5
167,0.08565,0.08791,0.0847,0.08587,1564012800,15679104.7
168,0.0879,0.08975,0.08345,0.08556,1564099200,17137315.0
169,0.08432,0.08978,0.08279,0.08788,1564185600,20061554.3
170,0.084,0.08491,0.08076,0.08434,1564272000,10583490.8
171,0.08336,0.08568,0.0825,0.084,1564358400,13953681.5
172,0.08341,0.08484,0.08192,0.08327,1564444800,12187508.3
173,0.08383,0.0852,0.0829,0.0833,1564531200,18367965.4
174,0.08273,0.08404,0.08159,0.08383,1564617600,12997450.3
175,0.08196,0.0832,0.08157,0.08272,1564704000,14558871.6
176,0.08236,0.083,0.08164,0.08196,1564790400,13034339.9
177,0.08183,0.08262,0.0806,0.08235,1564876800,11758879.3
178,0.08241,0.08436,0.08123,0.0819,1564963200,25812179.5
179,0.07837,0.08244,0.0771,0.08244,1565049600,27635495.5
180,0.07859,0.07926,0.07675,0.07843,1565136000,18743034.3
181,0.07691,0.07874,0.07629,0.07867,1565222400,19184468.4
182,0.07182,0.07712,0.07161,0.07699,1565308800,28570459.8
183,0.07375,0.07433,0.07169,0.07189,1565395200,21121216.4
184,0.0782,0.07995,0.07359,0.07374,1565481600,28985242.6
185,0.07547,0.07839,0.07538,0.0782,1565568000,10714083.2
186,0.07442,0.07558,0.07278,0.07539,1565654400,11747450.1
187,0.0692,0.07445,0.06738,0.07442,1565740800,29036797.1
188,0.07019,0.0708,0.06738,0.06931,1565827200,11999711.9
189,0.06844,0.07022,0.06726,0.0701,1565913600,13540494.1
190,0.0677,0.06913,0.06662,0.06839,1566000000,8257429.9
191,0.07072,0.07158,0.06743,0.06766,1566086400,10852434.2
192,0.0717,0.0722,0.07016,0.07061,1566172800,9866508.2
193,0.06877,0.07195,0.06825,0.07185,1566259200,9433108.2
194,0.06691,0.0688,0.06577,0.0688,1566345600,9946002.0
195,0.06818,0.06958,0.0654,0.06691,1566432000,14788650.2
196,0.0692,0.06929,0.0674,0.06812,1566518400,13785486.0
197,0.07035,0.071,0.06756,0.06912,1566604800,13633107.5
198,0.0694,0.07184,0.06822,0.07035,1566691200,15467209.2
199,0.0696,0.07108,0.06881,0.06923,1566777600,10022954.7
200,0.0685,0.06973,0.06735,0.0696,1566864000,9880597.2
201,0.06398,0.06851,0.06329,0.06842,1566950400,18126598.5
202,0.06162,0.06397,0.06036,0.06397,1567036800,18643179.9
203,0.06191,0.06326,0.0611,0.06168,1567123200,10766084.4
204,0.06194,0.06259,0.06011,0.06194,1567209600,8646460.9
