,c,h,l,o,t,v
0,52.1,52.22,48.67,51.99,1552608000,4908.5377
1,53.35,54.89,52.1,52.1,1552694400,8103.46093
2,52.36,53.57,51.54,53.56,1552780800,3314.97426
3,52.06,53.01,51.27,52.38,1552867200,4037.80163
4,52.9,54.0,51.61,51.93,1552953600,6567.87086
5,54.19,54.6,52.41,52.83,1553040000,8340.92803
6,52.28,54.29,50.0,54.29,1553126400,7047.37704
7,52.66,53.25,51.83,52.22,1553212800,3488.38037
8,52.67,53.25,51.93,52.9,1553299200,4902.64719
9,52.64,52.89,52.2,52.56,1553385600,3765.42597
10,51.21,52.92,50.0,52.57,1553472000,8674.60473
11,51.74,52.05,49.76,51.28,1553558400,5716.81669
12,53.48,53.6,51.67,51.81,1553644800,4570.70984
13,52.8,53.35,52.18,53.27,1553731200,8971.55712
14,53.72,54.15,52.18,52.57,1553817600,6652.54724
15,53.53,54.0,53.01,53.58,1553904000,3337.9065
16,56.07,56.83,50.56,53.5,1553990400,12798.87428
17,60.13,60.5,55.66,56.01,1554076800,16485.98216
18,68.94,70.0,58.87,60.05,1554163200,31894.06812
19,65.88,72.9,60.01,68.83,1554249600,36232.35681
20,63.57,66.77,61.15,65.88,1554336000,14457.30872
21,69.08,69.08,63.22,63.77,1554422400,16267.2802
22,67.82,69.97,66.32,68.93,1554508800,16698.18642
23,69.34,70.09,67.63,67.87,1554595200,6695.73288
24,70.47,72.27,67.4,69.35,1554681600,17181.60679
25,67.75,70.55,66.82,70.42,1554768000,14689.79196
26,70.86,72.0,67.49,67.75,1554854400,13288.04389
27,65.97,71.17,61.51,70.64,1554940800,17040.10943
28,65.73,68.5,64.36,66.1,1555027200,12377.68428
29,64.92,67.36,63.07,65.39,1555113600,9722.91175
30,66.25,67.0,63.81,64.82,1555200000,9393.30988
31,63.91,66.82,63.27,66.32,1555286400,6987.37941
32,68.16,69.66,63.41,63.81,1555372800,10606.91949
33,67.01,69.4,66.23,68.16,1555459200,8379.57723
34,68.74,69.88,67.02,67.02,1555545600,8005.32478
35,68.27,69.4,67.03,68.71,1555632000,6030.19858
