,c,h,l,o,t,v
0,0.31205,0.32129,0.28908,0.29146,1549584000,93896197.0
1,0.31215,0.3164,0.30719,0.31195,1549670400,65169202.2
2,0.30988,0.31286,0.29829,0.31218,1549756800,65487258.0
3,0.30255,0.3103,0.30136,0.30985,1549843200,41900510.2
4,0.30514,0.30842,0.29625,0.30243,1549929600,50915657.1
5,0.30382,0.31373,0.30113,0.3051,1550016000,54722420.4
6,0.30081,0.30556,0.29975,0.30387,1550102400,38757408.1
7,0.30194,0.30646,0.296,0.30082,1550188800,35931398.3
8,0.30077,0.30408,0.2997,0.30195,1550275200,31126221.9
9,0.30318,0.308,0.29849,0.30084,1550361600,49930873.1
10,0.32194,0.32862,0.30177,0.3031,1550448000,172763975.2
11,0.32238,0.34777,0.31807,0.32188,1550534400,198102626.4
12,0.3315,0.33476,0.3166,0.3225,1550620800,103063793.8
13,0.3207,0.33297,0.31688,0.33139,1550707200,74728496.6
14,0.32105,0.32333,0.31352,0.32064,1550793600,47070036.8
15,0.33201,0.33395,0.31753,0.32102,1550880000,65573265.4
16,0.29757,0.34345,0.29371,0.33201,1550966400,168785982.4
17,0.32731,0.33975,0.29672,0.29757,1551052800,198793053.8
18,0.31658,0.33502,0.31334,0.3274,1551139200,156768298.4
19,0.31067,0.31874,0.30076,0.31663,1551225600,86042683.7
20,0.3139,0.31771,0.30602,0.31054,1551312000,82235972.7
21,0.31564,0.32354,0.31146,0.31386,1551398400,82928007.7
22,0.31382,0.31819,0.30993,0.31565,1551484800,49884108.0
23,0.31114,0.31542,0.308,0.31389,1551571200,35107981.0
24,0.30207,0.31222,0.29728,0.31115,1551657600,54554165.3
25,0.31471,0.31787,0.3008,0.30197,1551744000,65812161.6
26,0.31629,0.32186,0.3095,0.31473,1551830400,69108469.9
27,0.31311,0.31936,0.3124,0.31628,1551916800,51060315.9
28,0.30775,0.316,0.305,0.31324,1552003200,52311973.0
29,0.31389,0.319,0.3068,0.3078,1552089600,60052162.0
30,0.31289,0.31705,0.30905,0.31395,1552176000,43024192.8
31,0.30992,0.315,0.30658,0.31279,1552262400,51679569.6
32,0.31031,0.31204,0.30766,0.30991,1552348800,34008792.9
33,0.31332,0.32555,0.30733,0.3103,1552435200,78566025.5
34,0.31131,0.31654,0.30585,0.31345,1552521600,54311189.1
35,0.31473,0.31678,0.3107,0.31131,1552608000,40022943.7
36,0.31868,0.323,0.31465,0.31485,1552694400,59414487.2
37,0.3154,0.31892,0.314,0.31866,1552780800,33510613.2
38,0.31452,0.32,0.31135,0.31546,1552867200,46830749.7
39,0.31594,0.3166,0.3125,0.31451,1552953600,37937661.9
40,0.31779,0.32275,0.3115,0.31581,1553040000,61071284.0
41,0.30965,0.31915,0.29,0.3178,1553126400,68244170.4
42,0.31041,0.31262,0.30642,0.30965,1553212800,40997646.8
43,0.31182,0.31264,0.30883,0.31041,1553299200,35555914.1
