,c,h,l,o,t,v
0,55.14,59.1,53.31,58.5,1553126400,7780.91395
1,55.07,56.56,54.42,55.37,1553212800,5182.07127
2,56.9,56.9,54.78,55.06,1553299200,3435.73138
3,57.21,58.44,55.81,56.8,1553385600,8357.05638
4,55.32,57.13,53.78,57.06,1553472000,4922.4201
5,54.49,55.5,52.72,55.32,1553558400,3951.24438
6,56.96,57.35,54.49,54.5,1553644800,4350.00589
7,56.18,56.8,55.29,56.8,1553731200,5429.87373
8,57.14,58.12,55.1,56.15,1553817600,8048.82943
9,57.1,57.44,55.6,57.15,1553904000,3709.98578
10,58.65,59.52,56.73,56.81,1553990400,11424.86631
11,62.7,63.68,58.13,58.78,1554076800,14320.42676
12,69.6,70.99,60.56,62.69,1554163200,29209.1403
13,69.55,77.0,66.0,69.53,1554249600,26319.22623
14,66.78,71.37,64.59,69.11,1554336000,11785.24136
15,72.05,72.62,66.91,66.91,1554422400,13442.0753
16,71.23,73.12,69.14,71.62,1554508800,7766.29711
17,74.37,75.0,70.52,71.38,1554595200,14712.68656
18,72.19,76.07,68.85,74.21,1554681600,14024.24424
19,70.3,72.2,68.6,72.2,1554768000,14949.76326
20,71.75,73.79,70.07,70.43,1554854400,10810.99401
21,69.61,72.11,63.32,71.85,1554940800,13912.92374
22,70.94,71.81,67.14,69.59,1555027200,21759.37412
23,69.08,71.24,68.3,71.09,1555113600,5477.3534
24,69.6,70.25,66.95,69.11,1555200000,4003.31204
25,67.45,70.28,65.4,69.6,1555286400,6269.86479
26,68.98,69.48,66.76,67.42,1555372800,4636.8703
27,70.09,71.47,67.45,68.98,1555459200,5366.13533
28,70.26,71.75,69.6,70.25,1555545600,7158.85162
29,69.23,70.28,68.8,70.26,1555632000,3597.43307
30,69.35,69.98,68.34,69.4,1555718400,3127.81037
31,67.91,69.6,66.09,69.5,1555804800,4550.43867
32,68.76,70.17,65.92,68.11,1555891200,5441.6022
33,66.45,70.97,66.45,68.95,1555977600,6335.42537
34,65.26,67.09,61.87,66.64,1556064000,8735.95642
35,61.89,66.19,60.31,65.18,1556150400,5757.95567
36,61.88,64.72,59.17,61.93,1556236800,12366.6649
37,61.55,62.75,60.19,62.01,1556323200,5146.66358
38,60.6,62.57,60.36,61.56,1556409600,2733.98514
39,57.89,60.79,57.05,60.42,1556496000,5610.84906
40,60.66,60.85,57.3,57.89,1556582400,5564.06161
41,61.06,61.67,59.6,60.47,1556668800,4083.6477
42,60.03,61.3,59.55,61.13,1556755200,5073.04145
43,62.85,63.97,59.87,60.03,1556841600,7085.86616
44,60.94,64.27,58.62,62.95,1556928000,5132.99776
45,59.59,60.98,58.85,60.9,1557014400,3381.71042
46,60.07,61.3,58.61,59.73,1557100800,8874.41975
47,57.64,61.68,57.31,60.36,1557187200,8917.77956
48,58.25,58.43,56.72,57.82,1557273600,3416.85328
49,56.58,59.09,55.5,58.33,1557360000,7693.60889
50,57.46,58.03,55.98,56.62,1557446400,6732.30301
51,63.08,65.7,57.23,57.51,1557532800,13979.3599
52,60.67,65.0,58.39,63.19,1557619200,11371.24473
53,63.58,65.9,59.82,60.67,1557705600,11496.17316
54,67.51,69.0,62.88,63.48,1557792000,18708.29392
55,77.0,77.38,67.51,67.51,1557878400,12140.04615
56,75.26,82.18,70.89,77.14,1557964800,30460.10947
57,73.34,75.91,66.04,74.83,1558051200,21276.9366
58,71.91,74.24,70.08,73.45,1558137600,6902.57432
59,77.6,78.93,71.87,71.89,1558224000,12258.0987
60,75.95,77.89,72.07,77.57,1558310400,14181.82209
61,74.51,76.57,73.44,75.84,1558396800,16332.14803
62,69.73,75.46,68.95,74.41,1558483200,10244.61884
63,71.91,72.32,67.5,69.77,1558569600,9911.59178
64,72.38,74.52,71.38,71.93,1558656000,4985.89852
65,72.3,73.75,71.43,72.31,1558742400,3955.03882
