,c,h,l,o,t,v
0,0.2477,0.277,0.2431,0.265,1551312000,1491942.14
1,0.2483,0.2509,0.245,0.2478,1551398400,589241.57
2,0.2432,0.2588,0.2403,0.2477,1551484800,901096.63
3,0.2402,0.245,0.2372,0.2432,1551571200,675001.66
4,0.2264,0.2416,0.2171,0.2403,1551657600,1203714.29
5,0.2371,0.2407,0.2212,0.2264,1551744000,959113.49
6,0.2443,0.25,0.2314,0.2371,1551830400,1012343.66
7,0.2387,0.2473,0.2361,0.2449,1551916800,1943239.83
8,0.2348,0.245,0.2312,0.2391,1552003200,2512437.68
9,0.2509,0.2619,0.2339,0.2348,1552089600,3672140.17
10,0.2696,0.274,0.2491,0.2509,1552176000,5546916.15
11,0.2563,0.28,0.2477,0.2696,1552262400,4482131.91
12,0.2708,0.2785,0.25,0.2567,1552348800,2582512.37
13,0.2687,0.2834,0.2604,0.271,1552435200,2902930.73
14,0.2654,0.2689,0.2481,0.268,1552521600,2124131.03
15,0.2717,0.2809,0.2656,0.2659,1552608000,2037155.9
16,0.2694,0.2758,0.266,0.2719,1552694400,2161823.98
17,0.2639,0.2695,0.2611,0.2693,1552780800,1074534.39
18,0.2597,0.271,0.2571,0.2639,1552867200,1037903.61
19,0.2668,0.2699,0.2593,0.2598,1552953600,1080614.84
20,0.2714,0.2733,0.2667,0.2673,1553040000,1091238.87
21,0.2591,0.2745,0.251,0.2714,1553126400,2029823.6
22,0.2725,0.274,0.257,0.2579,1553212800,1566261.22
23,0.2699,0.2769,0.2669,0.2725,1553299200,1434949.26
24,0.2908,0.2987,0.2648,0.2685,1553385600,3488922.33
25,0.2757,0.309,0.2694,0.2908,1553472000,5549435.88
26,0.2914,0.2952,0.2707,0.2764,1553558400,3696062.34
27,0.3048,0.3098,0.2875,0.2914,1553644800,3013840.57
28,0.3055,0.3067,0.2938,0.3048,1553731200,1664731.11
29,0.3063,0.3078,0.3,0.3055,1553817600,1392299.95
30,0.3109,0.3239,0.3036,0.3065,1553904000,2028996.97
31,0.3245,0.3277,0.3094,0.3117,1553990400,1523279.73
32,0.3327,0.3414,0.3159,0.324,1554076800,2050047.46
33,0.3743,0.3814,0.32,0.3327,1554163200,5394853.04
34,0.3504,0.3895,0.3201,0.376,1554249600,5170588.51
35,0.3362,0.3597,0.3248,0.3515,1554336000,2904962.84
36,0.357,0.3575,0.3359,0.3365,1554422400,1414997.59
37,0.3527,0.3636,0.3475,0.3578,1554508800,1292454.16
38,0.3537,0.37,0.3454,0.3532,1554595200,2107292.38
39,0.346,0.3686,0.3315,0.354,1554681600,1479290.01
40,0.3557,0.3681,0.3345,0.346,1554768000,1868281.54
41,0.3498,0.3568,0.3438,0.3554,1554854400,1925538.46
42,0.3162,0.3498,0.3041,0.3498,1554940800,1994234.27
43,0.3204,0.3276,0.3003,0.3162,1555027200,1145078.73
44,0.3153,0.3236,0.3119,0.3193,1555113600,523367.22
45,0.3226,0.3233,0.3071,0.315,1555200000,1220403.53
46,0.3083,0.334,0.3011,0.3224,1555286400,1723804.03
47,0.3225,0.3234,0.3059,0.308,1555372800,1388489.86
48,0.3309,0.3324,0.3174,0.3225,1555459200,960859.37
49,0.331,0.3369,0.3273,0.3321,1555545600,1434543.97
50,0.3269,0.331,0.3211,0.331,1555632000,978178.8
51,0.3217,0.3283,0.3186,0.3258,1555718400,687145.61
52,0.3146,0.325,0.302,0.3218,1555804800,838529.28
53,0.312,0.3152,0.3075,0.3126,1555891200,785983.85
54,0.3003,0.3149,0.3,0.3119,1555977600,1047776.02
55,0.2885,0.3007,0.2778,0.3003,1556064000,1753123.29
56,0.2753,0.2916,0.2687,0.2884,1556150400,1418650.88
57,0.2708,0.2805,0.26,0.2748,1556236800,895889.08
58,0.2873,0.2914,0.2704,0.2719,1556323200,503989.63
59,0.2791,0.2903,0.2768,0.2878,1556409600,807136.4
60,0.2738,0.2819,0.2634,0.2789,1556496000,561165.85
61,0.2788,0.2822,0.2689,0.2738,1556582400,466354.32
62,0.2767,0.2821,0.2742,0.2786,1556668800,442190.45
63,0.2748,0.278,0.273,0.2768,1556755200,465992.13
64,0.2806,0.2836,0.268,0.2747,1556841600,919162.17
65,0.2688,0.2836,0.2615,0.2828,1556928000,686564.14
66,0.2671,0.2696,0.2635,0.268,1557014400,222733.92
67,0.2791,0.2832,0.2615,0.2665,1557100800,586129.01
68,0.2621,0.2843,0.2619,0.2802,1557187200,699787.36
69,0.2688,0.272,0.2602,0.2625,1557273600,479140.56
70,0.2532,0.2724,0.2527,0.269,1557360000,899510.5
71,0.2638,0.2656,0.2535,0.2563,1557446400,687026.18
72,0.2884,0.3066,0.2628,0.2642,1557532800,2113995.18
73,0.2737,0.2936,0.2623,0.2884,1557619200,2042525.2
74,0.2776,0.2914,0.2705,0.2705,1557705600,1079004.96
75,0.3002,0.3044,0.2755,0.2788,1557792000,2445413.07
76,0.362,0.3762,0.3002,0.3002,1557878400,5003636.74
77,0.3341,0.3785,0.323,0.3615,1557964800,3915738.15
78,0.3126,0.339,0.292,0.335,1558051200,3286576.8
79,0.3242,0.3387,0.3066,0.3141,1558137600,1693098.11
80,0.3366,0.3415,0.3212,0.3237,1558224000,2753330.86
81,0.3174,0.3358,0.3034,0.3351,1558310400,1890776.09
82,0.3308,0.3326,0.3079,0.3172,1558396800,2748098.82
83,0.3026,0.3362,0.2978,0.3308,1558483200,2128621.25
84,0.313,0.3151,0.2918,0.3026,1558569600,2292166.28
85,0.3144,0.341,0.3061,0.313,1558656000,1926233.21
86,0.3216,0.3235,0.3109,0.3143,1558742400,1047736.45
87,0.3247,0.329,0.3088,0.3231,1558828800,1402564.24
88,0.3354,0.3398,0.3222,0.3247,1558915200,2021725.83
89,0.3356,0.3405,0.3269,0.3358,1559001600,1710854.08
90,0.3426,0.3579,0.3221,0.3356,1559088000,3119988.12
91,0.3239,0.372,0.3102,0.3431,1559174400,5558461.52
92,0.3425,0.3443,0.3136,0.3235,1559260800,1345327.85
93,0.3331,0.345,0.3307,0.343,1559347200,1140980.46
94,0.3405,0.3419,0.3315,0.3348,1559433600,1413782.07
95,0.3169,0.3444,0.3118,0.3407,1559520000,2017373.6
96,0.3038,0.3207,0.2928,0.3152,1559606400,1887051.05
97,0.3143,0.3201,0.3007,0.3035,1559692800,1104596.5
98,0.3205,0.33,0.3057,0.3133,1559779200,1722937.74
99,0.3326,0.339,0.3169,0.3212,1559865600,1223611.56
100,0.3355,0.375,0.329,0.3329,1559952000,6028868.6
101,0.3132,0.3379,0.3088,0.3365,1560038400,2012983.44
102,0.3279,0.3326,0.3104,0.3124,1560124800,1579898.64
103,0.3244,0.3296,0.3144,0.3293,1560211200,1043414.02
104,0.3316,0.3338,0.3195,0.3246,1560297600,1043602.94
105,0.3237,0.333,0.3231,0.3316,1560384000,983343.74
106,0.3344,0.3441,0.3135,0.3237,1560470400,1639737.1
107,0.3571,0.3688,0.3315,0.335,1560556800,3928201.16
108,0.3473,0.3611,0.3091,0.3565,1560643200,2559925.22
109,0.3447,0.3547,0.3424,0.3471,1560729600,1754343.57
110,0.3366,0.3555,0.3338,0.3447,1560816000,1850830.51
111,0.3398,0.3479,0.3349,0.3373,1560902400,1314849.63
112,0.3284,0.3413,0.3261,0.3398,1560988800,2726421.74
113,0.3333,0.3378,0.329,0.3292,1561075200,1055437.73
114,0.3502,0.3563,0.3298,0.333,1561161600,2721915.87
115,0.3441,0.3593,0.3419,0.3502,1561248000,2393989.19
116,0.3389,0.3441,0.33,0.3441,1561334400,1466261.12
117,0.3379,0.3465,0.3326,0.3389,1561420800,1521321.52
118,0.326,0.3529,0.314,0.3367,1561507200,4448459.71
119,0.3188,0.3282,0.2934,0.3258,1561593600,3006628.16
120,0.3164,0.358,0.3151,0.3188,1561680000,3351088.79
121,0.3184,0.3208,0.3021,0.3164,1561766400,2555598.87
122,0.2989,0.328,0.2972,0.3191,1561852800,2375580.97
123,0.3093,0.3154,0.2916,0.2993,1561939200,1862724.62
124,0.2952,0.3119,0.2814,0.3096,1562025600,1652751.4
125,0.3019,0.3028,0.2902,0.2953,1562112000,1755460.12
126,0.288,0.305,0.2861,0.3018,1562198400,931044.0
127,0.2882,0.2917,0.2839,0.2885,1562284800,738097.61
128,0.2946,0.3049,0.288,0.2896,1562371200,1385877.77
129,0.2986,0.3,0.2928,0.2945,1562457600,594238.72
130,0.2906,0.313,0.2863,0.2986,1562544000,1807192.69
131,0.2921,0.2956,0.274,0.2906,1562630400,1817817.22
132,0.2703,0.2941,0.2629,0.2925,1562716800,1741715.01
133,0.257,0.285,0.2452,0.2697,1562803200,1315663.2
134,0.2658,0.2728,0.2488,0.2569,1562889600,1042909.56
135,0.256,0.268,0.2001,0.2658,1562976000,1381520.25
136,0.22,0.2574,0.22,0.2567,1563062400,1171416.27
137,0.2436,0.279,0.2034,0.22,1563148800,5556817.17
138,0.2163,0.2669,0.212,0.2432,1563235200,3796274.34
139,0.227,0.2396,0.2063,0.216,1563321600,1927899.16
140,0.237,0.2429,0.2175,0.2265,1563408000,1207884.73
141,0.2353,0.2417,0.2303,0.2369,1563494400,823971.09
142,0.2473,0.259,0.2335,0.2353,1563580800,1072631.24
143,0.2436,0.2472,0.2367,0.2461,1563667200,916070.46
144,0.2358,0.2445,0.2291,0.2436,1563753600,833069.58
145,0.2232,0.2409,0.2223,0.2358,1563840000,760062.48
146,0.2264,0.2299,0.2149,0.2233,1563926400,856765.01
147,0.2339,0.2376,0.2257,0.2259,1564012800,668660.72
148,0.2344,0.2605,0.2264,0.2341,1564099200,713941.51
