,dates,opens,highs,lows,closes,volumes,market_caps,smas_10,smas_20,smas_30
0,2020-02-09,444.46000000,448.96000000,444.15000000,448.77000000,2286.53700000,2286.53700000,0.0,0.0,0.0
1,2020-02-08,439.39000000,454.50000000,425.16000000,444.46000000,147309.77991000,147309.77991000,0.0,0.0,0.0
2,2020-02-07,445.69000000,459.70000000,432.12000000,439.21000000,152210.53024000,152210.53024000,20.029,20.795,21.0827
3,2020-02-06,444.93000000,448.43000000,416.88000000,445.76000000,183772.05365000,183772.05365000,20.072,20.917,21.1407
4,2020-02-05,380.95000000,445.46000000,378.72000000,444.92000000,254489.93106000,254489.93106000,20.088,21.0025,21.1797
5,2020-02-04,384.19000000,389.50000000,372.38000000,380.93000000,111599.02261000,111599.02261000,20.181,21.0625,21.218
6,2020-02-03,377.24000000,392.84000000,374.40000000,384.25000000,132459.04345000,132459.04345000,20.257,21.142,21.2757
7,2020-02-02,380.16000000,387.70000000,368.91000000,377.34000000,98738.97527000,98738.97527000,0.0,0.0,0.0
8,2020-02-01,374.89000000,389.64000000,372.31000000,380.08000000,106551.71789000,106551.71789000,0.0,0.0,0.0
9,2020-01-31,392.52000000,394.99000000,364.16000000,374.86000000,146704.06246000,146704.06246000,20.405,21.2395,21.362
10,2020-01-30,380.24000000,399.34000000,370.88000000,392.69000000,197841.16173000,197841.16173000,20.628,21.3185,21.4647
11,2020-01-29,378.43000000,396.31000000,375.80000000,380.26000000,200640.19640000,200640.19640000,20.868,21.382,21.571
12,2020-01-28,362.90000000,385.38000000,360.26000000,378.60000000,210830.79139000,210830.79139000,21.073,21.4355,21.641
13,2020-01-27,348.25000000,378.19000000,347.65000000,362.86000000,248777.01991000,248777.01991000,21.338,21.524,21.7123
14,2020-01-26,310.29000000,349.96000000,307.43000000,348.24000000,176481.76156000,176481.76156000,0.0,0.0,0.0
15,2020-01-25,318.82000000,319.27000000,305.10000000,310.13000000,100771.89962000,100771.89962000,0.0,0.0,0.0
