,dates,opens,highs,lows,closes,volumes,market_caps,smas_10,smas_20,smas_30
0,2020-02-09,223.01000000,226.28000000,222.86000000,225.62000000,12954.67551000,12954.67551000,0.0,0.0,0.0
1,2020-02-08,223.36000000,227.75000000,213.22000000,223.05000000,548551.87465000,548551.87465000,0.0,0.0,0.0
2,2020-02-07,213.16000000,225.00000000,213.14000000,223.33000000,629361.15466000,629361.15466000,16.352,17.0915,17.6227
3,2020-02-06,203.78000000,216.33000000,201.02000000,213.19000000,608240.22330000,608240.22330000,16.698,17.271,17.761
4,2020-02-05,188.91000000,207.61000000,188.19000000,203.78000000,550942.11417000,550942.11417000,16.999,17.4435,17.884
5,2020-02-04,189.74000000,191.60000000,184.69000000,188.91000000,366389.69686000,366389.69686000,17.232,17.6105,17.991
6,2020-02-03,188.48000000,195.19000000,186.62000000,189.69000000,417175.95781000,417175.95781000,17.393,17.716,18.06
7,2020-02-02,183.63000000,193.43000000,179.10000000,188.44000000,552621.13619000,552621.13619000,0.0,0.0,0.0
8,2020-02-01,179.94000000,184.28000000,179.23000000,183.60000000,259370.12902000,259370.12902000,0.0,0.0,0.0
9,2020-01-31,184.71000000,185.82000000,175.22000000,179.99000000,385596.53365000,385596.53365000,17.604,17.8275,18.131
10,2020-01-30,173.68000000,187.00000000,170.93000000,184.69000000,477721.66090000,477721.66090000,17.751,17.954,18.1733
11,2020-01-29,175.58000000,178.45000000,173.33000000,173.72000000,317382.90161000,317382.90161000,17.818,18.054,18.2017
12,2020-01-28,170.04000000,176.20000000,170.03000000,175.64000000,473433.89609000,473433.89609000,17.817,18.1305,18.2103
13,2020-01-27,167.91000000,172.56000000,165.22000000,170.08000000,365894.81917000,365894.81917000,17.812,18.192,18.2103
14,2020-01-26,160.36000000,168.08000000,159.41000000,167.86000000,251582.55758000,251582.55758000,0.0,0.0,0.0
15,2020-01-25,162.51000000,162.79000000,157.61000000,160.35000000,219921.65197000,219921.65197000,0.0,0.0,0.0
16,2020-01-24,162.85000000,164.45000000,155.55000000,162.54000000,430013.19902000,430013.19902000,17.831,18.258,18.212
17,2020-01-23,168.07000000,168.20000000,159.21000000,162.81000000,373414.34985000,373414.34985000,17.844,18.2925,18.198
18,2020-01-22,169.48000000,171.47000000,166.03000000,168.07000000,272240.90286000,272240.90286000,17.888,18.3265,18.1753
19,2020-01-21,166.86000000,170.32000000,164.80000000,169.49000000,308007.63530000,308007.63530000,17.989,18.3705,18.163
20,2020-01-20,166.79000000,169.33000000,161.24000000,166.87000000,358092.88410000,358092.88410000,0.0,0.0,0.0
21,2020-01-19,174.10000000,178.05000000,161.66000000,166.79000000,624681.28604000,624681.28604000,0.0,0.0,0.0
