,dates,opens,highs,lows,closes,volumes,market_caps,smas_10,smas_20,smas_30
0,2020-02-09,76.56000000,77.40000000,76.53000000,77.28000000,11231.09824000,11231.09824000,0.0,0.0,0.0
1,2020-02-08,74.31000000,77.94000000,71.53000000,76.56000000,647821.60398000,647821.60398000,0.0,0.0,0.0
2,2020-02-07,73.59000000,75.48000000,72.85000000,74.30000000,542489.66181000,542489.66181000,46.788,46.5225,45.8253
3,2020-02-06,72.59000000,75.08000000,70.91000000,73.60000000,715147.76142000,715147.76142000,46.748,46.375,45.7103
4,2020-02-05,68.04000000,73.47000000,67.62000000,72.59000000,646729.48877000,646729.48877000,46.709,46.255,45.6283
5,2020-02-04,69.65000000,70.50000000,66.62000000,68.07000000,487054.42541000,487054.42541000,46.747,46.152,45.5487
6,2020-02-03,69.93000000,73.00000000,68.45000000,69.65000000,689182.24855000,689182.24855000,46.769,46.059,45.466
7,2020-02-02,70.72000000,73.50000000,67.66000000,69.93000000,818385.89212000,818385.89212000,0.0,0.0,0.0
8,2020-02-01,68.02000000,73.00000000,67.62000000,70.72000000,952836.89640000,952836.89640000,0.0,0.0,0.0
9,2020-01-31,68.00000000,70.10000000,65.37000000,68.00000000,938256.78346000,938256.78346000,46.838,45.9475,45.383
10,2020-01-30,59.81000000,70.22000000,58.24000000,67.98000000,1286322.99676000,1286322.99676000,46.815,45.8805,45.3043
11,2020-01-29,60.54000000,62.56000000,59.40000000,59.80000000,570079.36355000,570079.36355000,46.708,45.758,45.2147
12,2020-01-28,58.55000000,61.61000000,57.28000000,60.52000000,720540.74548000,720540.74548000,46.607,45.619,45.1343
13,2020-01-27,56.29000000,59.65000000,55.87000000,58.55000000,504725.67707000,504725.67707000,46.435,45.481,45.086
14,2020-01-26,53.26000000,56.68000000,52.80000000,56.24000000,348355.26494000,348355.26494000,0.0,0.0,0.0
15,2020-01-25,54.41000000,54.41000000,51.90000000,53.25000000,282004.92676000,282004.92676000,0.0,0.0,0.0
16,2020-01-24,54.52000000,55.41000000,50.64000000,54.38000000,550746.21423000,550746.21423000,46.257,45.344,45.064
17,2020-01-23,58.33000000,58.40000000,52.42000000,54.52000000,464982.43026000,464982.43026000,46.002,45.1915,45.0417
18,2020-01-22,57.60000000,59.33000000,57.18000000,58.33000000,218658.95477000,218658.95477000,45.801,45.088,45.059
19,2020-01-21,57.19000000,58.09000000,55.91000000,57.57000000,216543.72376000,216543.72376000,45.557,44.9495,45.0687
20,2020-01-20,57.59000000,58.29000000,55.84000000,57.19000000,262316.67258000,262316.67258000,0.0,0.0,0.0
21,2020-01-19,59.29000000,62.55000000,55.34000000,57.60000000,530916.40859000,530916.40859000,0.0,0.0,0.0
22,2020-01-18,61.05000000,62.50000000,57.90000000,59.32000000,498603.84903000,498603.84903000,0.0,0.0,0.0
23,2020-01-17,57.56000000,63.26000000,56.72000000,61.02000000,767514.50323000,767514.50323000,45.349,44.8145,45.077
24,2020-01-16,58.17000000,58.50000000,54.50000000,57.56000000,477991.20162000,477991.20162000,45.057,44.6555,45.0817
25,2020-01-15,58.37000000,60.33000000,55.28000000,58.16000000,720369.64189000,720369.64189000,44.946,44.549,45.0923
26,2020-01-14,49.59000000,60.80000000,49.58000000,58.39000000,1232536.35364000,1232536.35364000,44.808,44.468,45.133
27,2020-01-13,51.44000000,51.60000000,48.91000000,49.60000000,382092.95573000,382092.95573000,44.631,44.398,45.1847
28,2020-01-12,49.32000000,51.75000000,48.78000000,51.43000000,533583.45808000,533583.45808000,0.0,0.0,0.0
29,2020-01-11,49.06000000,51.95000000,47.77000000,49.30000000,681984.46652000,681984.46652000,0.0,0.0,0.0
30,2020-01-10,44.75000000,49.72000000,43.71000000,49.06000000,729803.12291000,729803.12291000,44.527,44.4115,45.2373
31,2020-01-09,45.35000000,45.79000000,43.90000000,44.74000000,296221.65692000,296221.65692000,44.431,44.4675,45.281
32,2020-01-08,46.30000000,48.54000000,44.00000000,45.35000000,628050.68438000,628050.68438000,44.381,44.5615,45.3247
33,2020-01-07,45.80000000,47.03000000,44.48000000,46.30000000,493847.10532000,493847.10532000,44.375,44.688,45.3633
34,2020-01-06,43.29000000,46.08000000,43.16000000,45.80000000,384930.99090000,384930.99090000,44.342,44.8245,45.4303
35,2020-01-05,42.79000000,44.61000000,42.60000000,43.30000000,291964.84958000,291964.84958000,0.0,0.0,0.0
36,2020-01-04,42.23000000,42.90000000,41.77000000,42.78000000,248814.62818000,248814.62818000,0.0,0.0,0.0
37,2020-01-03,39.44000000,42.39000000,38.77000000,42.23000000,426771.00676000,426771.00676000,44.28,44.941,45.514
38,2020-01-02,41.58000000,41.74000000,39.17000000,39.43000000,194486.21570000,194486.21570000,44.254,45.094,45.622
39,2020-01-01,41.29000000,42.08000000,41.16000000,41.62000000,110044.87445000,110044.87445000,0.0,0.0,0.0
40,2019-12-31,42.36000000,43.05000000,41.00000000,41.30000000,201549.74137000,201549.74137000,44.152,45.1655,45.6673
41,2019-12-30,43.07000000,44.18000000,41.82000000,42.38000000,298595.46371000,298595.46371000,44.128,45.2955,45.74
42,2019-12-29,42.84000000,43.76000000,42.14000000,43.08000000,337087.76870000,337087.76870000,0.0,0.0,0.0
43,2019-12-28,40.96000000,43.76000000,40.91000000,42.83000000,284295.33296000,284295.33296000,0.0,0.0,0.0
44,2019-12-27,39.99000000,41.50000000,39.67000000,40.95000000,219242.83628000,219242.83628000,44.165,45.4615,45.8077
45,2019-12-26,40.11000000,41.73000000,39.58000000,40.01000000,198471.35190000,198471.35190000,44.296,45.5925,45.8783
46,2019-12-25,40.33000000,40.48000000,39.38000000,40.08000000,136397.58244000,136397.58244000,0.0,0.0,0.0
47,2019-12-24,40.56000000,41.13000000,39.68000000,40.34000000,211802.58489000,211802.58489000,44.504,45.706,45.9753
48,2019-12-23,41.84000000,42.67000000,40.21000000,40.56000000,288871.46721000,288871.46721000,44.742,45.7965,46.0553
49,2019-12-22,39.67000000,42.16000000,39.62000000,41.82000000,208763.30093000,208763.30093000,0.0,0.0,0.0
50,2019-12-21,40.15000000,40.22000000,39.41000000,39.67000000,91777.09640000,91777.09640000,0.0,0.0,0.0
51,2019-12-20,39.66000000,40.41000000,39.25000000,40.17000000,151508.47648000,151508.47648000,45.001,45.8575,46.1337
52,2019-12-19,40.79000000,41.10000000,39.06000000,39.65000000,240386.31479000,240386.31479000,45.307,45.9745,46.2543
53,2019-12-18,36.94000000,41.71000000,35.78000000,40.79000000,668186.50576000,668186.50576000,45.602,46.131,46.4033
54,2019-12-17,39.98000000,40.13000000,36.10000000,36.92000000,648918.38857000,648918.38857000,45.934,46.306,46.6113
55,2019-12-16,43.46000000,43.56000000,39.02000000,39.99000000,396847.07159000,396847.07159000,46.179,46.425,46.8267
56,2019-12-15,43.28000000,44.04000000,42.90000000,43.44000000,105010.15867000,105010.15867000,0.0,0.0,0.0
57,2019-12-14,44.44000000,44.67000000,43.19000000,43.25000000,121589.21791000,121589.21791000,0.0,0.0,0.0
58,2019-12-13,43.65000000,44.55000000,43.43000000,44.44000000,127935.79567000,127935.79567000,46.463,46.546,47.0953
59,2019-12-12,43.70000000,44.11000000,42.84000000,43.65000000,169652.16018000,169652.16018000,46.758,46.629,47.3423
60,2019-12-11,44.07000000,44.46000000,43.27000000,43.70000000,134280.00698000,134280.00698000,46.889,46.6695,47.5367
61,2019-12-10,44.45000000,44.67000000,43.60000000,44.09000000,151332.98482000,151332.98482000,46.908,46.711,47.715
62,2019-12-09,45.55000000,45.87000000,44.04000000,44.45000000,219794.24751000,219794.24751000,46.851,46.712,47.858
63,2019-12-08,45.14000000,46.20000000,44.81000000,45.56000000,131675.58673000,131675.58673000,0.0,0.0,0.0
64,2019-12-07,45.26000000,46.50000000,44.94000000,45.15000000,195130.20296000,195130.20296000,0.0,0.0,0.0
65,2019-12-06,44.78000000,45.50000000,44.05000000,45.28000000,273507.67563000,273507.67563000,46.714,46.7,48.0357
66,2019-12-05,44.64000000,45.21000000,43.70000000,44.81000000,444840.89828000,444840.89828000,46.642,46.728,48.2173
67,2019-12-04,44.76000000,46.98000000,43.69000000,44.67000000,555313.52753000,555313.52753000,46.66,46.804,48.3917
68,2019-12-03,45.44000000,46.22000000,44.26000000,44.75000000,323943.46120000,323943.46120000,46.678,46.95,48.578
69,2019-12-02,47.45000000,47.57000000,44.71000000,45.45000000,302502.05198000,302502.05198000,46.671,47.1505,48.7707
70,2019-12-01,47.21000000,48.45000000,45.50000000,47.45000000,313486.32183000,313486.32183000,0.0,0.0,0.0
71,2019-11-30,48.55000000,48.76000000,46.53000000,47.21000000,270874.56808000,270874.56808000,0.0,0.0,0.0
72,2019-11-29,46.78000000,49.33000000,46.73000000,48.54000000,301668.56643000,301668.56643000,46.629,47.4115,48.937
73,2019-11-28,47.69000000,48.00000000,46.01000000,46.79000000,267853.24107000,267853.24107000,0.0,0.0,0.0
74,2019-11-27,46.91000000,48.69000000,44.51000000,47.70000000,455880.87524000,455880.87524000,46.5,47.6345,49.0717
75,2019-11-26,45.48000000,47.57000000,45.22000000,46.91000000,310692.28241000,310692.28241000,46.45,47.8605,49.2203
76,2019-11-25,43.87000000,47.42000000,42.04000000,45.47000000,571324.21757000,571324.21757000,46.514,48.1185,49.3837
77,2019-11-24,48.11000000,48.24000000,43.45000000,43.86000000,419517.52854000,419517.52854000,0.0,0.0,0.0
78,2019-11-23,47.32000000,48.53000000,46.13000000,48.10000000,301729.20885000,301729.20885000,0.0,0.0,0.0
79,2019-11-22,50.61000000,51.55000000,43.58000000,47.32000000,924579.32624000,924579.32624000,46.573,48.3615,49.5557
80,2019-11-21,54.99000000,55.29000000,48.51000000,50.61000000,442743.26376000,442743.26376000,46.686,48.6965,49.7277
81,2019-11-20,55.13000000,56.16000000,54.61000000,54.98000000,224543.37210000,224543.37210000,46.814,49.005,49.877
82,2019-11-19,55.80000000,56.23000000,54.20000000,55.13000000,245040.39116000,245040.39116000,46.948,49.2575,50.0207
83,2019-11-18,59.21000000,59.30000000,54.00000000,55.81000000,297441.77936000,297441.77936000,47.222,49.528,50.1533
84,2019-11-17,58.29000000,59.97000000,57.55000000,59.22000000,190026.97121000,190026.97121000,0.0,0.0,0.0
85,2019-11-16,57.61000000,58.98000000,57.14000000,58.30000000,135649.07460000,135649.07460000,0.0,0.0,0.0
86,2019-11-15,59.00000000,60.75000000,56.20000000,57.60000000,333621.34492000,333621.34492000,47.63,49.8205,50.3073
87,2019-11-14,60.96000000,61.10000000,58.25000000,59.00000000,289462.24048000,289462.24048000,48.194,50.091,50.4567
88,2019-11-13,61.45000000,62.05000000,60.27000000,60.96000000,175581.95546000,175581.95546000,48.769,50.3575,50.6047
89,2019-11-12,61.84000000,62.25000000,59.75000000,61.42000000,299770.77160000,299770.77160000,49.271,50.6055,50.7467
90,2019-11-11,63.65000000,64.33000000,60.47000000,61.84000000,409179.59195000,409179.59195000,49.723,50.8185,50.8977
91,2019-11-10,62.04000000,66.19000000,60.80000000,63.65000000,437892.99669000,437892.99669000,0.0,0.0,0.0
92,2019-11-09,60.36000000,62.37000000,60.17000000,62.04000000,196430.96635000,196430.96635000,0.0,0.0,0.0
